,公司代號,公司名稱,發言日期,發言時間,主旨
0,2506,太設,101/01/04,16:32:02,澄清媒體報導。
1,2506,太設,101/01/10,10:00:52,依台證治字第0961800267號函規定，說明本公司 民國100年12月份高流動資產及短期借款相關財務訊息。
2,2506,太設,101/02/09,16:28:22,依台證治字第0961800267號函規定，說明本公司 民國101年01月份高流動資產及短期借款相關財務訊息。
3,2506,太設,101/03/09,17:33:23,依台證治字第0961800267號函規定，說明本公司 民國101年02月份高流動資產及短期借款相關財務訊息。
4,2506,太設,101/03/19,16:23:55,董事會決議召開101年股東常會。
5,2506,太設,101/03/29,18:22:35,補充公告本公司101年股東常會召開事宜。
6,2506,太設,101/03/29,18:22:54,本公司董事會決議發放股利之種類及金額。
7,2506,太設,101/03/29,18:23:09,本公司董事會決議盈餘轉增資發行新股。
8,2506,太設,101/04/10,09:23:27,依台證治字第0961800267號函規定，說明本公司 民國101年03月份高流動資產及短期借款相關財務訊息。
9,2506,太設,101/05/09,19:18:42,代子公司太平洋控股有限公司對香港高等法院原 撤銷國際商會國際仲裁法院2009年8月24日之仲裁判斷 提起上訴並獲得勝訴判決乙事，發布訊息。
10,2506,太設,101/05/10,13:47:51,依台證治字第0961800267號函規定，說明本公司 民國101年04月份高流動資產及短期借款相關財務訊息。
11,2506,太設,101/05/11,17:51:02,本公司董事會決議通過撤銷大陸地區不動產開發投資案。
12,2506,太設,101/05/11,18:21:57,公告本公司出售不動產交易事項
13,2506,太設,101/05/13,23:07:57,公告本公司採用國際會計準則公報(以下簡稱IFRSs)後對開帳日 (101年1月1日)財務報表重要項目可能產生之影響。
14,2506,太設,101/06/06,16:15:02,本公司101年股東常會重要決議事項。
15,2506,太設,101/06/08,13:36:38,依台證治字第0961800267號函規定，說明本公司 民國101年05月份高流動資產及短期借款相關財務訊息。
16,2506,太設,101/06/15,18:25:37,公告本公司預計出售不動產交易案取消。
17,2506,太設,101/07/06,17:57:50,依台證治字第0961800267號函規定，說明本公司 民國101年06月份高流動資產及短期借款相關財務訊息。
18,2506,太設,101/07/20,16:25:34,公告修正本公司100年度年報部分資料
19,2506,太設,101/08/08,14:40:52,依台證治字第0961800267號函規定，說明本公司 民國101年07月份高流動資產及短期借款相關財務訊息。
20,2506,太設,101/08/30,11:04:59,公告本公司自101年11月01日起股務收回自辦。
21,2506,太設,101/08/30,14:01:48,公告本公司除權息基準日。
22,2506,太設,101/09/06,14:50:05,依台證治字第0961800267號函規定，說明本公司 民國101年08月份高流動資產及短期借款相關財務訊息。
23,2506,太設,101/10/09,12:01:31,依台證治字第0961800267號函規定，說明本公司 民國101年09月份高流動資產及短期借款相關財務訊息。
24,2506,太設,101/10/09,17:55:15,董事會決議通過間接赴大陸地區投資房地產開發
25,2506,太設,101/11/08,11:13:22,依台證治字第0961800267號函規定，說明本公司 民國101年10月份高流動資產及短期借款相關財務訊息。
26,2506,太設,101/11/14,18:33:37,更正101年前三季合併財務季報表損益表、現金流量表部分數值 及XBRL檔。
27,2506,太設,101/12/07,16:19:40,依台證治字第0961800267號函規定，說明本公司 民國101年11月份高流動資產及短期借款相關財務訊息。
28,2506,太設,101/12/21,18:13:50,本公司董事會決議將赴大陸設立辦事處
