,公司代號,公司名稱,發言日期,發言時間,主旨
0,2524,京城,108/03/04,06:05:01,公告本公司取得高雄市鼓山區龍中段22地號土地。
1,2524,京城,108/03/15,14:53:25,補充公告本公司取得高雄市鼓山區龍中段22地號土地鑑價報告
2,2524,京城,108/03/27,12:12:01,說明時報資訊03月27日報導本公司首季獲利之新聞內容
3,2524,京城,108/03/29,16:06:54,公告協議變更高雄市左營區新華段59地號個案營造契約內容
4,2524,京城,108/03/29,16:07:17,公告協議變更高雄市三民區明仁段4地號個案營造契約內容
5,2524,京城,108/03/29,16:22:02,公告本公司董事會通過107年度員工及董事酬勞分派案
6,2524,京城,108/03/29,16:35:58,公告本公司董事會召開108年股東常會
7,2524,京城,108/03/29,19:08:43,公告本公司董事會決議股利分派情形
8,2524,京城,108/05/17,09:59:01,公告本公司取得高雄市左營區新民段159、160地號土地。
9,2524,京城,108/05/24,08:38:30,補充公告本公司取得高雄市左營區新民段159、160地號土地 鑑價報告
10,2524,京城,108/06/27,15:56:54,公告本公司108年股東常會重要決議事項
11,2524,京城,108/06/28,10:08:17,說明06月27日工商時報網路新聞報導本公司營收目標之新聞內容
12,2524,京城,108/07/29,13:39:38,公告本公司董事會決議員工酬勞轉增資基準日
13,2524,京城,108/08/12,13:28:50,本公司與本公司經理人李啟豪簽訂本公司時尚京城個案房地買賣 契約。
14,2524,京城,108/08/12,15:58:14,本公司與本公司關係人京成建設股份有限公司簽訂都市更新 權利變換協議書。
15,2524,京城,108/08/13,21:21:57,本公司受邀參加統一證券舉辦之「2019年投資論壇」，會中向投資人說明本公司業務概況。
16,2524,京城,108/08/21,10:07:26,更正本公司已申報之108年第二季財務報表XBRL內容
17,2524,京城,108/09/23,11:30:54,說明09月23日經濟日報報導本公司全年營收將超越47億元 之新聞內容
18,2524,京城,108/09/26,18:24:37,本公司與本公司關係人京成建設股份有限公司協議訂正都市  更新權利變換協議書部分內容。
19,2524,京城,108/10/22,11:12:18,說明10月21日中時電子報新聞報導本公司營收及獲利目標之 新聞內容
20,2524,京城,108/11/12,17:11:38,本公司與關係人業務經理林信瑋簽訂美術皇居個案房地買賣契約。
21,2524,京城,108/11/29,11:49:21,說明11月29日經濟日報報導本公司全年營收拚新高 之新聞內容
22,2524,京城,108/12/19,15:15:42,公告協議變更高雄市左營區新光段356等地號個案營造契約內容。
23,2524,京城,108/12/19,15:17:12,公告協議變更高雄市苓雅區林德官段1135地號個案營造契約內容
24,2524,京城,108/12/19,15:17:31,公告協議變更高雄市鼓山區青海段61、63地號個案營造契約內容
