,公司代號,公司名稱,發言日期,發言時間,主旨
0,2528,皇普,100/01/07,16:56:59,公佈本公司財務資料
1,2528,皇普,100/01/31,13:25:10,公告本公司更換股務代理機構
2,2528,皇普,100/02/08,16:07:51,公佈本公司財務資料
3,2528,皇普,100/03/08,17:05:35,公佈本公司財務資料
4,2528,皇普,100/03/14,12:07:52,公告100/03/11日本強震對本公司財務及業務並無重大影響
5,2528,皇普,100/03/17,17:01:45,董事會決議召開100年股東常會公告
6,2528,皇普,100/03/17,17:34:41,董事會決議發放股利事宜
7,2528,皇普,100/03/17,17:35:15,私募現金增資發行新股
8,2528,皇普,100/03/25,13:46:44,更正私募現金增資發行新股說明3點及第6點第3項
9,2528,皇普,100/04/06,17:02:36,公佈本公司財務資料
10,2528,皇普,100/05/06,16:02:40,公佈本公司財務資料
11,2528,皇普,100/06/08,10:01:19,公佈本公司財務資料
12,2528,皇普,100/06/09,17:54:30,公告本公司100年股東會通過之重要決議
13,2528,皇普,100/06/09,17:55:17,本公司股東會決議通過解除新任董事競業禁止之限制
14,2528,皇普,100/06/09,17:56:16,法人董監事及代表人變動
15,2528,皇普,100/06/21,16:59:47,董事長變動
16,2528,皇普,100/06/21,17:00:15,總經理變動
17,2528,皇普,100/06/22,12:33:51,"因經濟日報及工商時報報導有關葉國一將入主皇普, 特說明其原因，以利投資人區別瞭解。"
18,2528,皇普,100/06/30,17:32:47,公告本公司董事會通過中止與欣偉傑建設(股)公司於95年12月 簽訂之基隆八斗子不動產合建分售契約書
19,2528,皇普,100/07/07,16:43:15,公佈本公司財務資料
20,2528,皇普,100/09/05,17:55:28,公佈本公司財務資料
21,2528,皇普,100/12/05,15:44:25,公告本公司董事會決議辦理私募普通股
22,2528,皇普,100/12/05,15:44:48,本公司董事會決議通過發行國內第一次有擔保可轉換公司債
23,2528,皇普,100/12/05,15:45:03,公告本公司董事會決議成立薪酬委員會及委任薪酬委員
24,2528,皇普,100/12/19,16:39:19,本公司100年第1次私募未募集完成
