,公司代號,公司名稱,發言日期,發言時間,主旨
0,2534,宏盛,107/02/01,11:13:32,澄清經濟日報上市櫃C6版報導
1,2534,宏盛,107/03/19,18:15:10,公告本公司發言人及代理發言人異動
2,2534,宏盛,107/03/29,17:51:05,公告本公司董事會決議召開股東會相關事宜
3,2534,宏盛,107/03/29,17:51:46,公告本公司董事會決議通過106年度員工酬勞及董監事酬勞
4,2534,宏盛,107/03/29,17:52:42,董事會決議股利分派
5,2534,宏盛,107/03/29,17:53:04,公告本公司盈餘轉增資發行新股
6,2534,宏盛,107/03/29,17:53:28,代子公司助群營造股份有限公司公告董事會 (代行股東會職權)重要決議事項
7,2534,宏盛,107/03/29,17:53:47,代子公司助群營造股份有限公司公告董事會通過 106年度員工酬勞及董監事酬勞
8,2534,宏盛,107/04/03,18:05:04,代子公司助群營造公告法人董監事代表人解任 暨達三分之一以上董監事發生變動
9,2534,宏盛,107/04/12,14:21:25,更正本公司106年10月至107年2月，與關係人取得處分資產、 進貨銷貨、應收及應付款項相關資訊
10,2534,宏盛,107/04/23,18:05:59,代重要子公司助群營造公告董事會(代行股東會 職權)決議106年度盈餘分配案
11,2534,宏盛,107/04/25,10:23:07,澄清經濟日報上市櫃公司C6版報導
12,2534,宏盛,107/06/26,11:04:56,澄清工商時報上市櫃B4版報導
13,2534,宏盛,107/06/26,13:40:31,公告本公司107年股東常會重要決議事項
14,2534,宏盛,107/06/28,16:21:32,公告本公司會計主管暨代理發言人異動
15,2534,宏盛,107/06/28,16:22:48,代重要子公司助群營造(股)公司公告會計主管異動
16,2534,宏盛,107/06/28,16:34:54,公告本公司汐止智興段889-1等九筆地號委建之相關資料
17,2534,宏盛,107/06/29,10:16:07,更正公告本公司汐止智興段889-1等九筆地號委建之相關資料
18,2534,宏盛,107/07/26,15:20:16,公告本公司董事會決議除權除息基準日及有關事項
19,2534,宏盛,107/08/10,14:15:01,代重要子公司助群營造(股)公司公告民國106年度 股利分派除息基準日及發放日期
20,2534,宏盛,107/08/10,14:16:01,代重要子公司助群營造(股)公司公告調整現金股利
21,2534,宏盛,107/09/12,18:08:42,本公司擬設立100%海外子公司，再轉投資 STC Garden Walk LLC之股權
22,2534,宏盛,107/10/25,16:55:31,補充說明民國107年9月12日本公司擬設立100%海外子公司， 再轉投資STC Garden Walk LLC之股權之公告
23,2534,宏盛,107/11/09,15:37:51,補充公告本公司新北市淡水區新市段211等四筆地號自地委建 之相關資料
24,2534,宏盛,107/12/20,14:26:42,本公司受邀參加群益金鼎證券舉辦之法人說明會
