,公司代號,公司名稱,發言日期,發言時間,主旨
0,2535,達欣工,107/03/20,14:33:37,公告本公司董事會決議召開股東會日期、地點及召集事由
1,2535,達欣工,107/03/20,14:38:50,董事會決議股利分派
2,2535,達欣工,107/05/07,17:03:44,代重要子公司達欣開發公告董事會決議106年度不發放股利
3,2535,達欣工,107/05/07,17:04:32,代重要子公司達欣開發公告107年度董事會代行股東常會召開日期
4,2535,達欣工,107/05/14,10:53:12,本公司受邀參加凱基證券舉辦之法人說明會
5,2535,達欣工,107/06/11,14:47:33,107年股東常會重要決議事項
6,2535,達欣工,107/06/11,16:47:32,本公司董事會決議除息基準日暨國內可轉換公司債停止轉換 期間公告
7,2535,達欣工,107/06/11,17:13:32,代子公司達欣開發(股)公司標售取得台北市信義區吳興段二小段 土地公告申報事宜
8,2535,達欣工,107/06/20,16:11:54,公告本公司調整106年度現金股利配息率
9,2535,達欣工,107/06/22,16:45:04,代重要子公司達欣開發公告董事會(代行股東會職權)重要決議事項
10,2535,達欣工,107/06/22,16:45:44,代重要子公司達欣開發公告新任董事及監察人
11,2535,達欣工,107/06/22,16:46:41,代重要子公司達欣開發公告董事長選任案
12,2535,達欣工,107/07/10,15:48:15,代子公司達欣開發(股)公司公告董事會決議發包工程契約予 關係人達欣工程(股)公司。
13,2535,達欣工,107/07/13,14:33:26,代子公司DACIN VIETNAM TAN TAO COMPANY LIMITED公告 出售營業項目內建案房屋
14,2535,達欣工,107/07/25,10:40:56,澄清107年7月25日工商時報之報導內容
15,2535,達欣工,107/08/07,16:18:48,公告本公司董事會決議發行國內第五次無擔保轉換公司債
16,2535,達欣工,107/10/24,14:13:36,公告本公司簽訂發行國內第五次無擔保轉換公司債 代收股款行庫及存儲專戶
17,2535,達欣工,107/12/10,17:17:09,"公告達欣工程股份有限公司國內第二次有擔保轉換公司債 (簡稱:達欣工二,代碼:25352)因於108年1月10日到期 暨訂於108年1月11日終止櫃檯買賣等相關事宜。"
18,2535,達欣工,107/12/14,10:47:00,"公告達欣工程股份有限公司國內第三次無擔保轉換公司債 (簡稱:達欣工三,代碼:25353)因於108年1月14日到期 暨訂於108年1月15日終止櫃檯買賣等相關事宜。"
