,公司代號,公司名稱,發言日期,發言時間,主旨
0,2538,基泰,105/03/17,17:33:17,公告本公司董事會決議召開105年股東常會相關事宜
1,2538,基泰,105/03/17,17:53:11,公告本公司董事會通過104年度員工及董監酬勞金額及發放方式
2,2538,基泰,105/04/21,17:29:02,本公司董事會決議股利分派
3,2538,基泰,105/05/12,17:25:00,本公司公告新增資金貸與金額達新臺幣一千萬元以上 且達最近期財務報表淨值百分之二以上
4,2538,基泰,105/05/12,17:25:56,本公司公告新增資金貸與金額達新臺幣一千萬元以上 且達最近期財務報表淨值百分之二以上
5,2538,基泰,105/06/07,16:39:22,公告本公司105年股東常會重要決議事項
6,2538,基泰,105/06/07,16:41:24,董事、監察人任期屆滿改選暨薪酬委員任期屆滿
7,2538,基泰,105/06/07,16:51:48,公告本公司105年股東常會通過解除董事競業禁止
8,2538,基泰,105/06/07,16:52:45,公告本公司董事會推選董事長
9,2538,基泰,105/06/07,16:53:32,公告本公司105年除息基準日暨資本公積分派現金基準日
10,2538,基泰,105/06/21,13:42:52,公告基泰建設股份有限公司國內第三次有擔保轉換公司債 (代號：25383，簡稱：基泰三)轉換價格調整
11,2538,基泰,105/08/04,16:11:27,公告本公司第三屆薪資報酬委員會委員名單
12,2538,基泰,105/11/04,18:31:40,公告本公司簽訂台北市文山區實踐段土地合建契約
13,2538,基泰,105/11/10,16:46:56,本公司公告新增資金貸與金額達新臺幣一千萬元以上 且達最近期財務報表淨值百分之二以上
14,2538,基泰,105/11/10,16:47:30,本公司公告新增資金貸與金額達新臺幣一千萬元以上 且達最近期財務報表淨值百分之二以上
