,公司代號,公司名稱,發言日期,發言時間,主旨
0,2542,興富發,100/01/03,18:21:08,公告本公司取得台北市萬華區漢中段三小段816地號土地。
1,2542,興富發,100/01/04,18:14:46,本公司99年1-12月累計自結獲利情形公告
2,2542,興富發,100/01/07,15:43:41,補充公告本公司取得台北市萬華區漢中段三小段816地號土地 鑑價資料。
3,2542,興富發,100/01/11,18:02:34,本公司董事會決議通過購買高雄市苓雅區林德官段土地公告。
4,2542,興富發,100/01/14,16:30:23,公告本公司取得高雄市苓雅區林德官段1302地號土地一筆。
5,2542,興富發,100/01/25,11:33:59,澄清報紙媒體對本公司獲利業績之報導。
6,2542,興富發,100/03/08,11:11:47,工商時報A16版報載有關本公司92年銷售案廣告遭罰300萬元說明。
7,2542,興富發,100/03/10,11:53:07,"參加美林證券舉辦「Taiwan, Technology & Beyond 2011 」會議"
8,2542,興富發,100/03/14,10:37:42,公告日本強震對本公司財務及業務並無重大影響。
9,2542,興富發,100/03/14,14:51:30,公告本公司董事會決議召開一○○年股東常會相關事宜。
10,2542,興富發,100/03/14,14:51:59,本公司董事會決議分派99年度現金股利。
11,2542,興富發,100/03/14,14:52:39,本公司國內第三次有擔保轉換公司債(代號：25423) 到期還本暨終止上櫃公告
12,2542,興富發,100/03/17,14:11:21,澄清工商時報B5版對本公司營收獲利之報導。
13,2542,興富發,100/04/06,17:45:35,本公司100年1-3月累計自結獲利情形公告
14,2542,興富發,100/06/09,12:41:56,公告本公司一00年股東常會決議事項。
15,2542,興富發,100/06/09,12:42:10,公告本公司100年股東常會董事、監察人全面改選。
16,2542,興富發,100/06/09,12:42:23,本公司股東會通過解除新任董事競業禁止之限制。
17,2542,興富發,100/06/09,12:42:35,公告本公司董事會推選鄭欽天先生續任董事長。
18,2542,興富發,100/06/10,12:20:24,澄清蘋果日報B5版對本公司營收獲利之報導。
19,2542,興富發,100/06/29,12:12:50,公告本公司董事會決議除息基準日、現金股利發放日事宜。
20,2542,興富發,100/06/29,12:13:02,本公司董事會決議除息基準日及國內有擔保轉換公司債 停止轉換期間相關事宜公告。
21,2542,興富發,100/07/04,18:16:14,本公司100年1-6月累計自結獲利情形公告
22,2542,興富發,100/07/06,17:43:55,公告本公司調整配息率。
23,2542,興富發,100/08/08,10:31:56,公告本公司取得台中市西屯區惠民段145地號土地。
24,2542,興富發,100/10/05,15:27:18,本公司100年1-9月累計自結獲利情形公告
25,2542,興富發,100/11/08,10:56:35,澄清工商時報B4版法人對本公司營收獲利之報導。
26,2542,興富發,100/12/13,13:58:00,本公司董事會決議庫藏股減資基準日。
27,2542,興富發,100/12/13,13:58:18,公告本公司董事會決議自101年3月1日起更換股務代理機構事宜。
28,2542,興富發,100/12/19,17:41:11,公告本公司董事會決議設置「薪資報酬委員會」，訂定 「薪資報酬委員會組織規程」，並委任「薪資報酬委員會」委員。
29,2542,興富發,100/12/19,17:41:22,公告本公司與宏泰人壽(股)公司簽訂新北市淡水區新市段土地 合建契約。
