,公司代號,公司名稱,發言日期,發言時間,主旨
0,2543,皇昌,100/02/15,16:25:01,本公司接獲臺灣臺北地方法院無罪判決書
1,2543,皇昌,100/03/14,11:51:42,公告日本強震對本公司財務及業務無影響
2,2543,皇昌,100/03/28,16:23:12,公告本公司董事會決議召開100年股東常會事宜
3,2543,皇昌,100/04/29,16:50:30,補充公告本公司董事會決議召開100年股東常會事宜
4,2543,皇昌,100/04/29,16:50:47,公告本公司董事會決議不發放股利
5,2543,皇昌,100/04/29,16:52:04,公告董事會決議99年私募有價證券案於剩餘期間內不繼續辦理
6,2543,皇昌,100/05/04,17:15:21,說明本公司100年第一季營收自結數與會計師核閱數之差異
7,2543,皇昌,100/05/06,16:26:20,更正本公司資金貸明細表資訊
8,2543,皇昌,100/05/16,11:15:30,澄清工商時報100年5月14日B5版有關本公司之報導
9,2543,皇昌,100/06/17,16:55:40,公告本公司100年股東常會重要決議事項
10,2543,皇昌,100/06/17,17:04:00,公告本公司董事及監察人改選事宜
11,2543,皇昌,100/08/01,13:19:08,澄清工商時報100年8月1日報導
12,2543,皇昌,100/09/06,11:02:44,更正本公司資金貸明細表資訊
13,2543,皇昌,100/09/26,16:30:39,更正本公司資金貸與明細表資訊
14,2543,皇昌,100/10/03,08:53:44,公告本公司取得「環狀線CF640區段標工程」
15,2543,皇昌,100/11/08,16:59:44,公告本公司辦理庫藏股註銷減資相關事宜
16,2543,皇昌,100/11/24,16:58:45,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
17,2543,皇昌,100/12/30,17:01:38,公告本公司設置薪資報酬委員會及委任薪酬委員
18,2543,皇昌,100/12/30,17:07:12,公告本公司會計主管異動
