,公司代號,公司名稱,發言日期,發言時間,主旨
0,2546,根基,107/01/04,18:24:40,取得「台積電中科十五廠七期CUP設施棟新建工程」標案
1,2546,根基,107/01/11,15:24:08,公告本公司法人董事代表人異動
2,2546,根基,107/03/14,18:17:07,取得「美光華亞廠CSA CUB-1B營建工程」標案
3,2546,根基,107/03/26,17:05:36,公告本公司董事會決議召開107年股東常會相關事宜
4,2546,根基,107/03/26,17:08:50,董事會決議股利分派
5,2546,根基,107/03/26,17:09:34,公告本公司董事會決議通過106年度員工酬勞及董監事酬勞案
6,2546,根基,107/06/22,11:12:05,本公司一Ｏ七年股東常會重要決議事項
7,2546,根基,107/07/02,14:13:13,董事會決議除息基準日暨現金股利發放日
8,2546,根基,107/07/02,14:13:59,公告本公司內部稽核主管變動
9,2546,根基,107/11/21,15:27:54,本公司受邀參加福邦證券舉辦之法人說明會
10,2546,根基,107/12/21,16:09:54,本公司捐贈財團法人冠德玉山教育基金會事宜
