,公司代號,公司名稱,發言日期,發言時間,主旨
0,2546,根基,108/03/20,17:59:55,公告本公司董事會決議召開108年股東常會相關事宜
1,2546,根基,108/03/20,18:01:20,董事會決議股利分派
2,2546,根基,108/03/20,18:02:43,公告本公司董事會決議通過107年度員工酬勞及董監事酬勞案
3,2546,根基,108/04/08,14:40:39,取得「新北市新店區寶高智慧產業園區統包工程」標案
4,2546,根基,108/06/12,13:43:54,取得「南門大樓暨市場改建統包工程及臺北市內湖區南湖國民小學 活動中心新建工程」標案
5,2546,根基,108/06/17,13:35:41,本公司一Ｏ八年股東常會重要決議事項
6,2546,根基,108/06/17,13:36:16,董事會決議除息基準日暨現金股利發放日
7,2546,根基,108/06/17,13:36:48,公告本公司薪資報酬委員會委員異動
8,2546,根基,108/11/06,13:32:20,取得「C212標臺南車站地下化工程」標案
9,2546,根基,108/11/20,15:41:11,本公司受邀參加中國信託證券舉辦之法人說明會
10,2546,根基,108/12/13,18:05:14,取得「桃園會展中心統包工程」標案
11,2546,根基,108/12/20,18:09:50,本公司捐贈財團法人冠德玉山教育基金會事宜
