,公司代號,公司名稱,發言日期,發言時間,主旨
0,2547,日勝生,100/01/12,19:01:44,本公司經董事會決議參與子公司兆曜實業(股)公司之現金增資。
1,2547,日勝生,100/01/12,19:03:29,公告本公司91年度發行之國內第一次無擔保轉換公司債 計畫變更事宜
2,2547,日勝生,100/03/14,13:03:57,公告100/3/11日本地震對本公司財務業務並無重大影響
3,2547,日勝生,100/03/22,18:37:11,代重要子公司萬達通實業(股)公司公告董事會決議99年度 盈餘分配案
4,2547,日勝生,100/03/22,18:37:28,代重要子公司萬達通實業(股)公司公告董事會決議召開 100年股東常會相關事宜
5,2547,日勝生,100/03/24,18:10:54,本公司董事會決議99年度盈餘分配案
6,2547,日勝生,100/03/24,19:04:59,本公司董事會決議盈餘及員工紅利轉增資發行新股事宜
7,2547,日勝生,100/03/24,19:05:24,公告本公司董事會決議召開一百年股東常會相關事宜
8,2547,日勝生,100/03/24,19:41:26,公告本公司經董事會決議參與子公司日耀開發股份有限公司 之現金增資。
9,2547,日勝生,100/04/13,20:53:34,代子公司泰誠發展營造股份有限公司公告： 依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款規定辦理
10,2547,日勝生,100/04/14,19:56:28,公告本公司經董事會決議參與子公司京站實業 股份有限公司之現金增資。
11,2547,日勝生,100/04/28,17:00:48,說明工商時報B1版之報導
12,2547,日勝生,100/05/03,19:06:52,補充公告本公司董事會決議新增100年股東常會報告及承認議案
13,2547,日勝生,100/05/03,19:07:06,公告子公司京站實業(股)公司資金貸與他人超過限額 之改善執行情形報告
14,2547,日勝生,100/05/03,19:07:24,公告本公司經董事會決議購買新秀閣大飯店股份有限公司股權。
15,2547,日勝生,100/05/03,19:07:41,公告本公司董事會決議購買臺北市北投區溫泉段一小段土地。
16,2547,日勝生,100/06/08,18:24:18,公告本公司出售臺北市重慶南路一段57號房地
17,2547,日勝生,100/06/10,18:39:09,代重要子公司萬達通實業(股)公司公告一百年股東常 會重大決議事項
18,2547,日勝生,100/06/15,18:44:06,公告本公司一百年股東常會重大決議事項
19,2547,日勝生,100/07/14,18:36:25,公告本公司董事會決議增資配股配息基準日及相關事宜
20,2547,日勝生,100/07/25,18:57:24,代重要子公司萬達通實業股份有限公司公告董事會決議 股利配發基準日
21,2547,日勝生,100/07/28,14:20:53,公告本公司召開法人說明會事宜
22,2547,日勝生,100/08/15,17:42:22,本公司受邀參加麥格理證券舉行之 「2011 North Asia Conference」法人說明會
23,2547,日勝生,100/08/29,17:37:09,本公司100年上半年度財務報表及合併財務報表揭露之預收 股款（股東權益項下）之約當發行股數誤植更正說明
24,2547,日勝生,100/09/30,16:06:10,公告本公司取得「新北市板橋浮洲合宜住宅招商投資興建 計畫-第一區暨第二區土地標售案」
25,2547,日勝生,100/10/13,18:52:14,公告本公司經董事會決議參與子公司日勝生加賀屋 國際溫泉飯店股份有限公司之現金增資。
26,2547,日勝生,100/10/28,16:27:08,說明經濟日報C2版之報導
27,2547,日勝生,100/11/21,18:22:30,公告本公司與內政部營建署簽訂新北市板橋浮洲合宜住宅 招商投資興建計畫「第一區及第二區」土地標售案契約事宜
28,2547,日勝生,100/11/22,18:29:43,公告本公司董事會決議訂定註銷第二次買回庫藏股之 減資基準日
29,2547,日勝生,100/11/22,18:29:58,本公司董事會決議辦理現金增資發行新股
30,2547,日勝生,100/11/22,18:30:38,本公司董事會決議發行國內第三次及第四次無擔保轉換 公司債
31,2547,日勝生,100/11/24,15:57:02,說明理財周刊100/11/23之報導
32,2547,日勝生,100/12/13,20:46:41,公告本公司董事會決議成立薪資報酬委員會及聘任委員事宜。
33,2547,日勝生,100/12/13,20:46:53,公告本公司董事會決議與新亞建設開發股份有限公司/泰誠 發展營造股份有限公司聯合承攬體簽訂新北市板橋浮洲合宜住 宅案假設工程、基礎工程、結構工程及機電工程之工程契約書。
34,2547,日勝生,100/12/13,20:47:05,代重要子公司萬達通實業股份有限公司公告 依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第一款規定辦理
35,2547,日勝生,100/12/13,20:47:16,代重要子公司萬達通實業股份有限公司公告： 依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
