,公司代號,公司名稱,發言日期,發言時間,主旨
0,2548,華固,104/02/04,16:17:16,公告追加文山區羅斯福路六段142巷新建工程建築及機電工程 承攬契約。
1,2548,華固,104/02/12,18:02:26,公告本公司取得台北市松山區敦化段二小段41、41-1、 41-2、41-3地號土地持分23.77坪。
2,2548,華固,104/03/06,16:33:09,公告本公司取得新北市土城區廷寮段512地號土地計壹筆。
3,2548,華固,104/03/11,15:00:55,董事會決議召開104年股東常會日期、地點及相關事項
4,2548,華固,104/03/11,15:04:55,董事會決議分派103年度股利
5,2548,華固,104/03/11,18:23:16,公告本公司董事會通過103年度個體財務報告及合併財務報告
6,2548,華固,104/03/18,13:57:54,補行公告本公司取得新北市土城區廷寮段512地號土地計壹筆。
7,2548,華固,104/03/20,16:53:31,本公司與璞真建設股份有限公司共同投資都市更新開發案。
8,2548,華固,104/04/08,11:54:12,說明104年04月08日經濟日報C7版報導
9,2548,華固,104/04/15,17:44:58,公告新北市土城區廷寮段512地號新建工程建築工程承攬契約。
10,2548,華固,104/05/04,07:59:14,本公司受邀參加機構法人說明會簡介本公司營運績效及策略
11,2548,華固,104/05/06,15:28:27,公告本公司董事會通過104年第1季合併財務報告
12,2548,華固,104/05/06,15:28:49,公告本公司擬出售新天地YOHO房地使用權予關係人。
13,2548,華固,104/05/07,11:56:22,補行公告新北市土城區廷寮段512地號新建工程建築工程 承攬契約。
14,2548,華固,104/06/16,15:29:29,本公司104年股東常會重要決議事項
15,2548,華固,104/06/29,15:50:43,本公司決定除息基準日
16,2548,華固,104/08/05,15:36:14,公告本公司董事會通過104年第2季合併財務報告
17,2548,華固,104/08/05,17:46:16,公告追加北投區三合段25、28地號新建建築工程承攬契約。
18,2548,華固,104/08/06,11:16:04,說明104年08月06日經濟日報C7版報導
19,2548,華固,104/08/25,11:35:37,補行公告追加北投區三合段25、28地號新建建築工程承攬契約。
20,2548,華固,104/09/04,15:44:09,本公司受邀參加機構法人說明會簡介本公司營運績效及策略
21,2548,華固,104/10/27,11:15:02,說明104年10月27日經濟日報C7版報導
22,2548,華固,104/11/05,15:52:34,公告本公司董事會通過104年第3季合併財務報告
23,2548,華固,104/12/09,17:37:24,公告本公司取得台北市松山區延吉段三小段691等10筆地號 持分土地，及松山區敦化南路1段3號等建物。
24,2548,華固,104/12/10,11:18:11,說明104年12月10日蘋果日報財經B7版報導
25,2548,華固,104/12/10,11:40:39,說明104年12月10日蘋果日報報導(更正前則傳播媒體名稱)
26,2548,華固,104/12/22,15:17:05,補行公告本公司取得台北市松山區延吉段三小段691等10筆地號 持分土地，及松山區敦化南路1段3號等建物。
