,公司代號,公司名稱,發言日期,發言時間,主旨
0,2603,長榮,104/01/20,18:55:52,公告本公司購買新造貨櫃及冷凍機
1,2603,長榮,104/03/24,11:55:53,澄清自由時報104年3月24日C2版報導
2,2603,長榮,104/03/27,16:54:12,董事會決議股利分派
3,2603,長榮,104/03/27,16:56:19,公告本公司董事會決議召開104年股東常會事宜
4,2603,長榮,104/03/27,16:59:53,公告本公司董事會決議盈餘轉增資發行新股
5,2603,長榮,104/03/27,17:02:45,公告本公司會計主管異動
6,2603,長榮,104/05/15,17:23:50,"公告本公司董事會決議訂造十艘2,800TEU全貨櫃輪"
7,2603,長榮,104/06/17,19:20:52,公告本公司104年股東常會重要決議事項
8,2603,長榮,104/06/17,19:24:36,公告本公司104年股東常會決議解除董事之競業限制案
9,2603,長榮,104/07/06,17:44:04,公告本公司董事會決議訂定配息、配股及增資基準日
10,2603,長榮,104/07/06,17:47:28,"本公司擬向台灣國際造船股份有限公司訂造五艘2,800TEU全貨櫃輪"
11,2603,長榮,104/07/06,17:48:49,"本公司擬向今治造船株式會社訂造五艘2,800TEU全貨櫃輪"
12,2603,長榮,104/07/15,17:42:41,公告本公司之子公司Peony Investment S.A.決議增資 Balsam Investment (Netherlands) N.V.
13,2603,長榮,104/08/17,08:54:53,澄清各大媒體104年8月14日報導
14,2603,長榮,104/09/25,17:34:03,公告本公司之子公司Peony Investment S.A.決議增資 Balsam Investment (Netherlands) N.V.
15,2603,長榮,104/09/30,17:54:51,公告本公司依據會計準則第39號公報認列金融資產之減損
16,2603,長榮,104/11/13,18:12:39,本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款之標 準
17,2603,長榮,104/11/25,17:59:56,"本公司代子公司青標海運公司公告擬向 台灣國際造船股份有限公司訂造五艘2,800TEU全貨櫃輪"
18,2603,長榮,104/11/25,18:00:44,"本公司代子公司青標海運公司公告擬向 今治造船株式會社訂造五艘2,800TEU全貨櫃輪"
19,2603,長榮,104/12/14,17:53:08,公告本公司之子公司Peony Investment S.A.決議增資 Balsam Investment (Netherlands) N.V.
20,2603,長榮,104/12/24,17:52:23,公告本公司董事會決議捐贈財團法人張榮發慈善基金會事宜
21,2603,長榮,104/12/24,17:57:57,本公司新增背書保證金額達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款之標 準
