,公司代號,公司名稱,發言日期,發言時間,主旨
0,2605,新興,104/01/12,10:49:32,更正本公司103年12月營收及相關公告
1,2605,新興,104/01/26,16:00:01,"子公司樂利轉投資Pacifica原訂造之18萬噸散貨輪更換為 30萬噸VLCC,併案取消轉投資Dynasty訂造18萬噸散貨輪"
2,2605,新興,104/03/02,19:32:40,"代重要子公司Heywood Limited補公告增資USD12,000,000.- 予其100%轉投資子公司Howells Shipping Inc."
3,2605,新興,104/03/03,14:54:13,代重要子公司 Norley Corporation Inc.補公告董事異動。
4,2605,新興,104/03/27,14:58:56,公告本公司董事會決議事項
5,2605,新興,104/03/27,15:23:16,本公司董事會決議召開股東常會
6,2605,新興,104/03/27,15:55:02,董事會決議股利分派
7,2605,新興,104/03/27,16:36:15,代理公告重要子公司海德航運公司資金貸與本公司美金參仟萬元。
8,2605,新興,104/03/27,16:51:45,代理公告重要子公司樂利航運公司資金貸與本公司美金貳仟萬元。
9,2605,新興,104/05/14,15:03:37,本公司董事會報告104年度第一季合併財務報告
10,2605,新興,104/05/19,16:06:35,更正104年第一季合併財報第33頁資金貸與他人資料
11,2605,新興,104/06/16,14:51:41,本公司104年度股東會重要決議事項
12,2605,新興,104/06/16,15:14:23,"董事會訂定現金股利除息交易日104年7月3日， 配息基準日7月11日,發放日為8月5日。"
13,2605,新興,104/07/06,14:39:45,代理公告重要子公司樂利航運公司決議發放現金股利 美金壹仟捌佰萬元
14,2605,新興,104/08/13,14:43:30,本公司董事會報告104年度第二季合併財務報告
15,2605,新興,104/09/25,17:17:18,代重要子公司Norley Ltd. 公告擬自合資公司取得原50%持股 子公司 Winnington Ltd. 另50%股權
16,2605,新興,104/10/19,16:38:55,更正104年9月份資金貸與他人申報事項
17,2605,新興,104/11/12,14:45:16,本公司董事會報告104年度第三季合併財務報告
