,公司代號,公司名稱,發言日期,發言時間,主旨
0,2605,新興,109/01/06,17:47:34,本公司將受邀參加華南永昌證券法人拜訪會議
1,2605,新興,109/03/27,17:46:40,董事會決議召開109年股東常會-其他議案
2,2605,新興,109/03/27,18:01:19,董事會決議股利分派
3,2605,新興,109/03/27,18:22:34,代公告重要子公司-原海德公司資金貸與本公司 美金貳仟萬元期限展延，為期五年。
4,2605,新興,109/03/27,18:22:59,代公告重要子公司-原樂利公司資金貸與本公司 美金參仟伍佰萬元期限展延，為期五年。
5,2605,新興,109/03/30,09:39:33,更正-代重要子公司公告-原資金貸與本公司展延 事實發生日為109/03/27
6,2605,新興,109/06/19,14:31:53,本公司109年度股東常會重要決議事項
7,2605,新興,109/06/19,14:32:39,董事會訂定除息交易日109年7月8日， 配息基準日7月14日，發放日為8月5日。
8,2605,新興,109/07/21,13:48:00,代理公告重要子公司-海德公司決議發放現金股利 美金八佰萬元
9,2605,新興,109/10/08,16:40:47,子公司樂利公司持股100%子公司Peg Shipping Company Ltd. 出售散裝貨輪明安輪壹艘，預計109年10月中交船。
