,公司代號,公司名稱,發言日期,發言時間,主旨
0,2607,榮運,105/02/19,08:50:18,說明報載長榮集團張榮發創辦人遺囑事宜
1,2607,榮運,105/03/16,18:24:26,本公司法人董事及法人監察人改派代表人
2,2607,榮運,105/03/25,18:39:44,董事會決議股利分派
3,2607,榮運,105/03/25,19:01:00,公告召開105年股東常會
4,2607,榮運,105/03/25,19:08:13,本公司法人董事改派代表人暨同一任期累計董事 異動席次達三分之一
5,2607,榮運,105/03/25,19:10:14,本公司董事長異動
6,2607,榮運,105/03/25,19:25:26,本公司董事會通過104年度員工酬勞及董監酬勞 分派議案
7,2607,榮運,105/04/20,19:21:28,"本公司遭公平交易委員會處以新台幣1,725萬元罰鍰"
8,2607,榮運,105/05/06,16:31:15,代本公司之子公司「立盛企業」公告購買新造貨櫃。
9,2607,榮運,105/05/09,18:18:27,補充公告召開105年股東常會
10,2607,榮運,105/06/15,19:08:50,公告本公司105年股東常會重要決議事項
11,2607,榮運,105/06/15,19:10:51,公告本公司105年股東常會通過解除張董事國華之競業限制
12,2607,榮運,105/06/23,18:57:28,公告本公司法人董事代表人異動
13,2607,榮運,105/07/12,17:18:29,公告本公司董事會決議訂定配息基準日及現金股利發放日
14,2607,榮運,105/09/02,16:27:02,代本公司之子公司「立盛企業」公告購買新造貨櫃。
15,2607,榮運,105/11/29,16:27:38,代本公司之子公司「立盛企業」公告購買新造貨櫃。
16,2607,榮運,105/12/22,16:52:15,公告本公司董事會通過捐贈事宜
17,2607,榮運,105/12/22,17:00:02,公告本公司內部稽核主管異動
