,公司代號,公司名稱,發言日期,發言時間,主旨
0,2608,嘉里大榮,107/03/22,17:52:36,公告本公司董事會決議召開107年股東常會日期及相關事宜
1,2608,嘉里大榮,107/03/22,18:02:00,本公司處分不動產予關係人
2,2608,嘉里大榮,107/05/08,17:25:55,補正公告本公司董事會決議召開107年股東常會相關事宜
3,2608,嘉里大榮,107/05/08,17:26:13,公告本公司稽核主管異動
4,2608,嘉里大榮,107/05/08,17:26:32,董事會決議股利分派
5,2608,嘉里大榮,107/06/26,16:30:31,公告本公司107年股東常會重要決議事項
6,2608,嘉里大榮,107/06/26,16:31:03,公告本公司董事會決議配息基準日
7,2608,嘉里大榮,107/06/26,16:31:53,本公司107年股東常會決議解除董事競業禁止限制
8,2608,嘉里大榮,107/07/10,14:13:39,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
9,2608,嘉里大榮,107/07/11,09:51:48,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
10,2608,嘉里大榮,107/07/12,09:37:11,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
11,2608,嘉里大榮,107/07/13,09:36:04,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
12,2608,嘉里大榮,107/07/16,14:38:37,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
13,2608,嘉里大榮,107/07/17,09:38:22,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
14,2608,嘉里大榮,107/07/18,09:32:42,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
15,2608,嘉里大榮,107/07/19,11:14:32,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
16,2608,嘉里大榮,107/07/20,11:35:34,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
17,2608,嘉里大榮,107/07/23,10:07:17,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
18,2608,嘉里大榮,107/07/24,10:06:22,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
19,2608,嘉里大榮,107/07/25,12:33:36,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
20,2608,嘉里大榮,107/07/26,09:35:28,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
21,2608,嘉里大榮,107/07/27,11:38:52,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
22,2608,嘉里大榮,107/07/30,09:23:28,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
23,2608,嘉里大榮,107/07/31,14:12:17,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
24,2608,嘉里大榮,107/08/01,10:29:53,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
25,2608,嘉里大榮,107/08/02,09:39:40,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
26,2608,嘉里大榮,107/08/03,09:23:16,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
27,2608,嘉里大榮,107/08/06,11:45:04,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
28,2608,嘉里大榮,107/08/07,10:17:39,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
29,2608,嘉里大榮,107/08/08,12:21:58,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
30,2608,嘉里大榮,107/08/09,13:32:33,公告本公司證券簡稱由「大榮」更名為「嘉里大榮」
31,2608,嘉里大榮,107/11/09,16:17:13,公告本公司取得科學城物流股份有限公司股權
32,2608,嘉里大榮,107/12/06,10:08:26,公告本公司召開法人說明會相關訊息
33,2608,嘉里大榮,107/12/14,11:50:43,澄清媒體報導
