,公司代號,公司名稱,發言日期,發言時間,主旨
0,2611,志信,109/02/12,16:22:20,董事會決議買回庫藏股申報
1,2611,志信,109/03/24,17:00:47,代重要子公司－新海運輸倉儲(股)公司 公告董事會決議召開109年股東常會相關事宜
2,2611,志信,109/03/24,17:01:34,代重要子公司－新海運輸倉儲(股)公司 公告董事會決議分配股利事宜
3,2611,志信,109/03/26,16:34:27,公告本公司董事會決議召開109年股東常會相關事宜
4,2611,志信,109/03/26,16:43:07,董事會決議不分派股利
5,2611,志信,109/03/26,17:21:43,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
6,2611,志信,109/04/10,14:54:09,公告本公司第13次庫藏股買回期間未滿執行完畢
7,2611,志信,109/05/13,18:12:11,臺灣臺北地方法院就本公司向遠東航空股份有限公司提出民 事訴訟之判決
8,2611,志信,109/05/14,15:29:15,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
9,2611,志信,109/05/14,15:30:15,公告本公司董事會決議註銷庫藏股減資基準日
10,2611,志信,109/05/22,15:13:40,代重要子公司－新海運輸倉儲(股)公司公告股東會重要決議事項
11,2611,志信,109/05/28,18:37:18,臺灣臺北地方法院就本公司聲請本票准許強制執行之裁定
12,2611,志信,109/06/09,17:54:30,公告本公司庫藏股註銷減資變更登記完成
13,2611,志信,109/06/24,17:20:20,公告本公司109年股東常會決議事項
14,2611,志信,109/06/24,17:21:27,公告本公司第十三屆董事(含獨立董事)當選名單
15,2611,志信,109/06/24,17:22:24,公告本公司董事會推選董事長及副董事長
16,2611,志信,109/06/24,17:22:57,公告本公司第三屆薪資報酬委員會委員任期屆滿
17,2611,志信,109/06/24,17:23:24,公告本公司成立審計委員會
18,2611,志信,109/06/24,17:24:09,公告本公司109年股東會通過解除董事競業禁止之限制案
19,2611,志信,109/06/29,15:38:08,更正-公告本公司成立審計委員會
20,2611,志信,109/07/08,16:25:52,公告本公司董事會決議委任第四屆薪資報酬委員會委員
21,2611,志信,109/07/08,16:26:42,依公開發行公司(資金貸與及背書保證處理準則) 第二十二條第一項第三款公告
22,2611,志信,109/07/08,16:27:48,公告本公司董事會決議出售投資性不動產
23,2611,志信,109/07/09,16:04:42,澄清媒體報導
24,2611,志信,109/08/13,16:16:39,依公開發行公司(資金貸與及背書保證處理準則) 第二十五條第一項第四款公告
25,2611,志信,109/08/31,18:16:43,公告本公司向臺灣臺北地方法院聲請強制執行案件結果。
26,2611,志信,109/09/28,17:25:42,代重要子公司新海運輸倉儲(股)公司公告決議除息基準日
27,2611,志信,109/10/14,15:14:49,公告本公司召開法說會相關內容
