,公司代號,公司名稱,發言日期,發言時間,主旨
0,2612,中航,107/01/30,16:08:32,公告本公司董事會決議107年股東常會召開事宜
1,2612,中航,107/03/20,11:28:10,代孫公司CHINA PRIDE SHIPPING LIMITED. 公告發放現金股利
2,2612,中航,107/03/31,13:56:50,董事會決議股利分派
3,2612,中航,107/05/30,14:05:46,公告本公司一Ｏ七年度股東常會重要決議事項
4,2612,中航,107/05/30,14:07:00,公告本公司配發現金股利基準日
5,2612,中航,107/05/30,16:42:46,代子公司偉聯運輸股份有限公司公告發放現金股利
6,2612,中航,107/08/10,15:59:35,"因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息,以利投資人區別瞭解。"
7,2612,中航,107/08/10,17:51:00,"(更正)因本公司有價證券於集中交易市場達公布注意交易資訊標準 故公布相關財務業務等重大訊息,以利投資人區別瞭解。"
8,2612,中航,107/08/27,16:20:00,代重要子公司CHINA PRIDE SHIPPING LIMITED. 公告發放現金股利
9,2612,中航,107/08/31,14:02:46,公告本公司召開法說會相關內容
10,2612,中航,107/11/21,14:37:18,"代重要子公司CHINESE MARITIME TRANSPORT (HONG KONG), LIMITED.公告發放現金股利"
11,2612,中航,107/12/11,17:22:48,公告本公司召開法說會相關內容
