,公司代號,公司名稱,發言日期,發言時間,主旨
0,2615,萬海,102/01/04,15:48:56,代重要子公司萬海航運新加坡子公司公告 臨時股東會決議
1,2615,萬海,102/01/21,15:21:51,公告本公司取得台北港貨櫃碼頭股份有限公司現金增資普通股
2,2615,萬海,102/01/22,11:44:35,公告本公司取得台北港貨櫃碼頭股份有限公司現金增資普通股 (更正)
3,2615,萬海,102/02/22,16:09:46,"公告本公司取得貨櫃9,550個"
4,2615,萬海,102/02/22,16:10:15,"公告本公司取得貨櫃8,700個"
5,2615,萬海,102/02/27,16:04:34,補充本公司於100年9月23日所做處分船舶之公告
6,2615,萬海,102/02/27,16:17:28,補充代新加坡子公司公告於100年9月23日所做取得船舶之公告
7,2615,萬海,102/03/25,15:29:32,公告本公司董事會決議召開一O二年股東會相關事宜
8,2615,萬海,102/03/25,15:32:08,公告本公司董事會決議解除本公司經理人之競業禁止限制
9,2615,萬海,102/03/26,15:36:11,公告本公司法人董事之代表人異動
10,2615,萬海,102/03/27,16:50:17,公告地震對本公司之財務業務並無重大影響。
11,2615,萬海,102/04/08,17:19:54,本公司應邀參加匯豐銀行(HSBC)於香港舉辦之法人說明會
12,2615,萬海,102/04/15,16:42:39,補充本公司於100年9月23日所做處分船舶之公告
13,2615,萬海,102/04/15,17:25:02,補充代新加坡子公司公告於100年9月23日所做取得船舶之公告
14,2615,萬海,102/04/24,17:47:19,公告本公司董事會決議修正一○二年股東常會召集事由
15,2615,萬海,102/04/24,17:50:37,董事會決議股利分派
16,2615,萬海,102/05/08,15:38:45,代重要子公司萬海航運(新加坡)有限公司公告其董事會決議 召開股東會事宜
17,2615,萬海,102/05/23,14:17:21,代重要子公司萬海航運(新加坡)有限公司 公告股東會重要決議
18,2615,萬海,102/06/14,15:48:41,公告本公司董事會決議訂定101年度盈餘分配現金股利 之配息基準日
19,2615,萬海,102/06/14,15:49:14,一○二年股東常會重要決議事項
20,2615,萬海,102/06/14,15:49:45,公告本公司股東會決議解除新任董事競業禁止之限制
21,2615,萬海,102/06/20,17:13:13,本公司應邀參加瑞士銀行(UBS)於香港舉辦之法人說明會
22,2615,萬海,102/06/25,15:48:44,補充本公司於100年9月23日所做處分船舶之公告
23,2615,萬海,102/06/25,16:15:48,補充代新加坡子公司公告於100年9月23日所做取得船舶之公告
24,2615,萬海,102/07/14,16:37:55,變更本公司99年8月23日申報100%子公司-萬海航運(香港) 股份有限公司處分揚子江快運航空股權轉讓合同。
25,2615,萬海,102/08/02,15:01:26,補充公告本公司取得台北港貨櫃碼頭股份有限公司現金增資普通股
26,2615,萬海,102/08/13,15:08:22,澄清102年08月13日經濟日報C7版 報導貨櫃三強萬海最佳乙事之說明
27,2615,萬海,102/08/13,18:49:27,本公司依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第一款規定公告
28,2615,萬海,102/08/13,18:50:21,本公司依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款規定公告
29,2615,萬海,102/08/13,18:50:59,本公司依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款規定公告
30,2615,萬海,102/08/20,14:35:52,說明本公司102年第2季關係人交易申報與會計師核閱數差異
31,2615,萬海,102/09/11,15:37:10,本公司應邀參加瑞士信貸銀行於台北舉辦之法人說明會
32,2615,萬海,102/10/22,17:10:32,公告本公司取得中華電信股票
33,2615,萬海,102/11/08,14:39:10,公告本公司法人董事改派代表人
34,2615,萬海,102/11/12,14:19:40,公告本公司董事會決議通過2014年新櫃採購案
35,2615,萬海,102/11/18,16:44:09,公告本公司董事會決議解除本公司經理人之競業禁止限制
36,2615,萬海,102/11/28,17:18:34,"公告本公司取得貨櫃12,700個"
37,2615,萬海,102/12/23,14:32:11,公告本公司董事會通過關係人捐贈案
