,公司代號,公司名稱,發言日期,發言時間,主旨
0,2617,台航,103/02/21,18:04:26,代子公司新旺海運有限公司公告董事會決議102年度盈餘分配案
1,2617,台航,103/02/27,18:30:34,公告本公司103年股東常會相關事宜
2,2617,台航,103/02/27,18:59:13,本公司為子公司台新海運公司新增背書保證相關事宜。
3,2617,台航,103/03/12,18:12:27,法人董事之代表人變動
4,2617,台航,103/05/05,18:46:40,公告本公司103年股東常會相關事宜
5,2617,台航,103/05/05,18:48:06,董事會決議股利分派
6,2617,台航,103/06/19,15:56:40,公告本公司102年股東常會重要決議事項
7,2617,台航,103/06/19,16:50:11,訂定103年7月13日為發放102年度現金股利除息基準日
8,2617,台航,103/06/25,16:51:42,更正本公司103年2月至103年5月之期末背書 保證餘額等事宜。
9,2617,台航,103/08/29,17:04:45,公告修正本公司102年度年報部份資料
10,2617,台航,103/12/22,17:04:21,內部稽核主管變動
11,2617,台航,103/12/25,18:05:00,代子公司巴商台新海運有限公司公告董事異動
12,2617,台航,103/12/25,18:05:42,代子公司新旺海運有限公司公告董事異動
