,公司代號,公司名稱,發言日期,發言時間,主旨
0,2618,長榮航,101/02/14,13:15:33,說明經濟日報101年2月14日A4版報導
1,2618,長榮航,101/02/14,13:15:54,澄清工商時報101年2月14日A4版報導
2,2618,長榮航,101/02/14,13:37:48,公告本公司董事會決議購買A320-200及B777-300ER模擬機各 乙架之相關訊息
3,2618,長榮航,101/02/14,13:42:55,公告本公司自地委建南崁園區第二訓練大樓之相關訊息
4,2618,長榮航,101/03/16,13:49:03,公告本公司董事會決議100年度盈餘分配案。
5,2618,長榮航,101/03/16,13:49:50,公告本公司董事會決議辦理乙架MD-11貨機售後租回之相關訊息
6,2618,長榮航,101/03/16,13:50:34,公告本公司董事會決議購買3架B777-300ER客機之相關訊息
7,2618,長榮航,101/03/16,14:00:42,公告本公司購買3具A321-200備用發動機之相關訊息
8,2618,長榮航,101/03/16,14:02:20,公告本公司董事會決議發行 國內第十七次有擔保普通公司債
9,2618,長榮航,101/03/16,14:04:16,公告召開101年股東常會
10,2618,長榮航,101/03/19,15:45:40,公告本公司法人董事及監察人改派代表人
11,2618,長榮航,101/03/27,17:36:13,補充公告本公司第十七次有擔保普通公司債發行總額、發行 利率、受託人、發行保證人及還本付息機構等發行條件
12,2618,長榮航,101/03/29,13:03:32,本公司與星空聯盟Star Alliance簽署成為準會員
13,2618,長榮航,101/03/30,16:11:21,澄清蘋果日報101年3月30日B5版報導
14,2618,長榮航,101/04/03,17:27:15,公告本公司出售2架MD-11貨機之相關訊息
15,2618,長榮航,101/05/04,08:42:14,澄清聯合晚報101年5月3日B3版報導
16,2618,長榮航,101/05/08,11:45:40,公告本公司購買3架B777-300ER客機之相關訊息
17,2618,長榮航,101/05/09,08:33:39,澄清聯合晚報101年5月8日B3版報導
18,2618,長榮航,101/05/09,09:00:04,公告本公司購買2具B777-300ER備用發動機之相關訊息
19,2618,長榮航,101/05/11,17:35:23,公告採用國際會計準則公報(以下簡稱IFRSs)之開帳日財務影響
20,2618,長榮航,101/05/15,14:11:29,補充公告本公司購買A320-200及B777-300ER模擬機各乙架 之相關訊息
21,2618,長榮航,101/06/06,08:46:37,補充公告本公司出售乙架MD-11貨機之處分損益資訊
22,2618,長榮航,101/06/21,15:27:30,101年股東常會重要決議事項
23,2618,長榮航,101/06/21,15:28:17,公告本公司101年股東常會決議解除董事長之 競業限制案
24,2618,長榮航,101/07/02,08:04:08,公告本公司會計主管異動
25,2618,長榮航,101/07/31,13:34:40,公告本公司會計主管異動
26,2618,長榮航,101/08/28,13:32:42,公告本公司董事會決議擬出售兩架747-400 Combi飛機之相關訊息
27,2618,長榮航,101/09/10,17:30:46,補充公告本公司出售2架747-400 Combi飛機之相關訊息
28,2618,長榮航,101/10/23,08:50:38,補充公告本公司出售乙架MD-11貨機之處分損益資訊
29,2618,長榮航,101/11/12,08:11:25,補充公告本公司出售乙架747-400 Combi飛機之處分損益資訊
30,2618,長榮航,101/12/25,10:36:20,公告本公司法人董事改派代表人
31,2618,長榮航,101/12/25,10:36:56,公告本公司董事長異動
32,2618,長榮航,101/12/25,10:37:31,公告本公司總經理異動
33,2618,長榮航,101/12/25,10:52:00,公告本公司董事會決議發行 國內第十八次有擔保普通公司債
