,公司代號,公司名稱,發言日期,發言時間,主旨
0,2630,亞航,106/01/05,16:36:00,公告本公司105年現金增資股款催繳公告
1,2630,亞航,106/01/05,16:44:02,公告本公司董事放棄認購105年現金增資股數達得認購股數 二分之一以上，並洽特定人認購事宜
2,2630,亞航,106/01/10,10:53:11,本公司105年現金增資收足股款暨增資基準日公告
3,2630,亞航,106/02/08,18:26:00,本公司董事會通過設置薪資報酬委員會及委任薪資報酬委員事宜
4,2630,亞航,106/03/24,10:50:59,公告本公司法人董事台灣糖業股份有限公司改派代表人
5,2630,亞航,106/03/30,14:36:54,公告本公司董事會重要決議
6,2630,亞航,106/03/30,14:48:51,董事會決議股利分派
7,2630,亞航,106/03/30,15:03:42,本公司董事會決議通過105年度員工酬勞
8,2630,亞航,106/03/30,15:35:09,公告本公司獨立董事辭任
9,2630,亞航,106/03/30,15:38:34,公告本公司董事變動達三分之一
10,2630,亞航,106/03/30,15:45:39,公告本公司審計委員會委員辭任
11,2630,亞航,106/03/30,15:46:48,公告本公司薪資報酬委員會委員辭任
12,2630,亞航,106/03/30,17:01:15,本公司董事會決議召開106年股東常會相關事宜
13,2630,亞航,106/04/17,16:19:24,公告本公司法人董事代表人辭任暨董事變動達三分之一以上
14,2630,亞航,106/04/18,15:33:29,公告本公司法人董事改派代表人暨董事變動達三分之一以上
15,2630,亞航,106/05/03,16:16:29,(補充公告議程變更)-本公司董事會決議召開106年股東 常會相關事宜
16,2630,亞航,106/06/05,10:01:42,澄清106年6月5日關於亞航拓展業務 拚Q3上市之媒體報導
17,2630,亞航,106/06/19,15:43:40,公告本公司106年股東會重要決議事項
18,2630,亞航,106/06/19,17:11:38,公告本公司106年股東常會補選董事一席
19,2630,亞航,106/06/19,17:15:02,公告本公司106年股東常會補選獨立董事一席
20,2630,亞航,106/06/19,17:25:02,公告本公司新任審計委員會委員一名
21,2630,亞航,106/06/19,17:26:06,公告本公司董事會委任薪資報酬委員會委員一名
22,2630,亞航,106/06/19,17:34:35,公告本公司法人董事改派代表人暨董事變動達三分之一以上
23,2630,亞航,106/06/19,17:40:45,公告本公司董事長訂定除息基準日等相關事宜
24,2630,亞航,106/07/25,17:03:51,澄清106年7月25日關於亞航年底上市 董事長盧天麟 與勞工打造幸福企業之媒體報導
25,2630,亞航,106/08/01,11:53:48,公告本公司獨立董事辭任暨董事變動達三分之一以上
26,2630,亞航,106/08/01,11:54:11,公告本公司審計委員會委員辭任
27,2630,亞航,106/08/01,11:54:36,公告本公司薪資報酬委員會委員辭任
28,2630,亞航,106/08/09,13:51:32,公告本公司董事會重要決議
29,2630,亞航,106/08/09,13:59:18,本公司董事會決議召開106年第一次股東臨時會相關事宜
30,2630,亞航,106/08/10,20:02:36,公告更正本公司99年至105年財務報告部份內容
31,2630,亞航,106/08/29,13:13:52,公告本公司董事會重要決議
32,2630,亞航,106/08/29,13:17:27,公告本公司董事會決議辦理現金增資發行新股，作為股票 初次上市公開承銷案
33,2630,亞航,106/09/06,17:11:32,本公司取得國防部空軍第二後勤指揮部軍工廠委託民間 經營案決標紀錄
34,2630,亞航,106/09/18,16:28:36,本公司與國防部簽訂空軍第二後勤指揮部軍工廠委託民間 經營案之合約
35,2630,亞航,106/09/20,15:17:22,因應本公司上市申請需求，委託會計師出具「內部控制制度 專案審查報告」
36,2630,亞航,106/09/25,17:17:15,公告本公司106年第一次股東臨時會重要決議事項
37,2630,亞航,106/09/25,17:20:54,公告本公司106年第一次股東臨時會補選獨立董事一席
38,2630,亞航,106/09/25,17:43:22,公告本公司新任審計委員會委員一名
39,2630,亞航,106/09/25,18:13:49,公告本公司董事會重要決議
40,2630,亞航,106/09/25,18:15:02,公告本公司董事會委任薪資報酬委員會委員一名
41,2630,亞航,106/10/31,10:19:20,澄清106年10月31日亞航標下二指部軍工廠委外案之媒體報導
42,2630,亞航,106/12/25,17:11:27,公告本公司董事會重要決議
43,2630,亞航,106/12/25,17:14:41,公告本公司董事會決議辦理現金增資發行新股，作為股票 初次上市公開承銷案
44,2630,亞航,106/12/26,16:10:03,公告本公司發言人及代理發言人異動
