,公司代號,公司名稱,發言日期,發言時間,主旨
0,2633,台灣高鐵,100/01/14,16:42:18,更正本公司法人董事行政院國家發展基金管理會改派代表人
1,2633,台灣高鐵,100/01/28,08:50:32,公告本公司於100年1月27日提前贖回流通在外海外可轉換公 司債(下稱ECB)之執行情形。
2,2633,台灣高鐵,100/03/14,17:56:13,本公司法人董事東元電機股份有限公司改派代表人
3,2633,台灣高鐵,100/03/15,11:07:16,公告本公司記名式可轉換特別股100年第一季普通股換發 基準日為100年3月17日
4,2633,台灣高鐵,100/03/15,16:35:09,公告100/03/11日本強震對本公司財務及業務並無重大影響
5,2633,台灣高鐵,100/03/24,17:33:15,公告本公司召開一ＯＯ年股東常會事宜
6,2633,台灣高鐵,100/03/28,12:00:23,"說明100/3/28媒體報導-預估今年盈餘7,700萬元事宜"
7,2633,台灣高鐵,100/03/31,11:48:05,澄清100/3/31媒體報導-股價爆量上揚事宜
8,2633,台灣高鐵,100/04/21,17:46:23,董事會決議分配股利情形
9,2633,台灣高鐵,100/05/02,19:39:48,公告本公司與財團法人中技社間給付丙九種特別股股息 最高法院判決結果
10,2633,台灣高鐵,100/05/13,16:21:44,修訂本公司一ＯＯ年股東常會議案內容
11,2633,台灣高鐵,100/06/14,17:39:11,澄清100/06/14工商時報媒體報導
12,2633,台灣高鐵,100/06/24,16:59:41,公告本公司一ＯＯ年股東常會重要決議事項
13,2633,台灣高鐵,100/07/28,18:22:33,本公司擬發放96年1月1日至1月4日興建期間之甲種、乙種、丙八種 及丙九種特別股建設股息公告。
14,2633,台灣高鐵,100/08/23,19:04:18,本公司自一００年第三季起更換會計師事務所及簽證會計師
15,2633,台灣高鐵,100/09/22,14:30:44,公告本公司96年1月1日至1月4日興建期間之甲種、乙種、 丙八種及丙九種特別股建設股息發放日期。
16,2633,台灣高鐵,100/09/29,17:32:11,董事會通過設置本公司「薪資報酬委員會」，訂定 「薪資報酬委員會組織規程」，並委任本公司薪資報酬 委員會成員。
17,2633,台灣高鐵,100/11/03,18:15:47,據臺灣臺北地方法院檢察署10月28日新聞稿，歷經二年多偵辦 調查本公司(含本公司前身台灣高鐵企業聯盟、原始股東及其關係 企業)，並無發現任何涉及刑事犯罪之具體事證，已予簽結。
18,2633,台灣高鐵,100/12/07,18:27:58,公告本公司與財團法人中華航空事業發展基金會間給付 丙九種特別股股息訴訟結果。
