,公司代號,公司名稱,發言日期,發言時間,主旨
0,2637,慧洋-KY,101/01/04,17:28:09,補充公告本公司100年12月份自結盈餘
1,2637,慧洋-KY,101/01/09,13:31:08,公告本公司2011年12月份自結財務併報表中，高流動 性資產及短期借款財務資訊
2,2637,慧洋-KY,101/01/10,13:51:18,"代孫公司Katagalan Marine S.A.公告壹艘98,000噸 Katagalan Wisdom船舶於今日交船"
3,2637,慧洋-KY,101/01/10,15:40:52,說明媒體報導本公司背書保證餘額占淨值比
4,2637,慧洋-KY,101/01/19,14:29:56,代孫公司Atayal Mariner S.A.公告建造高規格散裝貨輪一艘
5,2637,慧洋-KY,101/02/02,13:34:18,"代孫公司Atayal Star S.A.公告壹艘16,500噸 Atayal Star船舶於今日交船"
6,2637,慧洋-KY,101/02/02,17:58:41,補充公告本公司101年1月份自結盈餘
7,2637,慧洋-KY,101/02/06,13:42:24,代孫公司Genius Prince S.A.公告處分散裝貨輪一艘
8,2637,慧洋-KY,101/02/09,13:49:21,公告本公司2012年1月份自結財務併報表中，高流動 性資產及短期借款財務資訊
9,2637,慧洋-KY,101/02/10,16:05:59,公告本公司在中華民國境內訴訟及非訟代理人異動
10,2637,慧洋-KY,101/02/24,16:36:24,本公司公告建造高規格散裝貨輪三艘
11,2637,慧洋-KY,101/02/24,16:36:35,本公司公告建造高規格散裝貨輪二艘
12,2637,慧洋-KY,101/02/24,16:36:49,本公司公告新建造高規格散裝貨輪1艘
13,2637,慧洋-KY,101/02/24,16:56:09,本公司公告新增背書保證金額達新台幣三千萬元以 上且達本公司最近期財務報表淨值百分之五以上者
14,2637,慧洋-KY,101/03/02,18:01:36,補充公告本公司101年2月份自結盈餘
15,2637,慧洋-KY,101/03/05,13:36:10,公告本公司2012年1月份自結財務併報表中，高流動 性資產及短期借款財務資訊
16,2637,慧洋-KY,101/03/05,13:40:02,(更正)公告本公司2012年2月份自結財務併報表中，高流動 性資產及短期借款財務資訊
17,2637,慧洋-KY,101/03/21,14:38:50,公告本公司第一次無擔保外國轉換公司債轉換價格及溢價率
18,2637,慧洋-KY,101/03/21,15:56:07,重新公告本公司第一次無擔保外國轉換公司債之公開說明書 內容
19,2637,慧洋-KY,101/03/30,13:36:28,本公司董事會決議召開2012年股東常會
20,2637,慧洋-KY,101/03/30,16:49:33,更正本公司100年度合併財務報表資料
21,2637,慧洋-KY,101/04/03,14:20:42,補充說明合併財務報表資料更正訊息
22,2637,慧洋-KY,101/04/05,13:32:18,補充公告本公司101年3月份自結盈餘
23,2637,慧洋-KY,101/04/09,11:03:45,澄清聯合晚報2012年4月6日報導
24,2637,慧洋-KY,101/04/10,14:32:54,公告本公司2012年3月份自結財務併報表中，高流動 性資產及短期借款財務資訊
25,2637,慧洋-KY,101/04/12,17:20:11,"代孫公司Atayal Mariner S.A.公告壹艘16,500噸 Atayal Mariner船舶於日本交船"
26,2637,慧洋-KY,101/04/13,16:41:10,公告本公司獨立董事辭職
27,2637,慧洋-KY,101/04/27,17:30:54,本公司董事會決議召開2012年股東常會(新增議案)
28,2637,慧洋-KY,101/04/27,17:31:11,公告本公司董事會決議發放股利內容
29,2637,慧洋-KY,101/04/27,17:31:36,公告本公司董事會決議資本公積轉增資發行新股
30,2637,慧洋-KY,101/04/27,17:31:50,公告董事會決議主要子公司慧洋巴拿馬發放現金股利予本公司
31,2637,慧洋-KY,101/04/27,17:33:27,本公司公告新增背書保證金額達新台幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上者
32,2637,慧洋-KY,101/04/27,17:37:52,本公司公告新增背書保證金額達新台幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上者
33,2637,慧洋-KY,101/05/07,17:23:47,補充公告本公司101年4月份自結盈餘
34,2637,慧洋-KY,101/05/09,13:46:04,本公司已從財務重點專區「指標9」紅色註記排除
35,2637,慧洋-KY,101/05/17,16:21:01,本公司2012年股東常會董事候選人名單
36,2637,慧洋-KY,101/05/29,15:17:52,"代孫公司Katagalan Line S.A.公告壹艘98,000噸 Katagalan Wisdom III船舶交船"
37,2637,慧洋-KY,101/06/04,17:31:07,補充公告本公司101年5月份自結盈餘
38,2637,慧洋-KY,101/06/08,13:44:13,"代孫公司Kavalan Wisdom S.A.公告壹艘205,000噸 Blue Horizon船舶交船"
39,2637,慧洋-KY,101/06/15,14:11:08,"代孫公司Atayal Brave S.A.公告壹艘16,500噸 Atayal Brave船舶交船"
40,2637,慧洋-KY,101/06/20,11:33:11,更正本公司2011年度股東會年報部分資料
41,2637,慧洋-KY,101/06/29,15:45:35,本公司2012年股東常會重要決議事項
42,2637,慧洋-KY,101/06/29,15:45:59,公告本公司2012年股東常會改選董事名單
43,2637,慧洋-KY,101/06/29,15:46:12,本公司2012年股東常會選任五名獨立董事
44,2637,慧洋-KY,101/06/29,15:46:28,本公司董事會推舉藍俊昇先生續任董事長
45,2637,慧洋-KY,101/06/29,15:46:40,本公司董事會決議資本公積轉增資發行新股
46,2637,慧洋-KY,101/06/29,15:46:51,公告本公司董事會決議現金股利及資本公積轉增資配發基準 日相關事宜
47,2637,慧洋-KY,101/06/29,15:49:27,公告本公司審計委員會任期屆滿
48,2637,慧洋-KY,101/06/29,15:49:38,公告本公司第一屆薪酬委員會任期屆滿
49,2637,慧洋-KY,101/06/29,16:00:25,本公司公告簽訂造船契約建造高規格散裝貨輪2艘
50,2637,慧洋-KY,101/07/03,18:29:30,補充公告本公司101年6月份自結盈餘
51,2637,慧洋-KY,101/07/18,16:40:51,"代孫公司Katagalan Wisdom S.A.公告壹艘205,000噸 Clear Horizon船舶交船"
52,2637,慧洋-KY,101/07/19,14:27:34,公告補正本公司2011年度年報資料(股東會後修訂本)
53,2637,慧洋-KY,101/07/25,13:31:16,本公司第一次無擔保外國轉換公司債自2012年8月14日起 轉換價格由46元調整為40.36元
54,2637,慧洋-KY,101/07/27,13:34:13,更正本公司2012年4月27日背書保證申報內容
55,2637,慧洋-KY,101/08/03,17:38:56,補充公告本公司101年7月份自結盈餘
56,2637,慧洋-KY,101/08/03,17:42:34,(更正)補充公告本公司101年7月份自結盈餘
57,2637,慧洋-KY,101/08/10,16:13:27,本公司公告出售五艘高規格散裝貨輪
58,2637,慧洋-KY,101/08/14,14:49:15,澄清經濟日報2012年8月11日報導
59,2637,慧洋-KY,101/08/24,16:42:30,本公司公告簽訂造船契約建造高規格散裝貨輪四艘
60,2637,慧洋-KY,101/08/27,17:04:16,補充說明本公司8月24日發佈之取得船舶四艘重大訊息
61,2637,慧洋-KY,101/08/28,13:58:22,更正本公司101年上半年度合併財務報表資料
62,2637,慧洋-KY,101/09/04,17:17:56,補充公告本公司101年8月份自結盈餘
63,2637,慧洋-KY,101/09/11,17:59:21,公告本公司召開法說會相關內容
64,2637,慧洋-KY,101/09/24,14:37:15,公告說明本公司並無廣東經理處
65,2637,慧洋-KY,101/09/25,15:41:06,"代孫公司GS Navigation S.A.公告壹艘13,400噸 Genius Star XI船舶交船"
66,2637,慧洋-KY,101/09/28,16:53:17,代子公司Wisdom Marine Lines S.A.公告購買高規格散裝貨輪二艘
67,2637,慧洋-KY,101/09/28,16:53:43,本公司公告新建造高規格散裝貨輪一艘
68,2637,慧洋-KY,101/09/28,16:54:15,本公司公告新增背書保證金額達新台幣三千萬元以上且達本公司 最近期財務報表淨值百分之五以上者
69,2637,慧洋-KY,101/09/28,17:58:13,(更正)代子公司Wisdom Marine Lines S.A.公告購買散裝貨輪二艘
70,2637,慧洋-KY,101/09/28,17:58:32,(更正)本公司公告新建造高規格散裝貨輪一艘
71,2637,慧洋-KY,101/10/05,17:08:53,補充公告本公司101年9月份自結盈餘
72,2637,慧洋-KY,101/10/11,16:01:22,"代孫公司Bunun Navigation S.A.公告壹艘37,300噸 Bunun Wisdom船舶交船"
73,2637,慧洋-KY,101/11/05,17:56:43,補充公告本公司101年10月份自結盈餘
74,2637,慧洋-KY,101/11/23,18:02:44,本公司公告新增背書保證金額達新台幣三千萬元以上且達本公司 最近期財務報表淨值百分之五以上者
75,2637,慧洋-KY,101/11/28,14:50:58,"代孫公司Poavosa International S.A.公告壹艘28,000噸 Poavosa Wisdom VII船舶交船"
76,2637,慧洋-KY,101/12/06,17:09:22,補充公告本公司101年11月份自結盈餘
77,2637,慧洋-KY,101/12/11,18:18:57,代孫公司Unicorn Marine S.A.公告ID North Sea及Bering ID 船舶交船
78,2637,慧洋-KY,101/12/28,16:54:24,澄清媒體報導
