,公司代號,公司名稱,發言日期,發言時間,主旨
0,2702,華園,106/01/23,16:54:02,代子公司HOLIDAY GARDEN INTERNATIONAL LTD資金貸與公告
1,2702,華園,106/03/21,14:19:02,董事會決議增資發行新股
2,2702,華園,106/03/21,16:36:44,董事會決議股利分派
3,2702,華園,106/03/21,17:12:58,本公司獨立董事辭任
4,2702,華園,106/03/21,17:17:03,華園飯店 召開106年度 股東常會
5,2702,華園,106/05/12,15:36:21,更正財務報告之會計師查核意見
6,2702,華園,106/06/01,13:45:11,代本公司之子公司HOLIDAY GARDEN INTERNATIONAL LTD. 公告其董事會決議辦理現金減資。
7,2702,華園,106/06/01,14:11:13,代子公司HOLIDAY GAREDN SF CORP.資金貸與公告
8,2702,華園,106/06/02,10:06:32,更正代子公司HOLIDAY GARDEN SF CORP. 資金貸與公告
9,2702,華園,106/06/20,16:34:37,華園飯店106年度股東常會重要決議
10,2702,華園,106/06/20,16:45:23,公告本公司106年股東會補選獨立董事當選名單
11,2702,華園,106/06/26,16:47:35,更正華園飯店106年度股東常會重要決議 其他應敘明事項現金股息每股0.15元
12,2702,華園,106/07/13,16:10:20,補正105年度年報
13,2702,華園,106/07/13,17:09:54,更新補正105年度股東會年報
14,2702,華園,106/08/08,11:58:47,華園飯店106年除權、除息基準日
15,2702,華園,106/11/07,13:48:41,代本公司之子公司Holiday Garden SN CORP.公告處分旅館案。
16,2702,華園,106/12/19,13:42:02,公告本公司新任財務部經理
17,2702,華園,106/12/19,15:02:05,更正公告本公司新任財會主管
18,2702,華園,106/12/22,14:46:50,代子公司HOLIDAY GARDEN S.N. CORP. 公告處分Residence Inn Sacramento Airport Natomas旅館
