,公司代號,公司名稱,發言日期,發言時間,主旨
0,2704,國賓,105/03/03,07:41:26,澄清媒體報導
1,2704,國賓,105/03/09,13:48:06,公告本公司105年度股東常會之召開
2,2704,國賓,105/03/09,14:14:17,公告本公司董事會通過捐贈事宜。
3,2704,國賓,105/03/09,14:18:08,公告本公司財務主管、會計主管異動
4,2704,國賓,105/03/09,14:38:58,公告本公司董事會決議通過104年度員工酬勞及董監事酬勞。
5,2704,國賓,105/03/17,16:53:13,董事會決議股利分派
6,2704,國賓,105/03/21,18:11:40,公告本公司代理發言人異動
7,2704,國賓,105/06/07,16:15:23,本公司105年股東常會重要決議事項
8,2704,國賓,105/06/23,13:57:23,公告本公司決議除息基準日
9,2704,國賓,105/09/01,14:38:25,本公司董事士林電機廠股份有限公司改派法人代表。
10,2704,國賓,105/11/09,15:40:05,公告本公司董事會通過捐贈事宜。
11,2704,國賓,105/11/09,15:48:09,更正公告本公司董事會通過捐贈事宜。
12,2704,國賓,105/11/10,11:31:42,澄清媒體報導
