,公司代號,公司名稱,發言日期,發言時間,主旨
0,2706,第一店,105/03/23,13:51:28,董事會決議股利分派
1,2706,第一店,105/03/23,13:52:22,公告本公司董事會通過增資發行新股
2,2706,第一店,105/03/23,13:53:15,公告本公司董事會決議通過104年度員工酬勞及董監事酬勞。
3,2706,第一店,105/03/23,13:54:42,公告本公司董事會決議105年股東常會日期等事宜
4,2706,第一店,105/06/23,17:10:25,公告本公司105年股東常會重要決議事項
5,2706,第一店,105/06/23,17:11:14,公告本公司董事長任期屆滿改選
6,2706,第一店,105/06/23,17:13:42,公告本公司105年股東常會改選董事五名(含獨立董事二名) 及監察人二名
7,2706,第一店,105/06/23,17:15:20,公告本公司105年股東常會決議通過解除董事及其法人董事 代表人競業限制
8,2706,第一店,105/06/23,17:16:21,公告本公司薪資報酬委員會委員任期屆滿
9,2706,第一店,105/07/21,12:20:27,公告補正本公司104年度年報部份內容
10,2706,第一店,105/08/03,14:56:11,公告本公司董事會決議分派現金股利及盈餘轉增資發行新股基準日
11,2706,第一店,105/08/03,14:57:25,公告本公司105.08.03董事會決議委任薪資報酬委員
