,公司代號,公司名稱,發言日期,發言時間,主旨
0,2712,遠雄來,104/03/10,17:33:25,遠雄悅來大飯店股份有限公司董事會決議召開104年股東常會 公告
1,2712,遠雄來,104/04/10,16:48:31,董事會決議股利分派
2,2712,遠雄來,104/05/27,18:51:15,本公司104年股東常會重要決議事項
3,2712,遠雄來,104/05/27,18:52:01,公告本公司股東會解除董事競業行為之限制
4,2712,遠雄來,104/06/08,16:00:08,公告本公司將舉辦104年業績說明會
5,2712,遠雄來,104/06/12,14:25:30,公告本公司發言人及代理發言人職務異動
6,2712,遠雄來,104/06/30,13:32:28,公告本公司代理發言人異動
7,2712,遠雄來,104/06/30,13:34:13,本公司財務主管、會計主管異動
8,2712,遠雄來,104/06/30,13:35:10,公告本公司董事會決議配息基準日
9,2712,遠雄來,104/07/21,17:26:54,公告本公司內部稽核主管變動事宜
10,2712,遠雄來,104/07/24,09:35:09,補正本公司103年度年報部分資料
11,2712,遠雄來,104/07/29,14:41:06,公告本公司內部稽核主管異動
12,2712,遠雄來,104/07/29,14:41:33,本公司會計主管異動
13,2712,遠雄來,104/09/04,15:05:40,本公司財務主管異動
14,2712,遠雄來,104/09/04,15:06:04,本公司會計主管異動
15,2712,遠雄來,104/09/14,15:31:34,本公司發言人異動
