,公司代號,公司名稱,發言日期,發言時間,主旨
0,2722,夏都,104/01/09,16:35:34,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
1,2722,夏都,104/02/06,15:23:38,公告本公司董事會決議召開104年股東常會相關事宜
2,2722,夏都,104/02/06,15:24:05,公告本公司股務代理機構名稱、辦公處所及聯絡電話
3,2722,夏都,104/02/06,15:27:38,董事會決議股利分派
4,2722,夏都,104/03/12,17:06:19,董事會決議股利分派(更正股東配股總股數)
5,2722,夏都,104/04/09,17:46:30,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
6,2722,夏都,104/05/11,17:00:36,公告本公司104年股東常會重要決議事項
7,2722,夏都,104/06/08,13:16:05,公告本公司董事會決議104年除權、除息基準日
8,2722,夏都,104/07/09,15:40:41,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
9,2722,夏都,104/07/31,15:11:20,公告本公司法人董事改派代表人
10,2722,夏都,104/08/10,17:38:47,本公司向關係人取得不動產
11,2722,夏都,104/09/30,17:39:19,公告本公司與行政院農業委員會林務局簽訂「墾丁森林遊樂 區海濱區之遊樂設施區」投資經營續約案
12,2722,夏都,104/10/09,15:26:22,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
