,公司代號,公司名稱,發言日期,發言時間,主旨
0,2723,美食-KY,100/01/17,14:49:44,澄清經濟日報100年1月15日B5版報導
1,2723,美食-KY,100/01/26,16:23:53,代子公司美食達人股份有限公司公告取得台中市西屯區安和段241 地號土地及座落其上之建物
2,2723,美食-KY,100/02/18,14:30:58,本公司受邀參加海外法人說明會資訊
3,2723,美食-KY,100/02/24,18:35:36,代子公司公告大陸轉投資事業增資案
4,2723,美食-KY,100/03/05,13:56:18,本公司受邀參加法人說明會資訊
5,2723,美食-KY,100/03/06,09:05:32,本公司受邀參加花旗環球證券於台北舉辦之法人說明會
6,2723,美食-KY,100/03/08,14:28:30,本公司受邀參加康和證券於台北舉辦之法人說明會
7,2723,美食-KY,100/03/09,16:50:21,本公司受邀參加美林證券於台北舉辦之法人說明會
8,2723,美食-KY,100/03/15,08:32:41,公告100/03/11日本強震對本公司財務及業務並無重大影響
9,2723,美食-KY,100/03/28,17:30:22,本公司受邀參加麥格理證券於台北舉辦之法人說明會
10,2723,美食-KY,100/04/07,17:16:15,KY美食董事會決議召開100年股東常會公告
11,2723,美食-KY,100/04/11,15:22:40,公告本公司100年03月份營收等相關資訊
12,2723,美食-KY,100/04/19,13:04:20,本公司受邀參加元大證券於台北舉辦之海峽論壇議程
13,2723,美食-KY,100/04/21,16:38:07,本公司公佈99年度經會計師查核之營收暨獲利概況
14,2723,美食-KY,100/04/21,16:38:24,本公司公佈100年度第一季會計師核閱之營收暨獲利概況
15,2723,美食-KY,100/04/29,18:02:45,本公司董事會決議發放股利4元
16,2723,美食-KY,100/04/30,15:33:48,KY美食董事會決議召開100年股東常會之補充公告
17,2723,美食-KY,100/04/30,15:34:07,代子公司百悅貿易股份有限公司公告新設大陸轉投資事業案
18,2723,美食-KY,100/05/10,14:54:22,公告本公司100年04月份營收等相關資訊
19,2723,美食-KY,100/05/10,18:19:25,本公司受邀參加里昂證券於新加坡舉辦之法人說明會
20,2723,美食-KY,100/06/10,17:34:26,公告本公司100年05月份營收等相關資訊
21,2723,美食-KY,100/06/24,16:13:40,公告本公司100年股東常會重要決議事項
22,2723,美食-KY,100/06/24,16:13:54,公告本公司董事會決議除息基準日
23,2723,美食-KY,100/06/24,16:14:07,代子公司公告大陸轉投資事業增資案
24,2723,美食-KY,100/06/27,14:35:58,本公司受邀參加瑞銀證券於台北舉辦之法人說明會
25,2723,美食-KY,100/07/05,18:45:28,公告本公司與大家樂集團有限公司(Cafe de Coral Holdings Limited)簽署合作協議
26,2723,美食-KY,100/07/08,17:36:05,公告本公司100年06月份營收等相關資訊
27,2723,美食-KY,100/07/08,18:46:43,更正─公告本公司100年06月份營收等相關資訊
28,2723,美食-KY,100/07/12,16:23:54,公告修正本公司99年度年報部分內容
29,2723,美食-KY,100/07/21,18:26:16,公告本公司董事會決議100年除權基準日事宜
30,2723,美食-KY,100/07/21,18:26:27,本公司因配合會計師事務所內部調整而更換會計師
31,2723,美食-KY,100/07/21,18:26:38,本公司公告大陸轉投資事業
32,2723,美食-KY,100/07/25,18:13:57,公告董事會決議本公司盈餘轉增資發行新股案
33,2723,美食-KY,100/07/25,18:14:16,"代重要子公司85 Degree Co., Ltd.公告董事會決議發放股利"
34,2723,美食-KY,100/07/25,18:14:29,代重要子公司和夏（上海）餐飲管理有限公司公告董事會 決議不發放股利
35,2723,美食-KY,100/07/25,18:14:41,代重要子公司上海勝品食品有限公司公告董事會決議 不發放股利
36,2723,美食-KY,100/07/25,18:14:52,代重要子公司美食達人股份有限公司公告董事會決議 不發放股利
37,2723,美食-KY,100/07/25,18:15:04,代重要子公司津味（上海）餐飲管理有限公司公告董事會 決議不發放股利
38,2723,美食-KY,100/07/25,18:15:21,代重要子公司Prime Scope Trading Limited公告董事會 決議增資發行新股
39,2723,美食-KY,100/08/08,20:40:18,代重要子公司Prime Scope Trading Limited公告 100年股東臨時會重要決議事項
40,2723,美食-KY,100/08/09,15:45:39,代重要子公司Prime Scope Trading Limited公告董事會 決議增資發行新股
41,2723,美食-KY,100/08/10,17:55:40,公告本公司100年07月份營收等相關資訊
42,2723,美食-KY,100/08/15,18:26:19,代重要子公司津味（上海）餐飲管理有限公司公告取得上海市宜 山路425號光啟城大廈6F601-612室
43,2723,美食-KY,100/08/18,14:01:23,公告本公司受邀參加台灣證券交易所舉辦之 「2011上市公司業績說明會」
44,2723,美食-KY,100/08/24,17:28:45,本公司公佈100年度第二季會計師核閱之營收暨獲利概況
