,公司代號,公司名稱,發言日期,發言時間,主旨
0,2727,王品,108/02/15,10:48:45,公告本公司總經理異動
1,2727,王品,108/02/15,10:49:20,公告本公司執行長退休
2,2727,王品,108/02/15,10:49:49,公告本公司董事會通過解除經理人競業禁止案
3,2727,王品,108/03/07,15:32:07,董事會決議股利分派
4,2727,王品,108/03/07,18:25:53,公告本公司董事會決議召開股東常會
5,2727,王品,108/06/01,14:30:17,代重要子公司公告董事會通過2018年度盈餘分派案
6,2727,王品,108/06/01,14:32:59,代重要子公司公告2018年訂定除息基準日公告
7,2727,王品,108/06/06,16:16:21,公告本公司民國108年股東會重要決議事項
8,2727,王品,108/06/06,16:19:02,公告本公司董事會決議除息基準日事宜
9,2727,王品,108/06/06,16:20:58,公告本公司調整現金股利配息率
10,2727,王品,108/08/08,19:29:55,本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
11,2727,王品,108/08/08,19:30:16,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 第四款辦理公告(原額度到期續約)
12,2727,王品,108/08/08,19:30:43,公告本公司董事會通過增加投資子公司案
13,2727,王品,108/11/07,19:01:43,公告本公司會計主管異動
14,2727,王品,108/11/07,19:15:00,代重要子公司王品(中國)餐飲有限公司公告投資新設立大陸子公司
15,2727,王品,108/11/07,19:18:49,公告本公司董事會通過增加投資子公司案
16,2727,王品,108/11/13,18:01:39,本公司受邀參加統一證券2020鼠來寶投資趨勢論壇
