,公司代號,公司名稱,發言日期,發言時間,主旨
0,2801,彰銀,105/01/08,14:30:22,公告本公司104年12月份自結合併盈餘。
1,2801,彰銀,105/02/05,09:44:37,公告本公司105年1月份自結合併盈餘。
2,2801,彰銀,105/02/25,18:46:48,公告本公司董事會決議通過合併子公司彰銀人身保險 代理人股份有限公司及彰銀保險經紀人股份有限公司。
3,2801,彰銀,105/02/25,18:47:28,代子公司彰銀人身保險代理人股份有限公司及彰銀保險 經紀人股份有限公司公告併入彰化商業銀行股份有限公司。
4,2801,彰銀,105/03/03,11:35:48,澄清105年3月3日蘋果日報B4版報導。
5,2801,彰銀,105/03/04,13:34:38,公告本公司105年2月份自結合併盈餘。
6,2801,彰銀,105/03/17,18:32:55,公告本公司董事會決議召開105年股東常會相關事宜。
7,2801,彰銀,105/03/17,18:34:55,公告本公司董事會決議通過104年度員工酬勞及 董事酬勞分派案。
8,2801,彰銀,105/03/18,07:53:45,公告本公司潘獨立董事榮春對第24屆第17次董事會討論事項 第十三案表示反對意見。
9,2801,彰銀,105/04/08,14:04:06,公告本公司105年3月份自結合併盈餘。
10,2801,彰銀,105/04/22,16:10:44,董事會決議股利分派
11,2801,彰銀,105/04/22,16:39:18,公告本公司董事會決議盈餘轉增資發行新股。
12,2801,彰銀,105/05/06,17:22:46,公告本公司105年4月份自結合併盈餘。
13,2801,彰銀,105/05/10,11:56:13,有關105年5月10日工商時報A12版報導。
14,2801,彰銀,105/05/12,19:59:01,補充公告本公司潘獨立董事榮春對第24屆第17次董事會 討論事項第十三案提出異議。
15,2801,彰銀,105/05/13,17:22:41,公告本公司內部稽核主管(總稽核)異動
16,2801,彰銀,105/05/13,18:59:47,公告本公司董事異動事宜
17,2801,彰銀,105/06/06,16:05:07,公告本公司105年5月份自結盈餘。
18,2801,彰銀,105/06/08,14:14:42,公告本公司105年股東常會決議事項。
19,2801,彰銀,105/06/30,17:32:50,本公司董事會決議通過申設菲律賓馬尼拉分行。
20,2801,彰銀,105/06/30,17:54:42,"公告本公司董事會決議通過擬於次級市場出售不良債權， 合計不良債權本金USD6,688,968.02元。"
21,2801,彰銀,105/06/30,17:58:27,公告本公司內部稽核主管(總稽核)異動
22,2801,彰銀,105/07/07,13:45:13,公告本公司105年6月份自結盈餘。
23,2801,彰銀,105/07/22,16:12:13,公告本公司董事會決議104年度現金股利、股票股利之 除權除息基準日。
24,2801,彰銀,105/07/22,18:58:53,公告本公司董事會通過申請發行次順位金融債券額度新臺幣 貳佰億元(或等值外幣)。
25,2801,彰銀,105/08/05,13:44:52,公告本公司105年7月份自結盈餘。
26,2801,彰銀,105/08/23,17:01:13,澄清105年8月23日自由時報財金報導
27,2801,彰銀,105/08/30,09:11:19,公告本公司召開2016年第2季法人說明會
28,2801,彰銀,105/08/31,19:21:49,公告本公司董事異動事宜
29,2801,彰銀,105/09/07,13:55:52,公告本公司105年8月份自結盈餘。
30,2801,彰銀,105/09/10,15:37:11,補充公告105年7月22日所發布之重大訊息：本公司發行 105年度第1期次順位金融債券新臺幣63億元整。
31,2801,彰銀,105/09/30,15:06:51,董事會通過辦理105年度應分攤捐助財團法人中小企業 信用保證
32,2801,彰銀,105/09/30,18:06:30,本公司董事會決議通過申設柬埔寨子銀行。
33,2801,彰銀,105/10/06,13:52:25,公告本公司105年9月份自結盈餘。
34,2801,彰銀,105/11/08,13:39:15,公告本公司105年10月份自結盈餘。
35,2801,彰銀,105/11/25,18:19:50,公告本公司受邀參加元大證券舉辦之法人座談會
36,2801,彰銀,105/12/07,14:07:16,公告本公司105年11月份自結盈餘。
