,公司代號,公司名稱,發言日期,發言時間,主旨
0,2812,台中銀,102/01/07,14:49:34,公告本公司101年12月份財務及業務資料。
1,2812,台中銀,102/02/08,18:13:42,公告本公司102年1月份財務及業務資料。
2,2812,台中銀,102/03/08,16:39:43,公告本公司102年2月份財務及業務資料。
3,2812,台中銀,102/03/13,20:30:38,公告本公司102年股東常會召開日期及相關事宜。
4,2812,台中銀,102/03/13,20:32:56,公告本公司董事會決議一○一年度盈餘分派擬定案
5,2812,台中銀,102/03/13,20:34:41,公告本公司決議辦理一○一年度盈餘轉增資發行新股。
6,2812,台中銀,102/03/13,20:36:37,本行董事會通過發行60億元次順位金融債券，並得分期發行。
7,2812,台中銀,102/03/27,16:01:25,公告102年3月27日地震對本公司財務、業務並無任何重大影響。
8,2812,台中銀,102/04/10,18:01:23,公告本公司102年3月份財務及業務資料。
9,2812,台中銀,102/04/11,13:35:46,補正公告本公司101年股東會議事錄。
10,2812,台中銀,102/04/11,13:38:02,公告本公司暨子公司自結合併每股盈餘。
11,2812,台中銀,102/04/30,14:41:42,公告台中商業銀行將於102.05.02分割證券部門設立「台中商 銀綜合證券股份有限公司」。
12,2812,台中銀,102/05/09,17:14:37,公告本公司暨子公司102年4月份財務及業務資料。
13,2812,台中銀,102/06/03,13:45:01,公告102年6月2日地震對本公司財務、業務並無任何重大影響。
14,2812,台中銀,102/06/04,17:01:07,更正本公司102年股東常會議事手冊部分文字。
15,2812,台中銀,102/06/06,14:45:06,公告本公司暨子公司102年5月份財務及業務資料。
16,2812,台中銀,102/06/11,09:30:37,更正本公司101年年報部分文字。
17,2812,台中銀,102/06/13,16:08:27,公告本行102年股東常會重要決議事項。
18,2812,台中銀,102/06/24,13:37:04,公告本公司法人董事代表辭任
19,2812,台中銀,102/07/04,16:19:59,公告本公司暨子公司102年6月份財務及業務資料。
20,2812,台中銀,102/07/18,18:22:10,"代子公司台中銀租賃事業(股)公司公告其董事會決議通過對 大陸地區租賃孫公司現金增資共計美金1,650萬元。"
21,2812,台中銀,102/07/25,17:51:41,代子公司台中商銀綜合證券(股)公司公告其董事會決議通過 現金增資案(新臺幣3.5億元)。
22,2812,台中銀,102/08/07,15:17:48,公告本公司暨子公司102年7月份財務及業務資料。
23,2812,台中銀,102/08/14,18:01:48,公告本公司101年度盈餘分配案之除權息基準日。
24,2812,台中銀,102/08/15,18:16:15,代子公司台中銀租賃事業(股)公司公告更正102年7月份背 書保證明細表資訊。
25,2812,台中銀,102/08/28,18:18:20,公告本公司一○○年度國內第一次無擔保轉換金融債券 (28121)轉換價格調整。
26,2812,台中銀,102/09/05,17:33:08,公告本公司暨子公司102年8月份財務及業務資料。
27,2812,台中銀,102/09/25,20:13:36,公告本公司董事會決議增加轉投資「台中銀租賃事業(股) 公司」新臺幣8億元。
28,2812,台中銀,102/09/26,18:27:58,代子公司台中商銀綜合證券(股)公司公告金融監督管理委 員會102/9/26金管證券字第1020039333號函核准其現金增資新 臺幣350佰萬元乙案。
29,2812,台中銀,102/10/04,17:56:37,公告本公司暨子公司102年9月份財務及業務資料。
30,2812,台中銀,102/10/07,17:50:46,惠譽確認台中商業銀行評等
31,2812,台中銀,102/11/07,17:34:46,公告本公司暨子公司102年10月份財務及業務資料。
32,2812,台中銀,102/11/25,17:44:23,代子公司台中商銀綜合證券(股)公司公告其董事會決議通 過現金增資案(新臺幣3億元)案。
33,2812,台中銀,102/12/06,15:08:53,公告本公司暨子公司102年11月份財務及業務資料。
34,2812,台中銀,102/12/11,19:06:58,台中銀行擬自行辦理或由聯貸銀行團管理行兆豐銀行統籌 辦理出售不良債權事
35,2812,台中銀,102/12/27,13:42:54,代子公司台中商銀綜合證券(股)公司公告金融監督管理委 員會102/12/26金管證券字第1020053007號函核准其現金增資 新臺幣300佰萬元乙案。
