,公司代號,公司名稱,發言日期,發言時間,主旨
0,2823,中壽,104/01/06,17:47:04,公告本公司參加投資人說明會日期及相關資訊
1,2823,中壽,104/01/15,17:30:14,公告本公司參加投資人說明會日期及相關資訊
2,2823,中壽,104/01/19,16:47:45,中國人壽公佈103年自結財報數字
3,2823,中壽,104/01/29,16:37:01,中國人壽董事會通過與建信人壽簽署保險理賠服務契約
4,2823,中壽,104/02/26,16:20:05,公告本公司董事會通過103年度財務報告
5,2823,中壽,104/02/26,17:35:27,本公司公告董事會決議取得CDIB Capital Asia Partners L.P. 私 募股權基金
6,2823,中壽,104/03/16,17:14:13,公告本公司參加投資人說明會日期及相關資訊
7,2823,中壽,104/03/19,17:30:47,本公司公告取得合作金庫商業銀行股份有限公司104年度 第1期無擔保一般順位金融債券甲券
8,2823,中壽,104/03/23,17:50:01,本公司公告擬參與福耀玻璃工業集團股份有限公司於香港交易所 掛牌之普通股初次公開發行
9,2823,中壽,104/03/26,17:52:57,公告本公司董事會決議規劃辦理長期資金募集
10,2823,中壽,104/03/26,17:59:13,董事會決議盈餘及資本公積轉增資發行新股
11,2823,中壽,104/03/26,18:05:33,公告本公司104年股東常會召開相關事宜
12,2823,中壽,104/03/26,18:25:09,公告本公司董事會決議發放103年度股利
13,2823,中壽,104/03/26,19:49:22,本公司公告終止參與福耀玻璃工業集團股份有限公司於 香港交易所掛牌初次公開發行之普通股
14,2823,中壽,104/03/27,17:17:16,本公司公告擬參與廣發證券股份有限公司於香港交易所 掛牌之普通股初次公開發行
15,2823,中壽,104/04/01,20:52:01,本公司公告擬參與廣發證券股份有限公司於香港交易所 掛牌之普通股初次公開發行（補充3/27公告）
16,2823,中壽,104/04/08,15:50:41,中國人壽公佈104年第一季自結財報數字
17,2823,中壽,104/04/10,16:08:08,公告本公司參加投資人說明會日期及相關資訊
18,2823,中壽,104/04/14,18:29:51,擬投資國內不動產
19,2823,中壽,104/04/27,14:43:00,公告本公司參加投資人說明會日期及相關資訊
20,2823,中壽,104/04/30,16:24:51,中國人壽公告董事會通過與中國證券商簽訂相關證券交易 協議書
21,2823,中壽,104/04/30,16:33:41,公告本公司董事會通過104年第一季財務報告
22,2823,中壽,104/05/13,18:36:58,本公司公告取得玉山商業銀行股份有限公司104年度第1期 無擔保美元計價次順位金融債券
