,公司代號,公司名稱,發言日期,發言時間,主旨
0,2834,臺企銀,104/01/09,13:47:57,公告本公司103年12月份合併自結稅前淨利
1,2834,臺企銀,104/02/03,18:19:17,公告本公司董事法人（財政部）代表異動
2,2834,臺企銀,104/02/04,16:01:24,公告本公司新任董事長
3,2834,臺企銀,104/02/04,18:26:54,公告本公司總經理異動
4,2834,臺企銀,104/02/04,18:28:38,公告本公司財務主管異動
5,2834,臺企銀,104/02/04,18:31:30,公告本公司發言人異動
6,2834,臺企銀,104/02/04,18:33:30,公告本公司代理發言人異動
7,2834,臺企銀,104/02/04,18:35:37,公告本公司代理發言人異動
8,2834,臺企銀,104/02/04,18:44:17,本行董事會通過擬向主管機關申請發行次順位金融債券新臺 幣100億元(無到期日非累積次順位債券新臺幣50億元及長期次順 位債券新臺幣50億元)，並得分次發行募集。
9,2834,臺企銀,104/02/09,13:48:09,公告本公司104年1月份合併自結稅前淨利
10,2834,臺企銀,104/02/12,17:00:27,公告金管會核准本公司總經理異動案
11,2834,臺企銀,104/03/09,16:19:48,公告本公司104年2月份合併自結稅前淨利
12,2834,臺企銀,104/03/18,17:56:29,董事會決議股利分派
13,2834,臺企銀,104/03/18,18:05:15,公告本公司104年股東常會召開日期及相關事宜。
14,2834,臺企銀,104/03/18,18:28:05,董事會決議辦理盈餘轉增資發行新股
15,2834,臺企銀,104/03/18,18:35:42,臺灣中小企業銀行公告與快錢支付清算信息有限公司簽署合 作協議案業經董事會審議通過
16,2834,臺企銀,104/04/01,14:40:48,公告本公司代理發言人異動
17,2834,臺企銀,104/04/09,13:51:10,公告本公司104年3月份合併自結稅前淨利
18,2834,臺企銀,104/05/04,11:33:22,澄清報載本公司104年股東會紀念品
19,2834,臺企銀,104/05/07,16:05:52,公告本公司104年4月份合併自結稅前淨利
20,2834,臺企銀,104/05/08,17:11:21,臺灣中小企業銀行公告董事會決議通過 取得台北金融大樓股份有限公司普通股
21,2834,臺企銀,104/06/05,13:28:21,公告本公司104年5月份合併自結稅前淨利
22,2834,臺企銀,104/06/15,15:15:14,補充公告本公司104年2月4日所發布重大訊息:發行104年度 第1期無到期日非累積次順位金融債券新臺幣伍拾億元整
23,2834,臺企銀,104/06/26,17:58:00,公告本公司代理發言人異動
24,2834,臺企銀,104/06/26,18:28:24,公告本公司董事長異動
25,2834,臺企銀,104/06/26,18:38:13,公告本公司第二屆審計委員會名單
26,2834,臺企銀,104/06/26,18:54:33,解除本公司董事競業禁止限制案。
27,2834,臺企銀,104/06/26,19:02:01,公告本公司第十四屆董事(含獨立董事)當選名單
28,2834,臺企銀,104/06/26,19:32:24,公告本公司104年股東常會重要決議事項
29,2834,臺企銀,104/07/07,16:47:47,公告本公司104年6月份合併自結稅前淨利
30,2834,臺企銀,104/07/20,15:28:32,公告本公司第三屆薪資報酬委員會委員名單
31,2834,臺企銀,104/08/05,18:16:26,公告本公司董事異動（法人代表）
32,2834,臺企銀,104/08/06,15:12:30,公告本公司103年度盈餘分配股票股利辦理 盈餘轉增資發行新股除權相關事宜
33,2834,臺企銀,104/08/06,16:56:57,公告本公司104年7月份合併自結稅前淨利
34,2834,臺企銀,104/08/07,14:10:58,臺灣中小企業銀行公告收回持有之台灣高速鐵路股份有限公司 甲種記名式可轉換特別股減資退還股款新臺幣15億元。
35,2834,臺企銀,104/08/25,13:42:59,補充公告本公司104年2月4日所發布重大訊息: 發行104年度第2期無擔保長期次順位金融債券 新臺幣伍拾億元整
36,2834,臺企銀,104/09/09,13:30:38,公告本公司104年8月份合併自結稅前淨利
37,2834,臺企銀,104/10/08,14:05:24,公告本公司104年9月份合併自結稅前淨利
38,2834,臺企銀,104/10/16,11:42:12,澄清104年10月16日工商時報報導
39,2834,臺企銀,104/10/28,18:30:27,臺灣企銀公告董事會決議通過擬投資台灣高速鐵路(股)公司私募 普通股
40,2834,臺企銀,104/10/28,18:34:38,公告本行董事會通過赴日本增設東京分行 及營運資金為壹拾捌億日幣
41,2834,臺企銀,104/10/28,18:37:32,公告本公司會計主管異動
42,2834,臺企銀,104/10/28,18:43:32,董事會通過辦理105年度應分攤捐助 財團法人中小企業信用保證基金款項
43,2834,臺企銀,104/10/28,18:52:08,公告本公司董事會決議通過擬於105年度捐贈 「全國金融業工會聯合總會」之預算案
44,2834,臺企銀,104/10/28,18:55:47,公告本公司董事會決議通過擬於105年度捐贈 「臺灣中小企業銀行股份有限公司企業工會」 之預算案
45,2834,臺企銀,104/11/09,15:24:12,公告本公司104年10月份合併自結稅前淨利
46,2834,臺企銀,104/12/09,16:00:51,公告本公司104年11月份合併自結稅前淨利
47,2834,臺企銀,104/12/16,18:03:43,本行董事會通過擬向主管機關申請發行次順位金融債券新臺 幣160億元(無到期日非累積次順位債券新臺幣80億元及長期次順 位債券新臺幣80億元)，並得分次發行募集。
48,2834,臺企銀,104/12/16,18:36:16,公告本公司總稽核異動
49,2834,臺企銀,104/12/16,18:43:35,公告本公司代理發言人異動
