,公司代號,公司名稱,發言日期,發言時間,主旨
0,2834,臺企銀,106/01/09,14:13:00,公告本公司105年12月份自結合併盈餘
1,2834,臺企銀,106/01/16,11:42:28,澄清106年1月14日媒體報導有關本公司106年獲利資訊
2,2834,臺企銀,106/02/08,13:52:42,公告本公司106年1月份自結合併盈餘
3,2834,臺企銀,106/03/09,14:57:44,公告本公司106年2月份自結合併盈餘
4,2834,臺企銀,106/03/14,14:02:58,公告本公司召開2016年第四季中文法人說明會
5,2834,臺企銀,106/03/21,14:33:54,補充公告本公司104年12月16日所發布重大訊息:發行106年度 第1期長期次順位金融債券新臺幣肆拾億元整
6,2834,臺企銀,106/03/22,16:06:17,董事會決議辦理盈餘轉增資發行新股
7,2834,臺企銀,106/03/22,17:01:01,董事會決議股利分派
8,2834,臺企銀,106/03/22,17:32:22,臺灣中小企業銀行公告董事會決議申請無擔保美元計價 主順位金融債券循環發行額度美金參億元整
9,2834,臺企銀,106/03/22,18:08:37,公告本公司105年股東常會召開日期及相關事宜。
10,2834,臺企銀,106/03/23,17:42:10,"更正106/3/22""公告本公司105年股東常會召開日期 及相關事宜""為""公告本公司106年股東常會召開日期及相關事宜""。"
11,2834,臺企銀,106/04/10,14:35:31,公告本公司106年3月份自結合併盈餘
12,2834,臺企銀,106/05/08,13:38:41,補充公告本公司104年12月16日所發布重大訊息:發行106年度 第2期長期次順位金融債券新臺幣壹拾參億元整
13,2834,臺企銀,106/05/09,17:12:54,公告本公司106年4月份自結合併盈餘
14,2834,臺企銀,106/05/17,17:29:07,公告本公司董事法人代表異動
15,2834,臺企銀,106/05/23,16:12:46,公告本公司董事法人代表異動
16,2834,臺企銀,106/06/08,13:49:01,公告本公司106年5月份自結合併盈餘
17,2834,臺企銀,106/06/16,16:54:26,公告本公司106年股東常會重要決議事項
18,2834,臺企銀,106/06/16,17:43:08,解除本公司董事競業禁止限制案。
19,2834,臺企銀,106/06/28,17:16:04,臺灣中小企業銀行公告與支付寶(中國)網路技術有限公司 簽署合作協議案業經常務董事會審議通過
20,2834,臺企銀,106/07/10,13:41:42,公告本公司106年6月份自結合併盈餘
21,2834,臺企銀,106/07/12,16:35:10,本公司董事會決議105年度現金股利及股票股利之除權息基準日
22,2834,臺企銀,106/07/12,18:21:36,公告本公司代理發言人異動
23,2834,臺企銀,106/08/09,13:29:02,公告本公司106年7月份自結合併盈餘
24,2834,臺企銀,106/08/17,14:25:00,公告本公司召開2017第二季中文法人說明會
25,2834,臺企銀,106/09/08,13:35:21,公告本公司106年8月份自結合併盈餘
26,2834,臺企銀,106/10/06,15:29:07,公告本公司106年9月份自結合併盈餘
27,2834,臺企銀,106/10/12,18:05:54,臺灣中小企業銀行補充公告106年3月22日所發布重大訊息: 發行106年度第3期無擔保美元計價一般順位金融債券 發行金額美元壹億貳仟萬元整
28,2834,臺企銀,106/10/25,16:45:56,公告本公司董事會決議通過擬於107年度捐贈 「臺灣中小企業銀行股份有限公司企業工會」 之預算案
29,2834,臺企銀,106/10/25,16:55:19,董事會通過辦理107年度應分攤捐助 財團法人中小企業信用保證基金款項
30,2834,臺企銀,106/10/25,17:17:41,臺灣中小企業銀行公告董事會決議申請無擔保主順位 金融債券新臺幣壹拾億元整
31,2834,臺企銀,106/10/25,18:04:22,公告本行董事會通過增設新加坡分行及營運資金 為美金壹仟伍佰萬元。
32,2834,臺企銀,106/10/26,11:50:36,臺灣中小企業銀行說明慶富造船聯貸案
33,2834,臺企銀,106/10/26,21:02:07,公告本公司遭金融監督管理委員會核處新臺幣140萬元罰鍰
34,2834,臺企銀,106/11/09,16:56:39,公告本公司106年10月份自結合併盈餘
35,2834,臺企銀,106/11/17,14:03:47,臺灣企銀受凱基證券邀請進行海外路演行程
36,2834,臺企銀,106/11/20,19:22:57,公告本公司董事法人代表異動
37,2834,臺企銀,106/11/24,15:57:49,公告本公司董事長異動
38,2834,臺企銀,106/12/07,14:11:19,補充公告本公司106年10月25日所發布重大訊息:發行107年度 第1期無擔保主順位金融債券新臺幣壹拾億元整
39,2834,臺企銀,106/12/08,15:14:54,公告本公司106年11月份自結合併盈餘
40,2834,臺企銀,106/12/20,18:52:56,"董事會決議增提國外訴訟案賠償準備新台幣110,365,096元 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"
41,2834,臺企銀,106/12/29,18:54:43,公告本公司遭金融監督管理委員會核處新臺幣200萬元罰鍰
