,公司代號,公司名稱,發言日期,發言時間,主旨
0,2836,高雄銀,109/01/09,13:47:07,公告本公司108年12月份自結盈餘 (同繼續營業部門稅前損益)
1,2836,高雄銀,109/02/07,14:21:25,公告本公司109年1月份自結盈餘 (同繼續營業部門稅前損益)
2,2836,高雄銀,109/02/07,18:07:22,公告本公司董事會決議同意購地案。
3,2836,高雄銀,109/02/07,18:09:28,公告本公司研發主管奉董事會通過聘任
4,2836,高雄銀,109/03/05,17:20:42,公告本公司財務主管異動
5,2836,高雄銀,109/03/09,14:35:58,公告本公司109年2月份自結盈餘 (同繼續營業部門稅前損益)
6,2836,高雄銀,109/03/13,13:42:55,公告本公司法人董事改派代表人
7,2836,高雄銀,109/03/19,17:31:19,公告本公司董事會決議辦理盈餘暨資本公積轉增資發行新股 事宜。
8,2836,高雄銀,109/03/19,17:33:51,公告本公司董事會決議股利分配
9,2836,高雄銀,109/03/19,17:42:59,公告本公司董事會決議召開109年股東常會相關事宜
10,2836,高雄銀,109/04/01,16:00:19,公告本公司召開2019年第4季法人說明會。
11,2836,高雄銀,109/04/09,13:45:52,公告本公司109年3月份自結盈餘 (同繼續營業部門稅前損益)
12,2836,高雄銀,109/05/07,18:06:19,捐助財團法人海外信用保證基金
13,2836,高雄銀,109/05/07,18:07:01,公告本公司109年4月份自結盈餘 (同繼續營業部門稅前損益)
14,2836,高雄銀,109/06/08,16:47:35,公告本公司109年5月份自結盈餘 (同繼續營業部門稅前損益)
15,2836,高雄銀,109/06/24,14:22:21,公告本公司109年度股東常會流會
16,2836,高雄銀,109/06/24,14:23:09,公告本公司一席獨立董事辭職
17,2836,高雄銀,109/06/24,14:23:42,公告本公司審計委員會、薪資報酬委員會成員辭職
18,2836,高雄銀,109/07/09,16:14:18,公告本公司109年6月份自結盈餘 (同繼續營業部門稅前損益)
19,2836,高雄銀,109/07/15,16:37:35,公告本公司法人董事之代表人辭任
20,2836,高雄銀,109/08/07,14:02:23,公告本公司109年7月份自結盈餘 (同繼續營業部門稅前損益)
21,2836,高雄銀,109/08/13,18:35:38,公告本公司董事會決議召開109年第二次股東常會相關事宜
22,2836,高雄銀,109/08/13,18:36:31,本公司董事會通過辦理現金增資發行甲種特別股案。
23,2836,高雄銀,109/08/26,13:52:05,澄清有關109/8/26媒體刊登之報導。
24,2836,高雄銀,109/09/01,17:00:05,公告本公司召開2020年第2季法人說明會。
25,2836,高雄銀,109/09/08,14:18:02,公告本公司109年8月份自結盈餘 (同繼續營業部門稅前損益)
26,2836,高雄銀,109/09/15,17:10:33,公告本公司法人董事改派代表人
27,2836,高雄銀,109/09/16,17:33:27,公告本公司薪資報酬委員會新任委員
28,2836,高雄銀,109/09/16,17:39:12,公告本公司常務董事異動
29,2836,高雄銀,109/09/16,17:40:02,公告本公司選任董事長
30,2836,高雄銀,109/09/22,16:00:42,補充公告本公司法人董事改派代表人達三分之一以上董事發生變動
31,2836,高雄銀,109/10/08,14:09:47,公告本公司109年9月份自結盈餘 (同繼續營業部門稅前損益)
