,公司代號,公司名稱,發言日期,發言時間,主旨
0,2838,聯邦銀,108/01/04,14:47:33,本行公布107年12月自結盈餘相關資訊。
1,2838,聯邦銀,108/01/16,18:09:47,本公司董事會通過發行次順位金融債券新台幣伍拾億元。
2,2838,聯邦銀,108/02/13,16:06:30,本行公布108年01月自結盈餘相關資訊。
3,2838,聯邦銀,108/02/20,17:54:46,公告本公司董事解任
4,2838,聯邦銀,108/03/05,16:04:05,本行公布108年02月自結盈餘相關資訊。
5,2838,聯邦銀,108/03/13,18:27:56,公告本公司召開108年股東常會相關事宜
6,2838,聯邦銀,108/03/13,18:28:21,公告本公司為強化財務結構，擬辦理107年度盈餘暨 員工酬勞轉增資發行新股。
7,2838,聯邦銀,108/03/13,18:28:57,公告本公司董事會決議通過107年度員工酬勞及董事酬勞
8,2838,聯邦銀,108/03/13,18:33:50,公告本公司董事會決議普通股股利分派情形
9,2838,聯邦銀,108/03/13,18:34:46,公告本公司董事會決議特別股股利分派情形
10,2838,聯邦銀,108/04/02,18:33:52,公告本行107年第4季自結稅前損益金額與會計師查核差異 原因說明
11,2838,聯邦銀,108/04/03,17:47:33,本行公布108年03月自結盈餘相關資訊。
12,2838,聯邦銀,108/05/06,17:48:21,本行公布108年04月自結盈餘相關資訊。
13,2838,聯邦銀,108/05/08,18:39:31,公告本公司公司治理主管異動
14,2838,聯邦銀,108/05/31,19:50:28,公告本公司108年度股東常會重要決議事項。
15,2838,聯邦銀,108/06/04,16:13:46,本行公布108年05月自結盈餘相關資訊。
16,2838,聯邦銀,108/06/26,18:14:43,公告本公司108年分派107年度特別股現金股利相關事宜。
17,2838,聯邦銀,108/07/01,17:58:59,本行公布108年06月自結盈餘相關資訊。
18,2838,聯邦銀,108/07/17,18:20:07,公告本公司108年分派107年度盈餘暨員工酬勞轉增資發行 新股相關事宜。
19,2838,聯邦銀,108/07/31,11:58:38,"公告本行受金融監督管理委員會核處新臺幣1,000萬元罰鍰 乙案"
20,2838,聯邦銀,108/08/06,15:43:09,本行公布108年07月自結盈餘相關資訊。
21,2838,聯邦銀,108/08/22,10:45:39,公告本公司董事會決議108年上半年度不分派股利
22,2838,聯邦銀,108/08/28,17:09:45,更正本公司106年至107年度個體、合併財務報告之附註揭露 事項（依信託業務法規辦理信託業務之內容及金額）。
23,2838,聯邦銀,108/08/30,11:37:49,公告本行受金融監督管理委員會核處新臺幣200萬元罰鍰乙案。
24,2838,聯邦銀,108/09/03,16:59:44,本行公布108年08月自結盈餘相關資訊。
25,2838,聯邦銀,108/10/04,15:00:30,本行公布108年09月自結盈餘相關資訊。
26,2838,聯邦銀,108/11/04,17:21:23,本行公布108年10月自結盈餘相關資訊。
27,2838,聯邦銀,108/11/08,11:49:05,本公司將於108年11月12日召開2019年第3季線上法人說明會，直播網址:http://www.zucast.com/webcast/HYo36P2B
28,2838,聯邦銀,108/12/02,18:03:14,本行公布108年11月自結盈餘相關資訊。
