,公司代號,公司名稱,發言日期,發言時間,主旨
0,2845,遠東銀,103/01/21,07:07:34,擬向金管會申請調整現金增資發行普通股 參與發行海外存託憑證發行額度
1,2845,遠東銀,103/01/23,16:14:50,公告本公司現金增資發行普通股參與發行海外存託憑證 調整發行額度經主管機關核准
2,2845,遠東銀,103/01/24,01:07:07,本公司現金增資發行新股參與發行海外存託憑證 於103年1月23日訂價
3,2845,遠東銀,103/01/27,18:10:39,公告調整本公司海外可轉換金融債轉換價格
4,2845,遠東銀,103/01/27,18:11:49,公告本公司現金增資發行新股參與發行海外存託憑證增資基準日
5,2845,遠東銀,103/01/28,22:10:50,本公司辦理現金增資發行新股參與發行海外存託憑證之發行條件
6,2845,遠東銀,103/03/04,17:27:08,遠東銀行董事會通過發行次順位金融債券新台幣四十億元
7,2845,遠東銀,103/03/04,17:29:50,公告本公司董事會決議召開103年股東常會案
8,2845,遠東銀,103/03/04,19:57:06,公告本公司董事會決議盈餘轉增資發行新股
9,2845,遠東銀,103/03/04,19:58:06,公告本公司董事會通過以私募方式發行普通股、 特別股、可轉換金融債券或上述有價證券之組合， 總金額不超過新台幣100億元或等值外幣
10,2845,遠東銀,103/03/04,20:00:00,公告本公司董事會通過102年度財務報告
11,2845,遠東銀,103/03/04,20:10:19,董事會決議股利分派
12,2845,遠東銀,103/03/11,20:04:09,遠東國際商業銀行公告總稽核異動
13,2845,遠東銀,103/03/20,19:12:45,遠東國際商業銀行公告本公司薪酬委員會成員異動。
14,2845,遠東銀,103/03/24,19:09:39,代子公司遠銀資產管理(股)公告處分遠龍不銹鋼(股)公司普通 股之相關資料
15,2845,遠東銀,103/03/26,08:53:03,公告購買Taiping Orient Fund
16,2845,遠東銀,103/03/26,08:53:16,公告購買China Real Estate Asset Mortgages Limited 發行之美元擔保債券
17,2845,遠東銀,103/05/14,18:39:45,公告本公司薪酬委員會成員異動
18,2845,遠東銀,103/06/24,17:46:24,公告本行103年度股東常會重要決議事項
19,2845,遠東銀,103/07/15,18:57:40,公告本公司現金股利分派暨增資發行新股之除息、除權基準日
20,2845,遠東銀,103/07/15,19:53:20,公告本公司董事會修正薪資報酬委員會決議
21,2845,遠東銀,103/08/08,17:45:22,公告調整本公司海外可轉換金融債轉換價格
22,2845,遠東銀,103/08/21,18:00:20,遠東銀行董事會通過發行次順位金融債券 新臺幣六十億元(或等值外幣)
23,2845,遠東銀,103/11/04,18:57:45,本公司董事會通過103年第三季合併財務報表
24,2845,遠東銀,103/11/04,18:58:15,遠東國際商業銀行捐贈予元智大學「邁向頂尖大學計畫」
25,2845,遠東銀,103/11/12,18:44:45,代子公司遠銀資產管理股份有限公司公告其董事會 決議通過赴大陸地區投資設立融資租賃公司。
26,2845,遠東銀,103/11/13,17:58:52,本公司常董會決議通過子公司遠銀資產管理股份有限公司 赴大陸地區投資設立融資租賃公司。
27,2845,遠東銀,103/12/10,16:58:36,代子公司遠銀資產管理( 股)公司公告取得抵押權
28,2845,遠東銀,103/12/23,15:10:04,遠東銀行發行一百零三年度 第一期次順位金融債券新台幣十一億元
