,公司代號,公司名稱,發言日期,發言時間,主旨
0,2849,安泰銀,105/03/01,17:13:10,公告本公司法人說明會日期及相關財務業務資訊
1,2849,安泰銀,105/03/09,18:02:21,公告召開105年股東常會相關事宜
2,2849,安泰銀,105/03/09,18:02:49,董事會決議股利分派
3,2849,安泰銀,105/03/09,18:19:01,公告本公司董事長辭任及新任董事長事宜
4,2849,安泰銀,105/03/09,18:20:27,公告本公司將升任俞宇琦執行副總經理 為本行新任總經理事宜
5,2849,安泰銀,105/04/28,19:40:37,公告本公司新任法遵長
6,2849,安泰銀,105/04/28,19:41:10,公告本公司內部稽核主管變動
7,2849,安泰銀,105/04/28,20:22:20,公告本公司董事會決議通過104年度員工酬勞及董監事酬勞 分派
8,2849,安泰銀,105/05/25,17:58:53,更正104年度年報內容
9,2849,安泰銀,105/06/08,18:06:24,公告本公司105年股東常會重要決議事項
10,2849,安泰銀,105/06/08,18:06:39,公告本公司第九屆董事當選名單
11,2849,安泰銀,105/06/08,18:06:58,公告本公司105年股東常會通過解除董事競業禁止之限制
12,2849,安泰銀,105/06/08,18:07:13,公告本公司第九屆第一次臨時董事會推選丁予康先生為 董事長
13,2849,安泰銀,105/06/08,18:07:43,公告本公司法人董事代表人異動
14,2849,安泰銀,105/06/08,18:08:13,公告董事會委任第三屆薪資報酬委員會委員
15,2849,安泰銀,105/06/08,18:37:46,公告本公司成立審計委員會
16,2849,安泰銀,105/06/21,17:50:01,公告本公司董事會決議通過合併子公司安銀保險經紀人 股份有限公司。
17,2849,安泰銀,105/06/21,17:50:34,公告本公司董事會決議訂定104年度普通股股利及特別股股息 除息基準日
18,2849,安泰銀,105/08/15,18:34:07,公告本公司發言人變動
19,2849,安泰銀,105/08/15,18:34:41,公告本公司代理發言人變動
20,2849,安泰銀,105/08/18,18:54:40,公告本公司財務主管變動
21,2849,安泰銀,105/09/26,19:00:25,澄清媒體報導
22,2849,安泰銀,105/10/27,17:54:36,澄清媒體報導
