,公司代號,公司名稱,發言日期,發言時間,主旨
0,2849,安泰銀,106/03/02,17:39:46,公告召開106年股東常會相關事宜
1,2849,安泰銀,106/04/25,20:24:02,董事會決議股利分派
2,2849,安泰銀,106/04/25,20:52:03,公告召開106年股東常會相關事宜-增列議案
3,2849,安泰銀,106/04/25,20:54:48,公告召開106年甲種特別股股東臨時會相關事宜
4,2849,安泰銀,106/04/25,21:35:46,本行獨立董事對第一屆第六次審計委員會討論事項第七案及 第九屆董事會第六次會議討論事項第十六案表示意見。
5,2849,安泰銀,106/05/02,19:12:04,公告本公司受金管會裁罰案之說明
6,2849,安泰銀,106/06/07,17:42:31,公告本公司法人董事代表異動
7,2849,安泰銀,106/06/15,22:03:38,本行獨立董事對第九屆董事會第二次臨時董事會會議討論 事項第一案表示意見。
8,2849,安泰銀,106/06/16,20:25:50,公告本公司106年股東常會重要決議事項
9,2849,安泰銀,106/06/16,20:26:09,公告本公司106年甲種特別股股東臨時會重要決議事項
10,2849,安泰銀,106/06/16,20:26:27,公告本公司董事會決議訂定105年度普通股股利及特別股股息 除息基準日
11,2849,安泰銀,106/08/09,18:07:30,"公告SC Lowy Primary Investment, Ltd.與本公司發生 商業交易糾紛事件"
12,2849,安泰銀,106/08/24,17:33:26,公告本公司106年6月及第2季自結稅前損益、月營業收入當月 及累計金額，以及當月各項產品業務營收與會計師查核數差異
13,2849,安泰銀,106/11/02,18:26:11,公告本公司訂定私募甲種特別股轉換私募普通股基準日
