,公司代號,公司名稱,發言日期,發言時間,主旨
0,2852,第一保,103/03/25,17:04:33,董事會重大決議
1,2852,第一保,103/03/25,17:05:02,董事會決議召開103年股東常會、召集事由及停止過戶日期
2,2852,第一保,103/03/25,17:44:21,董事會決議股利分派
3,2852,第一保,103/03/25,19:29:47,"公告本公司違反保險法相關規定,核處罰鍰並予以糾正案"
4,2852,第一保,103/03/26,16:45:40,本公司委請會計師出具內部控制制度查核報告書
5,2852,第一保,103/05/05,16:34:37,公告本公司法人董事代表人變更及法人董事公司名稱變更
6,2852,第一保,103/05/12,15:44:12,董事會重大決議
7,2852,第一保,103/06/27,15:20:55,本公司103年股東常會重要決議事項
8,2852,第一保,103/07/14,15:47:47,董事會重大決議
9,2852,第一保,103/07/14,15:48:55,公告本公司董事會訂定現金股利除息交易及基準日
10,2852,第一保,103/07/14,15:49:24,公告本公司總經理異動
11,2852,第一保,103/07/24,16:31:42,公告復興航空空難對本公司之影響
12,2852,第一保,103/08/04,10:29:35,公告高雄市石化氣爆事件對本公司財務或業務並無影響
13,2852,第一保,103/08/25,15:45:15,董事會重大決議
14,2852,第一保,103/11/11,18:19:15,董事會重大決議
15,2852,第一保,103/12/30,16:05:52,董事會重大決議
16,2852,第一保,103/12/30,16:08:30,公告本公司處分復華貨幣市場基金
17,2852,第一保,103/12/31,10:10:50,補充公告-本公司近期並無處分復華貨幣市場基金
