,公司代號,公司名稱,發言日期,發言時間,主旨
0,2855,統一證,109/01/08,09:09:24,公告本公司108年12月份損益
1,2855,統一證,109/02/07,14:34:36,公告本公司109年01月份損益
2,2855,統一證,109/02/21,20:00:19,參股投資之金圓統一證券有限公司案獲得大陸主管機關 中國證監會核准設立
3,2855,統一證,109/03/06,14:07:03,公告本公司109年02月份損益
4,2855,統一證,109/03/26,15:01:09,公告本公司召開法人說明會相關資訊
5,2855,統一證,109/03/26,15:01:49,公告本公司董事會通過108年度營業報告書暨合併及 個體財務報告案
6,2855,統一證,109/03/26,15:02:26,公告本公司盈餘轉增資發行新股案
7,2855,統一證,109/03/26,15:02:53,公告本公司召開一百零九年股東常會事宜
8,2855,統一證,109/03/26,15:03:37,董事會通過取得子公司統一證券(BVI)有限公司持有之海外 轉投資事業股權及辦理統一證券(BVI)有限公司清算案
9,2855,統一證,109/03/26,15:04:11,代子公司統一證券(BVI)有限公司公告董事會通過 移轉海外轉投資事業股權予統一綜合證券(股)公司及辦理清算案
10,2855,統一證,109/03/26,15:04:30,公告董事會決議發放108年度盈餘分配案
11,2855,統一證,109/04/08,14:42:07,公告本公司109年03月份損益
12,2855,統一證,109/04/10,18:29:17,更正統一綜合證券(股)公司109年2月衍生性商品交易資訊
13,2855,統一證,109/05/07,14:56:14,補充公告本公司召開一百零九年股東常會事宜
14,2855,統一證,109/05/07,15:58:46,公告本公司109年04月份損益
15,2855,統一證,109/06/05,11:39:27,公告本公司109年05月份損益
16,2855,統一證,109/06/17,16:33:15,代子公司統一綜合保險代理人(股)公司公告向 統一綜合證券(股)公司取得使用權資產之提前 解約
17,2855,統一證,109/06/17,16:33:52,代子公司統一綜合保險代理人(股)公司公告向 統一綜合證券(股)公司取得使用權資產
18,2855,統一證,109/06/19,15:01:33,公告本公司召開法人說明會相關資訊
19,2855,統一證,109/06/19,15:01:56,公告本公司盈餘轉增資暨董事會授權董事長訂定除權、除息 及增資基準日相關事宜
20,2855,統一證,109/06/19,15:02:16,公告本公司109年度股東常會重要決議事項
21,2855,統一證,109/06/19,15:02:35,董事會通過取得子公司統一證券(BVI)有限公司持有 之統一證券(香港)有限公司股權價格(補充3/26公告 內容)
22,2855,統一證,109/06/19,15:02:55,董事會通過取得子公司統一證券(BVI)有限公司持有 之統一證券(代理人)有限公司股權價格(補充3/26公 告內容)
23,2855,統一證,109/06/19,15:03:11,董事會通過取得子公司統一證券(BVI)有限公司持有 之統一財富管理(香港)有限公司股權價格(補充3/26 公告內容)
24,2855,統一證,109/06/19,22:33:31,公告本公司109年股東會通過解除董事競業禁止
25,2855,統一證,109/06/19,22:33:49,澄清媒體報導
26,2855,統一證,109/07/02,09:59:00,公告本公司訂定除權息基準日相關事宜
27,2855,統一證,109/07/07,10:50:22,公告本公司109年06月份損益
28,2855,統一證,109/08/06,15:05:37,公告本公司109年07月份損益
29,2855,統一證,109/08/27,13:57:40,公告本公司召開法人說明會相關資訊
30,2855,統一證,109/08/27,13:58:39,公告董事會通過一百零九年半年度個體及第二季合併 財務報告
31,2855,統一證,109/09/07,11:49:10,公告本公司109年08月份損益
32,2855,統一證,109/09/28,16:40:49,代子公司統一證券投資顧問(股)公司公告 向統一綜合證券(股)公司取得使用權資產
33,2855,統一證,109/09/28,16:41:07,代子公司統一綜合保險代理人(股)公司公告 向統一綜合證券(股)公司取得使用權資產
34,2855,統一證,109/10/08,13:58:05,公告本公司109年09月份損益
35,2855,統一證,109/10/15,14:08:40,統一綜合證券董事異動公告
