,公司代號,公司名稱,發言日期,發言時間,主旨
0,2880,華南金,101/01/03,16:38:00,代子公司華南銀行公告說明101年1月3日報章媒體報導
1,2880,華南金,101/01/04,17:04:35,說明101年1月4日媒體報導
2,2880,華南金,101/01/06,14:50:53,代子公司華南銀行公告與大陸「廣發銀行」簽署業務合作備忘錄
3,2880,華南金,101/01/06,16:33:22,代子公司華南永昌證券公告100年12月份自結盈餘
4,2880,華南金,101/01/09,14:20:10,代子公司華南銀行公告100年12月份自結盈餘
5,2880,華南金,101/01/09,14:20:20,公告本公司100年12月份自結盈餘
6,2880,華南金,101/01/09,17:05:48,代孫公司華南永昌證券(香港)有限公司公告臨時董事會決議 臨時股東會召開日期事宜
7,2880,華南金,101/01/12,09:18:05,代子公司華南銀行公告雪梨分行訂於1月12日開業
8,2880,華南金,101/01/17,18:20:57,代子公司華南產物保險股份有限公司公告說明受主管機關 裁罰案事
9,2880,華南金,101/01/31,13:37:07,代子公司華南產險公告代理發言人異動
10,2880,華南金,101/02/04,15:48:34,代子公司華南永昌證券公告101年1月份自結盈餘
11,2880,華南金,101/02/07,15:15:34,說明101年2月7日報章媒體報導
12,2880,華南金,101/02/09,16:22:58,代子公司華南銀行公告101年1月份自結盈餘
13,2880,華南金,101/02/09,16:24:22,公告本公司101年1月份自結盈餘
14,2880,華南金,101/02/13,16:26:53,代孫公司華南永昌證券(香港)有限公司公告2012年 臨時股東大會重要決議事項
15,2880,華南金,101/02/14,13:37:32,說明101年2月14日報章媒體報導
16,2880,華南金,101/02/20,13:37:54,公告本公司召開2011年第4季中文法人說明會
17,2880,華南金,101/02/23,15:52:06,代子公司華南產物保險股份有限公司公告更正100年 7月至11月之衍生性商品交易資訊
18,2880,華南金,101/02/24,16:22:31,代子公司華南商業銀行公告常務董事會通過辦理 自用土地重估案
19,2880,華南金,101/02/29,19:27:02,代子公司華南銀行公告董事會決議以私募方式辦理現金增資 發行新股新臺幣200億元
20,2880,華南金,101/02/29,19:27:19,代子公司華南銀行公告董事會代行臨時股東會重要決議事項
21,2880,華南金,101/02/29,19:29:25,公告本公司董事會決議召開101年股東常會事宜
22,2880,華南金,101/02/29,19:30:08,公告華南金融控股股份有限公司擬現金增資子公司華南商業銀行 股份有限公司200億元
23,2880,華南金,101/02/29,19:30:25,公告華南金融控股股份有限公司擬現金增資子公司華南商業銀行 股份有限公司200億元
24,2880,華南金,101/03/05,18:09:23,代子公司華南永昌綜合證券公告101年2月份自結盈餘
25,2880,華南金,101/03/06,17:21:53,代子公司華南銀行公告說明101年3月6日報章媒體報導
26,2880,華南金,101/03/09,15:26:06,代子公司華南銀行公告101年2月份自結盈餘
27,2880,華南金,101/03/09,15:26:33,公告本公司101年2月份自結盈餘
28,2880,華南金,101/03/12,17:17:35,公告本公司受邀參加美林證券舉辦之「2012投資論壇」
29,2880,華南金,101/03/20,13:54:21,說明經濟日報101年3月20日報導
30,2880,華南金,101/03/21,14:12:38,公告本公司法人監察人(財政部)代表人異動
31,2880,華南金,101/03/22,14:49:29,代子公司華南銀行公告取得資產
32,2880,華南金,101/03/26,17:33:25,補充公告本公司董事會決議召開101年股東常會事宜
33,2880,華南金,101/03/26,17:34:51,代子公司華南銀行公告發行私募普通股之現金增資認股 基準日
34,2880,華南金,101/04/05,15:32:12,代子公司華南永昌證券公告101年3月份自結盈餘
35,2880,華南金,101/04/09,15:25:34,代子公司華南銀行公告101年3月份自結盈餘
36,2880,華南金,101/04/09,15:29:20,公告本公司101年3月份自結盈餘
37,2880,華南金,101/04/16,16:03:21,說明蘋果日報101年4月14日報導
38,2880,華南金,101/04/23,17:26:41,代子公司華南永昌證券投資信託股份有限公司公告董事會 決議發放股利
39,2880,華南金,101/04/23,17:27:16,代子公司華南產物保險股份有限公司公告董事會通過 100年度盈餘分配案
40,2880,華南金,101/04/24,14:13:38,公告本公司召開2012年第1季線上中文法人說明會
41,2880,華南金,101/04/24,17:06:14,代孫公司華南期貨公告董事會通過100年度盈餘分配案
42,2880,華南金,101/04/24,17:06:52,代孫公司華南投顧公告董事會通過100年度盈餘分配案
43,2880,華南金,101/04/27,09:18:22,代子公司華南永昌綜合證券股份有限公司 公告董事會通過100年度盈餘分配案
44,2880,華南金,101/04/30,17:43:40,代子公司華南銀行公告董事會決議100年度股利分派案
45,2880,華南金,101/04/30,17:44:48,公告本公司董事會通過盈餘轉增資發行新股
46,2880,華南金,101/04/30,17:45:47,公告本公司董事會通過擬議100年度股利分派
47,2880,華南金,101/04/30,17:46:05,補充公告本公司董事會決議召開101年股東常會事宜
48,2880,華南金,101/05/03,19:06:55,澄清101年5月3日聯合晚報B1版報導內容
49,2880,華南金,101/05/07,11:03:26,說明101年5月7日報章媒體報導
50,2880,華南金,101/05/07,15:22:16,代子公司華南銀行公告說明101年5月7日報章媒體報導
