,公司代號,公司名稱,發言日期,發言時間,主旨
0,2883,開發金,102/01/08,17:32:52,公告本公司與凱基證券股份有限公司股份轉換案之股票及 現金發放相關事宜
1,2883,開發金,102/01/09,17:33:16,中華開發金控公告以子公司中華開發工業銀行減資取得資金 之運用情形
2,2883,開發金,102/01/10,14:05:15,中華開發金融控股公司公告101年12月份自結盈餘
3,2883,開發金,102/01/14,18:24:52,中華開發金融控股公司代子公司開發工銀所屬之CDIB Venture  Capital (Hong Kong) Corporation Limited公告其經董事會 決議赴大陸地區投資案。
4,2883,開發金,102/01/15,17:42:24,中華開發金融控股(股)公司公告董事異動事宜
5,2883,開發金,102/01/16,18:22:15,買回本公司股份金額累積達新台幣三億元以上
6,2883,開發金,102/01/16,20:25:56,中華開發金控代子公司開發工銀所屬之開發工銀資產管理(股)公司 公告處分不動產
7,2883,開發金,102/01/17,18:56:54,買回本公司股份金額累積達新台幣三億元以上
8,2883,開發金,102/01/18,12:08:14,"中華開發金控代子公司凱基證券公告中華開發金控自 一O二年一月十八日股份轉換基準日起派任於該公司之董事 代表人及獨立董事,凱基證券董事變動達三分之一"
9,2883,開發金,102/01/18,17:47:36,中華開發金控公告以子公司中華開發工業銀行減資取得資金 之運用情形
10,2883,開發金,102/01/18,17:47:53,中華開發金控代子公司大華證券公告取得台灣積體電路製造股 份有限公司102年度第1期無擔保普通公司債
11,2883,開發金,102/01/18,17:48:15,中華開發金控代子公司大華證券公告取得鴻海精密工業股 份有限公司102年度第1期無擔保普通公司債
12,2883,開發金,102/01/18,18:17:34,中華開發金控代子公司凱基證券公告其董事會重新推舉 魏寶生先生為董事長及曾錦隆先生為副董事長
13,2883,開發金,102/01/18,18:17:48,中華開發金控代子公司凱基證券公告其審計委員會委員異動情形
14,2883,開發金,102/01/18,18:26:35,凱基證券公告取得台灣積體電路製造股份有限公司102年度 第1期無擔保普通公司債
15,2883,開發金,102/01/18,18:26:48,凱基證券公告取得鴻海精密工業股份有限公司102年 度第1期無擔保普通公司債
16,2883,開發金,102/01/21,17:37:10,凱基證券公告取得華南金融控股股份有限公司 101年度第1期國內無擔保普通公司債
