,公司代號,公司名稱,發言日期,發言時間,主旨
0,2885,元大金,107/01/05,17:56:19,元大金控代子公司越南第一證券聯營公司公告通過變更會計師事務 所及簽證會計師
1,2885,元大金,107/01/05,20:00:06,元大金控代子公司越南第一證券聯營公司公告臨時股東會重 要決議事項
2,2885,元大金,107/01/05,20:13:03,元大金控代子公司越南第一證券聯營公司公告董事異動事
3,2885,元大金,107/01/05,20:25:08,元大金控代子公司越南第一證券聯營公司公告董事長異動事
4,2885,元大金,107/01/05,20:34:00,元大金控代子公司越南第一證券聯營公司公告重新選任現任 監事會成員
5,2885,元大金,107/01/05,20:46:06,元大金控代子公司越南第一證券聯營公司公告總經理新任案
6,2885,元大金,107/01/09,18:12:00,元大金控代子公司元大證券(韓國)公告民事第一審判決結果
7,2885,元大金,107/01/09,18:20:50,元大金控代子公司元大證券公告財團法人臺灣基督復臨 安息日會、基督復臨安息日會醫療財團法人對元大證券向臺灣臺 北地方法院聲請調解
8,2885,元大金,107/01/10,15:49:53,元大金控公告本公司以子公司元大國際資產管理股份有限 公司減資取得資金新台幣5億元之資金運用情形
9,2885,元大金,107/01/10,18:00:23,元大金控公告106年12月份自結合併損益
10,2885,元大金,107/01/15,16:36:26,元大金控代子公司元大證券(韓國)公告收受民事第二審上 訴狀
11,2885,元大金,107/01/17,17:12:45,元大金控代子公司元大證券補充公告107年1月9日財團法人臺 灣基督復臨安息日會、基督復臨安息日會醫療財團法人對元大證 券向臺灣臺北地方法院聲請調解事件
12,2885,元大金,107/01/18,17:36:37,元大金控代子公司元大銀行公告董事會代行股東臨時會 重要決議事項(通過修正「取得或處分資產處理程序」部分內容)
13,2885,元大金,107/01/18,17:39:19,元大金控代子公司元大銀行公告董事會決議參與台塑建設 事業股份有限公司為實施者之台塑大樓都市更新案
14,2885,元大金,107/01/24,16:05:41,本公司代子公司元大銀行公告董事異動
15,2885,元大金,107/01/26,16:42:08,元大金控代子公司元大證券(香港)公告股東臨時會召開事宜
16,2885,元大金,107/01/29,17:17:43,元大金控代子公司元大儲蓄銀行(菲律賓)公告會計主管異動
17,2885,元大金,107/01/30,16:43:29,元大金控代子公司元大證券(香港)公告股東臨時會重要決議 事項
18,2885,元大金,107/01/31,11:14:01,元大金控澄清媒體報導「元大銀總座金家琳請辭」及 「莊有德將升任元大銀總座」內容
19,2885,元大金,107/01/31,17:23:40,元大金控代子公司元大投信公告董事會通過對關係人 捐贈事宜
20,2885,元大金,107/01/31,17:32:28,元大金控代子公司元大投信公告董事會通過對關係人 捐贈事宜
21,2885,元大金,107/01/31,17:41:45,本公司代子公司元大銀行公告董事異動
22,2885,元大金,107/01/31,17:56:17,元大金控公告法遵長異動
23,2885,元大金,107/01/31,18:00:13,元大金控公告法務長異動
24,2885,元大金,107/01/31,18:09:28,元大金控代子公司元大商業銀行公告總經理異動
25,2885,元大金,107/01/31,18:37:41,元大金控代子公司元大人壽公告董事會代行股東臨時會重要 決議事項
26,2885,元大金,107/01/31,18:44:10,元大金控代子公司元大人壽公告董事異動
27,2885,元大金,107/01/31,18:56:06,元大金控公告董事會通過同意子公司元大人壽保險股份有限 公司自有大樓新建工程委建請採購案
28,2885,元大金,107/02/01,15:56:58,元大金控代子公司元大證券公告代理發言人異動
29,2885,元大金,107/02/01,16:11:56,元大金控代子公司元大證券公告董事會決議解除經理人 競業禁止之限制
30,2885,元大金,107/02/01,17:20:01,元大金控代子公司元大商業銀行公告總經理異動
31,2885,元大金,107/02/02,16:44:51,元大金控代子公司元大證券(香港)公告董事異動及 三分之一以上董事發生變動事
32,2885,元大金,107/02/02,16:55:27,元大金控代子公司元大證券(香港)公告選任董事長
33,2885,元大金,107/02/02,18:14:44,元大金控公告辦理甲種特別股註銷完成實收資本額變更登記 事宜
34,2885,元大金,107/02/07,18:00:19,元大金控公告107年01月份自結合併損益
35,2885,元大金,107/02/08,18:38:13,元大金控代子公司元大銀行公告發言人變更
36,2885,元大金,107/02/12,16:49:27,元大金控代子公司元大證券公告取得玉山銀行107年度第一期 無擔保美元計價無到期日非累積次順位金融債券
37,2885,元大金,107/02/12,17:33:08,元大金控代子公司元大儲蓄銀行(韓國)公告董事會決議 不發放106年度股利
38,2885,元大金,107/02/13,16:59:17,元大金控代子公司元大證券(韓國)公告處分不良債權事
39,2885,元大金,107/02/21,20:57:14,元大金控代子公司元大證券(韓國)補充公告處分不良債權事
40,2885,元大金,107/02/23,19:04:55,元大金控代子公司元大證券(韓國)補充公告處分不良債權事
41,2885,元大金,107/02/26,15:02:36,元大金控代子公司元大投顧公告董事會代行股東臨時會 重要決議事項
42,2885,元大金,107/02/26,15:28:55,元大金控代子公司元大證金公告董事會通過對關係人捐贈 事宜
43,2885,元大金,107/02/26,15:40:45,元大金控代子公司元大證金公告董事會通過對關係人捐贈 事宜
44,2885,元大金,107/03/01,16:31:43,元大金控代子公司元大證券公告董事會通過對關係人捐贈事 宜
45,2885,元大金,107/03/01,16:36:29,元大金控代子公司元大證券公告董事會通過子公司轉投資之 Heng Xin Asia控股辦理清算事
46,2885,元大金,107/03/01,16:40:01,元大金控代子公司元大亞金公告董事會通過子公司轉投資之 Heng Xin Asia控股辦理清算事
47,2885,元大金,107/03/05,18:45:15,"元大金控代子公司元大人壽公告自地委建工程承攬契約總金額新台 幣855,900,000元。"
48,2885,元大金,107/03/07,16:08:24,元大金控公告董事會決議辦理庫藏股註銷並辦理減資乙案
49,2885,元大金,107/03/07,16:59:00,元大金控公告召開107年股東常會事宜
50,2885,元大金,107/03/07,18:20:42,元大金控公告107年02月份自結合併損益
51,2885,元大金,107/03/08,16:35:53,元大金控代子公司元大銀行公告董事會代行股東臨時會 重要決議事項
52,2885,元大金,107/03/08,16:55:57,元大金控代子公司元大銀行公告董事會通過對關係人捐贈 事宜
53,2885,元大金,107/03/08,17:00:39,元大金控代子公司元大證券(韓國)公告董事會決議股東常會 召開日期、召集事由及停止變更股東名簿記載之日期
54,2885,元大金,107/03/09,16:26:36,元大金控代子公司元大證券亞洲金融公告資金貸與其子公司元大證 券(泰國)美金柒仟伍佰萬元整
55,2885,元大金,107/03/09,16:36:23,元大金控代子公司元大證券印尼公告股東臨時會重要決議 事項
56,2885,元大金,107/03/12,17:16:07,元大金控代子公司元大商業銀行補充公告總經理異動
57,2885,元大金,107/03/13,14:56:03,"元大金控公告本公司將於3/15參加美銀美林證券在台北舉辦的2018 Asia Pacific Telecom, Media & Technology Conference"
58,2885,元大金,107/03/15,17:06:25,元大金控代子公司元大證金公告董事異動
59,2885,元大金,107/03/15,17:24:02,元大金控代子公司元大證券公告取得高雄銀行股份有限公司一○七 年度第一期次順位金融債券
60,2885,元大金,107/03/16,17:18:51,元大金控代子公司元大證券(韓國)公告處分不動產事
61,2885,元大金,107/03/19,17:07:30,元大金控代子公司元大儲蓄銀行(菲律賓)公告董事會 決議不發放106年度股利
62,2885,元大金,107/03/21,14:39:36,元大金控代子公司元大證金公告董事會決議發放股利。
63,2885,元大金,107/03/22,16:13:07,元大金控代子公司元大證券公告董事會決議106年度之 盈餘分配案
64,2885,元大金,107/03/22,16:20:24,元大金控代子公司元大證券公告發言人異動
65,2885,元大金,107/03/22,16:26:56,元大金控代子公司元大證券公告代理發言人異動
66,2885,元大金,107/03/22,17:09:32,元大金控代子公司元大證券公告董事會通過子公司 元大證券印尼對元大資產印尼增資印尼盾50億元事
67,2885,元大金,107/03/22,17:19:15,元大金控代子公司元大證券亞洲金融公告董事會通過 子公司元大證券印尼對元大資產印尼增資印尼盾50億元事
68,2885,元大金,107/03/22,17:27:07,元大金控代子公司元大證券(香港)公告董事會通過子公司 元大證券印尼對元大資產印尼增資印尼盾50億元事
69,2885,元大金,107/03/22,17:37:17,元大金控代子公司元大證券印尼公告董事會通過對 元大資產印尼增資印尼盾50億元事
70,2885,元大金,107/03/22,17:46:34,元大金控代子公司元大證券越南公告會計主管異動
71,2885,元大金,107/03/22,17:58:03,"元大金控代子公司元大證券公告董事會通過元大亞金增資 元大證券越南越南盾7,000億元事"
72,2885,元大金,107/03/22,18:12:50,"元大金控代子公司元大亞金公告董事會通過 增資元大證券越南越南盾7,000億元事"
73,2885,元大金,107/03/22,18:22:10,"元大金控代子公司元大證券越南公告董事會決議增資 越南盾7,000億元事"
74,2885,元大金,107/03/22,18:31:09,元大金控代子公司元大證券越南公告股東常會召開事宜
75,2885,元大金,107/03/22,18:43:28,元大金控代子公司元大證券公告財務主管異動
76,2885,元大金,107/03/22,18:52:37,元大金控代子公司元大證券公告內部稽核主管異動
77,2885,元大金,107/03/22,18:59:34,元大金控代子公司元大銀行公告董事會決議106年度 之盈餘分配案。
