,公司代號,公司名稱,發言日期,發言時間,主旨
0,2888,新光金,102/01/07,13:57:56,公告本公司受邀參加法人說明會
1,2888,新光金,102/01/09,18:08:59,本公司代子公司新光保經公告改派法人董事代表人
2,2888,新光金,102/01/09,18:10:40,公告本公司暨主要子公司101年12月份自結稅後盈餘相關資訊
3,2888,新光金,102/01/11,17:40:02,本公司代子公司新光人壽公告取得台北市道路容積移轉土地
4,2888,新光金,102/01/16,16:18:43,代子公司臺灣新光商業銀行公告受金管會裁罰案之說明
5,2888,新光金,102/01/31,13:45:14,本公司代子公司新光保經公告會計主管異動事宜
6,2888,新光金,102/02/05,20:30:13,本公司代子公司新光人壽公告董事會決議處分 大台北地區不動產。
7,2888,新光金,102/02/08,18:54:43,公告本公司暨主要子公司102年1月份自結合併稅後盈餘相關資訊
8,2888,新光金,102/02/25,13:48:58,公告本公司舉辦101年第四季法人說明會
9,2888,新光金,102/02/25,18:01:43,本公司代子公司新光人壽公告處分不動產
10,2888,新光金,102/02/26,17:31:00,新光金控代子公司新光銀保險代理人(股)公司 公告董事會決議分派股利
11,2888,新光金,102/02/26,17:31:13,新光金控代子公司新光銀保險代理人(股)公司公告董事會 代行股東會決議事項
12,2888,新光金,102/02/26,17:31:34,新光金控代子公司新光銀財產保險代理人(股)公司公告 董事會代行股東會決議事項
13,2888,新光金,102/02/26,17:33:19,新光金控代子公司新光銀保險代理人(股)公司公告 董事會決議股息分派基準日
14,2888,新光金,102/02/26,17:33:36,新光金控代子公司新光銀財產保險代理人(股)公司公告 董事會決議分派股利
15,2888,新光金,102/02/26,17:33:49,新光金控代子公司新光銀財產保險代理人(股)公司公告 董事會決議股息分派基準日
16,2888,新光金,102/02/26,17:38:53,本公司公告總稽核異動事宜
17,2888,新光金,102/02/26,17:55:21,本公司代子公司新光人壽公告總稽核異動事宜
18,2888,新光金,102/03/08,19:42:18,公告本公司暨主要子公司102年2月份自結合併稅後盈餘相關資訊
19,2888,新光金,102/03/12,14:10:53,公告本公司受邀參加法人說明會
20,2888,新光金,102/03/15,14:14:37,代子公司新光人壽公告其參與 光寶科技子公司寶源股份有限公司公開收購建興電子股票之應賣
21,2888,新光金,102/03/22,17:38:05,公告本公司董事會決議102年股東常會事宜。
22,2888,新光金,102/03/22,17:38:32,本公司代子公司新光人壽公告董事會決議102年股東常會事宜。
23,2888,新光金,102/03/27,17:53:58,補充公告本公司董事會決議102年股東常會事宜。
24,2888,新光金,102/03/27,17:54:24,公告102年03月27日地震對本公司財務及業務並無影響
25,2888,新光金,102/04/03,16:20:09,母公司代子公司臺灣新光商業銀行股份有限公司 公告董事會決議分派股利
26,2888,新光金,102/04/03,16:21:10,母公司代子公司臺灣新光商業銀行股份有限公司 公告董事會決議盈餘轉增資發行新股
27,2888,新光金,102/04/09,13:50:16,公告本公司受邀參加法人說明會
28,2888,新光金,102/04/09,18:41:43,公告本公司暨主要子公司102年3月份自結合併稅後盈餘相關資訊
29,2888,新光金,102/04/10,16:15:11,母公司代子公司臺灣新光商業銀行股份有限公司 公告董事會代行股東會重要決議事項
30,2888,新光金,102/04/10,16:15:26,母公司代子公司臺灣新光商業銀行股份有限公司 公告除息基準日
31,2888,新光金,102/04/12,17:35:14,新光金控代子公司新光保經公告董事會決議101年度 股利分派事宜。
32,2888,新光金,102/04/17,15:58:15,母公司代子公司新光證券投資信託股份有限公司公告董事會 決議分派股利
33,2888,新光金,102/04/17,15:59:13,母公司代子公司新光證券投資信託股份有限公司公告 董事會代行股東會重要決議事項
34,2888,新光金,102/04/17,16:02:10,母公司代子公司新光證券投資信託股份有限公司公告101年度 盈餘分配除息基準日及現金股利發放日訂定
35,2888,新光金,102/04/26,18:49:03,新光金控代子公司新光人壽公告董事會 決議101年度盈餘分配案。
36,2888,新光金,102/04/26,18:52:42,董事會決議101年度盈餘分配案
37,2888,新光金,102/04/26,18:53:20,本公司董事會決議以盈餘轉增資發行新股
38,2888,新光金,102/04/26,18:53:44,本公司董事會決議辦理現金增資發行新股
39,2888,新光金,102/04/26,18:53:58,公告變更本公司97年度第一期無擔保普通公司債之 償還資金來源
40,2888,新光金,102/04/26,18:54:28,本公司代子公司新光人壽補充公告董事會 決議102年股東常會事宜。
41,2888,新光金,102/04/26,18:55:02,補充公告本公司董事會決議102年股東常會事宜。
42,2888,新光金,102/04/30,15:12:22,公告本公司舉辦102年第一季線上法人說明會
43,2888,新光金,102/04/30,17:31:02,新光金控代子公司公告新光保經股東會決議事項
44,2888,新光金,102/05/09,17:45:05,公告本公司暨主要子公司102年4月份自結合併 稅後盈餘相關資訊
45,2888,新光金,102/05/14,17:12:58,新光金控代子公司公告新光保經董事會決議除息基準日
46,2888,新光金,102/05/16,16:16:59,本公司代子公司新光人壽公告取得JPMorgan US Value基金
47,2888,新光金,102/05/17,18:26:00,代子公司新光人壽公告擬與大陸地區法人、團體 簽署合作協議書
48,2888,新光金,102/05/17,18:26:42,公告本公司辦理現金增資發行新股6.5億股之相關發行條件
49,2888,新光金,102/05/17,18:26:57,本公司代子公司新光人壽公告取得Schroder ISF Asian Opportunities基金
50,2888,新光金,102/05/17,21:05:15,本公司代子公司新光人壽公告董事會決議參與大台北 地區不動產投資案。
51,2888,新光金,102/05/23,17:05:38,本公司代子公司新光人壽公告取得新北市地上權
52,2888,新光金,102/05/29,14:03:28,本公司代子公司新光人壽公告取得Fidelity Global  Consumer Industries 基金
53,2888,新光金,102/05/31,14:12:43,公告本公司受邀參加麥格理證券舉辦之海外路演
54,2888,新光金,102/05/31,17:34:32,本公司代子公司新光人壽公告取得 JPMorgan Investment Funds - Japan Strategic Value Fund
55,2888,新光金,102/05/31,17:34:46,本公司代子公司新光人壽公告取得易方達人民幣固定收益基金
56,2888,新光金,102/06/06,17:46:17,補充公告本公司辦理現金增資發行新股6.5億股之相關發行條件
57,2888,新光金,102/06/06,17:49:18,本公司國內第二次無擔保轉換公司債轉換價格調整
58,2888,新光金,102/06/07,19:56:10,公告本公司簽訂102年現金增資存儲專戶及代收價款專戶
59,2888,新光金,102/06/07,19:57:36,公告本公司暨主要子公司102年5月份自結 合併稅後盈餘相關資訊
60,2888,新光金,102/06/11,18:09:38,本公司代子公司新光人壽公告股東常會決議事項。
61,2888,新光金,102/06/14,18:05:48,本公司公告102年股東常會決議事項。
62,2888,新光金,102/06/17,11:52:35,澄清大眾媒體報導
63,2888,新光金,102/06/19,18:39:39,母公司代子公司新光證券投資信託股份有限公司公告 董事會決議關係人捐贈案
64,2888,新光金,102/06/27,17:06:26,公告本公司受邀參加法人說明會
65,2888,新光金,102/06/28,17:08:45,本公司102年現金增資催繳公告
66,2888,新光金,102/07/03,18:06:58,母公司代子公司新光銀行公告董事會決議關係人捐贈案
