,公司代號,公司名稱,發言日期,發言時間,主旨
0,2889,國票金,105/01/05,17:48:54,代子公司國票綜合證券股份有限公司公告受金管會糾正處分
1,2889,國票金,105/01/07,16:28:59,公告本公司104年12月份自結盈餘
2,2889,國票金,105/01/22,17:53:18,代子公司國票綜合證券股份有限公司公告受金管會糾正處分 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
3,2889,國票金,105/02/04,14:16:46,代取得人Norwares Overseas Inc、人旺股份有限公司 依證券交易法第43條之1第1項規定辦理公告
4,2889,國票金,105/02/05,11:02:57,公告本公司105年1月份自結盈餘
5,2889,國票金,105/02/23,16:37:05,代子公司國際票券公告法人董事代表人異動
6,2889,國票金,105/03/01,15:19:43,本公司第三次及第四次買回庫藏股註銷變更登記完成
7,2889,國票金,105/03/03,13:47:21,公告本公司105年2月份自結盈餘
8,2889,國票金,105/03/04,16:22:02,代取得人美麗華大飯店股份有限公司等公司 依證券交易法第43條之1第1項規定辦理公告
9,2889,國票金,105/03/16,16:55:05,本公司代子公司國票創業投資公告第四屆董事會第三十一次 會議(代行股東會)決議不發放104年度股利。
10,2889,國票金,105/03/16,16:56:33,本公司代子公司國票創業投資公告第四屆董事會第三十一次 會議(代行股東會職權)重要決議事項
11,2889,國票金,105/03/18,16:37:54,代子公司國際票券金融公司公告董事會決議發放股利相關事宜
12,2889,國票金,105/03/18,16:38:26,代子公司國際票券金融公司公告董事會通過104年度員工及 董監事酬勞
13,2889,國票金,105/03/22,16:46:29,代子公司國票綜合證券公告董事會通過104年度盈餘分配案。
14,2889,國票金,105/03/22,16:47:04,代子公司國票綜合證券公告105年股東常會召開日期、地點 暨主要議案
15,2889,國票金,105/03/22,16:47:31,代子公司國票綜合證券公告 本公司董事會通過104年度董事及員工酬勞
16,2889,國票金,105/03/22,16:49:04,代子公司國票綜合證券公告內部稽核主管異動
17,2889,國票金,105/03/24,17:28:07,代子公司國票期貨股份有限公司公告董事會決議 通過104年度盈餘分派事宜
18,2889,國票金,105/03/24,17:29:04,代子公司國票期貨股份有限公司公告105年股東常會 召開日期、地點暨主要議案
19,2889,國票金,105/03/24,17:29:40,子公司國票期貨股份有限公司公告董事會決議 本公司董事會通過104年度董事及員工酬勞
20,2889,國票金,105/03/28,17:44:56,公告本公司董事會決議通過盈餘轉增資發行新股案
21,2889,國票金,105/03/28,17:48:01,公告本公司董事會決議召開105年股東常會相關事宜
22,2889,國票金,105/03/28,17:49:59,公告本公司董事會通過104年度員工及董事酬勞
23,2889,國票金,105/03/28,17:54:10,公告國票金融控股股份有限公司第五次買回本公司股份
24,2889,國票金,105/03/28,18:01:11,董事會決議股利分派
25,2889,國票金,105/03/28,18:19:04,代子公司國際票券金融公司公告第14屆董事會第2次臨時會議 (代行股東會職權)重要決議事項
26,2889,國票金,105/03/31,15:11:34,公告國票金融控股股份有限公司第五次買回本公司股份
27,2889,國票金,105/04/07,15:51:05,公告本公司105年3月份自結盈餘
28,2889,國票金,105/04/22,14:52:06,代子公司國票期貨股份有限公司公告 監察人辭任
29,2889,國票金,105/04/25,15:24:16,公告本公司董事會決議增列105年股東常會召集事由
30,2889,國票金,105/04/28,15:51:06,代子公司國票期貨股份有限公司補充公告105年股東常會 召開日期、地點暨主要議案
31,2889,國票金,105/05/06,13:40:55,公告本公司105年4月份自結盈餘
32,2889,國票金,105/05/18,15:13:36,公告國票金融控股股份有限公司第五次買回本公司股份
33,2889,國票金,105/05/24,17:02:31,代子公司國際票券金融公司公告內部稽核主管異動
34,2889,國票金,105/05/24,17:03:16,代子公司國際票券金融公司公告會計主管異動
35,2889,國票金,105/05/24,17:03:56,代子公司國際票券金融公司公告代理發言人異動
36,2889,國票金,105/05/25,16:00:25,公告本公司財務主管異動
37,2889,國票金,105/05/25,16:02:29,公告本公司會計主管異動
38,2889,國票金,105/05/25,16:04:53,代子公司國際票券公告法人監察人代表人異動
39,2889,國票金,105/05/25,16:59:39,公告本公司代理發言人異動
40,2889,國票金,105/05/26,17:02:22,公告本公司第五次庫藏股買回已執行完畢
41,2889,國票金,105/05/31,10:45:22,代子公司國票綜合證券公告內部稽核主管異動
42,2889,國票金,105/06/02,16:41:15,代子公司國票期貨股份有限公司公告 自然人監察人新任
43,2889,國票金,105/06/02,16:42:17,代子公司國票綜合證券公告105年股東常會重要決議事項
44,2889,國票金,105/06/02,16:46:12,代子公司國票期貨股份有限公司公告股東常會重要決議事項
45,2889,國票金,105/06/04,13:51:57,公告本公司105年5月份自結盈餘
46,2889,國票金,105/06/17,17:05:01,公告本公司105年股東常會重要決議事項
47,2889,國票金,105/06/17,17:05:33,公告本公司105年股東常會通過解除董事競業禁止案
48,2889,國票金,105/06/24,16:20:52,"代子公司國票綜合證券(股)公司公告董事會決議通過辦理轉 投資事業「國票證券(香港)(股)公司」減資港幣1,700萬元及 「英屬維京群島商國票證券控股(股)公司」減資美金200萬元。"
49,2889,國票金,105/06/29,17:51:08,代子公司國票綜合證券公告法人董事代表人異動
50,2889,國票金,105/07/07,13:36:04,公告本公司105年6月份自結盈餘
51,2889,國票金,105/07/07,16:59:14,代子公司國際票券金融公司公告內部稽核主管異動
52,2889,國票金,105/07/20,17:01:18,公告本公司董事會調整股票股利配股率、現金股息配息率相關事宜
