,公司代號,公司名稱,發言日期,發言時間,主旨
0,2890,永豐金,106/01/09,18:26:39,永豐金控公告其與子公司永豐銀行及永豐金證券105年12月 合併自結損益
1,2890,永豐金,106/01/17,16:04:48,永豐金控代子公司永豐期貨公告受金融監督管理委員會 警告處分
2,2890,永豐金,106/01/20,17:13:20,永豐金控公告董事會決議子公司永豐金租賃法人 董事及監察人之代表人異動
3,2890,永豐金,106/01/20,17:13:36,永豐金控公告董事會決議子公司Grand Capital International Ltd.法人董事之代表人異動
4,2890,永豐金,106/01/20,18:11:51,永豐金控代子公司永豐銀行公告出售不良債權
5,2890,永豐金,106/01/20,19:33:31,永豐金控代子公司永豐銀行公告處分 The State of Qatar Bonds
6,2890,永豐金,106/01/20,19:38:42,永豐金控代子公司永豐金證券公告取得The State of Qatar Bonds
7,2890,永豐金,106/01/24,13:51:44,永豐金控代子公司永豐銀行(中國)有限公司公告董事會決議 選任董事長案
8,2890,永豐金,106/01/26,18:33:56,永豐金控代子公司永豐金證券(亞洲)有限公司公告 股東臨時會重要決議事項
9,2890,永豐金,106/01/26,18:34:05,永豐金控代子公司東盛證券(經紀)有限公司公告 股東臨時會重要決議事項
10,2890,永豐金,106/01/26,18:34:16,永豐金控代子公司東盛期貨(經紀)有限公司公告 股東臨時會重要決議事項
11,2890,永豐金,106/02/08,18:23:19,永豐金控公告其與子公司永豐銀行及永豐金證券106年1月 合併自結損益
12,2890,永豐金,106/02/15,13:54:42,永豐金控代子公司永豐銀行公告發行106年第1期無擔保次 順位金融債券新臺幣22.5億元
13,2890,永豐金,106/02/17,19:53:48,永豐金控代子公司永豐金證券公告財團法人證券投資及期貨 交易人保護中心提出民事訴訟
14,2890,永豐金,106/02/20,14:35:15,永豐金控公告105年第4季法人說明會相關資訊
15,2890,永豐金,106/02/24,17:44:06,永豐金控公告董事會決議子公司永豐期貨法人監察人之代表 人異動
16,2890,永豐金,106/02/24,17:44:26,永豐金控公告董事會決議子公司永豐金證券(亞洲)有限公司 法人董事代表人異動
17,2890,永豐金,106/02/24,17:44:44,永豐金控公告董事會決議子公司永豐金證券(亞洲)有限公司 董事長異動
18,2890,永豐金,106/02/24,17:45:06,永豐金控公告董事會決議子公司永豐金證券股份有限公司 財務主管異動
19,2890,永豐金,106/02/24,17:45:26,永豐金控公告董事會決議子公司永豐金證券(亞洲) 有限公司董事總經理異動
20,2890,永豐金,106/02/24,18:06:53,永豐金控代子公司永豐銀行公告董事會決議申請發行 臺外幣主次順位金融債券上限新臺幣300億元
21,2890,永豐金,106/03/01,15:49:52,永豐金控代子公司永豐投顧公告研調主管異動案
22,2890,永豐金,106/03/02,15:02:28,永豐金控代子公司永豐金租賃股份有限公司 公告股東臨時會重要決議事項
23,2890,永豐金,106/03/07,16:54:46,永豐金控代子公司永豐創投公告董事會決議一○五年度 盈餘分配案
24,2890,永豐金,106/03/07,17:58:22,永豐金控公告其與子公司永豐銀行及永豐金證券106年2月 合併自結損益
25,2890,永豐金,106/03/09,14:30:33,永豐金控代子公司永豐銀行（中國）有限公司公告 董事會決議一○五年度盈餘分配案
26,2890,永豐金,106/03/10,15:24:16,永豐金控代子公司永豐投信公告董事會決議一０五年度 盈餘分配案
27,2890,永豐金,106/03/13,14:17:20,永豐金控代子公司永豐期貨公告董事會決議一○五年度盈餘 分配案
28,2890,永豐金,106/03/14,15:49:17,永豐金控代子公司永豐投顧公告董事會決議一○五年度盈餘 分配案
29,2890,永豐金,106/03/14,15:49:37,永豐金控代子公司永豐金財產保險代理人股份有限公司 公告董事會決議一○五年度盈餘分配案
30,2890,永豐金,106/03/14,15:49:56,永豐金控代子公司永豐人身保險代理人股份有限公司公告 董事會決議通過一○五年度盈餘分配案
31,2890,永豐金,106/03/15,15:54:28,永豐金控代子公司永豐金租賃公告董事會決議105年度 盈餘分配案
32,2890,永豐金,106/03/15,15:54:59,永豐金控代子公司Grand Capital International Limited 公告董事會決議2016年度盈餘分配案
33,2890,永豐金,106/03/15,15:55:39,永豐金控代子公司永豐金證券公告董事會決議一○五年  度盈餘分派議案
34,2890,永豐金,106/03/15,15:56:18,永豐金控代子公司永豐金證券公告董事會決議子公司  一○五年度盈餘分派議案
35,2890,永豐金,106/03/15,17:10:25,永豐金控代子公司永豐銀行公告董事會決議 永豐銀行及其子公司105年度盈餘分配案
36,2890,永豐金,106/03/15,17:21:04,永豐金控代子公司永豐銀行公告董事會決議盈餘轉增資 發行新股
37,2890,永豐金,106/03/21,09:20:04,永豐金控公告受邀參加美林證券舉辦之2017台灣投資論壇
38,2890,永豐金,106/03/23,17:26:51,永豐金控代子公司永豐銀行公告獨立董事異動
39,2890,永豐金,106/03/23,17:27:21,永豐金控代子公司永豐銀行公告審計委員會委員異動
40,2890,永豐金,106/03/24,16:33:51,永豐金控公告董事會決議通過召開一○六年股東常會之相關 事宜
41,2890,永豐金,106/03/24,16:34:03,永豐金控公告董事會決議105年度盈餘分配案
42,2890,永豐金,106/03/24,16:34:16,永豐金控公告董事會決議盈餘轉增資發行新股
43,2890,永豐金,106/03/24,16:34:29,永豐金控公告董事會決議通過子公司永豐金證券擬轉投資新設 「永豐證創業投資股份有限公司」
44,2890,永豐金,106/03/24,17:35:59,永豐金控公告董事會決議子公司永豐銀行獨立董事異動
45,2890,永豐金,106/03/24,17:36:18,永豐金控代子公司永豐銀行公告審計委員會委員異動
46,2890,永豐金,106/03/29,17:32:15,永豐金控代子公司永豐金證券(開曼)控股有限公司公告 資金貸與事項達公開發行公司資金貸與及背書保證處理準則 第二十二條第三款之規定。
47,2890,永豐金,106/04/10,06:24:50,永豐金控公告其與子公司永豐銀行及永豐金證券106年3月 合併自結損益
48,2890,永豐金,106/04/10,06:39:07,永豐金控公告說明媒體報導事宜
49,2890,永豐金,106/04/11,19:49:11,"永豐金控公告金融監督管理委員會裁處新臺幣1,000萬元"
50,2890,永豐金,106/04/14,16:31:02,永豐金控代子公司永豐銀行公告出售不良債權(補充106/01/20公告資訊)
51,2890,永豐金,106/04/20,23:01:40,永豐金控公告說明媒體報導事宜
52,2890,永豐金,106/04/21,11:02:05,永豐金控公告說明媒體報導事宜
53,2890,永豐金,106/04/21,18:35:15,永豐金控公告董事會決議子公司永豐金財產保代 法人董事代表人異動
54,2890,永豐金,106/04/21,20:45:33,永豐金控公告董事會決議子公司永豐人身保險代理人股份 有限公司總經理異動
55,2890,永豐金,106/04/26,18:22:05,永豐金控代子公司永豐金證券(開曼)控股有限公司公告 資金貸與事項達公開發行公司資金貸與及背書保證處理準則 第二十二條第三款之規定。
56,2890,永豐金,106/04/28,14:00:43,永豐金控代子公司永豐金證券(亞洲)有限公司 公告股東常會重要決議事項
57,2890,永豐金,106/04/28,14:01:00,永豐金控代子公司永豐金證券(開曼)控股有限公司 公告股東常會重要決議事項
58,2890,永豐金,106/05/08,17:54:55,永豐金控公告其與子公司永豐銀行及永豐金證券106年4月 合併自結損益
59,2890,永豐金,106/05/10,17:21:32,永豐金控公告106年第1季法人說明會相關資訊
60,2890,永豐金,106/05/15,18:19:55,永豐金控代子公司永豐銀行公告發行106年第2期無擔保主 順位金融債券美金4仟5佰萬元
61,2890,永豐金,106/05/16,09:58:03,永豐金控公告說明媒體報導事宜
62,2890,永豐金,106/05/24,16:35:07,永豐金控取消106年第1季法人說明會
63,2890,永豐金,106/05/25,06:28:25,永豐金控公告總經理異動案
64,2890,永豐金,106/05/25,06:28:36,永豐金控公告財務長異動案
65,2890,永豐金,106/05/25,06:28:46,永豐金控代子公司永豐銀行公告董事長異動
66,2890,永豐金,106/05/25,06:28:55,永豐金控代子公司永豐金租賃股份有限公司公告總經理異動 案
67,2890,永豐金,106/05/25,06:29:05,永豐金控代子公司永豐金證券(亞洲)有限公司 公告董事總經理異動案
68,2890,永豐金,106/05/26,17:32:07,永豐金控公告董事會決議子公司永豐創業投資股份有限 公司總經理異動案
69,2890,永豐金,106/05/26,17:39:01,永豐金控公告董事會通過子公司永豐人身保險代理人股份有限公司 對非關係人之重大捐贈事宜
70,2890,永豐金,106/05/31,15:20:41,永豐金控代子公司永豐金證券股份有限公司 公告股東臨時會重要決議事項
71,2890,永豐金,106/05/31,15:20:55,永豐金控代子公司永豐(香港)保險經紀有限 公司公告董事會決議2016年度盈餘分配案
72,2890,永豐金,106/06/06,17:29:06,永豐金控公告其與子公司永豐銀行及永豐金證券106年5月 合併自結損益
73,2890,永豐金,106/06/12,19:36:01,永豐金控代子公司永豐銀行公告美國子銀行遠東國民銀行 處分進度說明
74,2890,永豐金,106/06/14,15:31:34,永豐金控公告一○六年股東常會重要決議事項
75,2890,永豐金,106/06/14,15:31:45,永豐金控公告本公司第六屆董事名單
76,2890,永豐金,106/06/14,15:31:56,永豐金控公告股東會決議通過解除董事競業禁止之限制案
77,2890,永豐金,106/06/14,15:32:06,永豐金控公告本公司第六屆董事長選任案
78,2890,永豐金,106/06/14,15:32:16,永豐金控公告本公司第二屆審計委員會委員名單
79,2890,永豐金,106/06/14,15:32:26,永豐金控公告本公司第三屆薪資報酬委員會委員名單
80,2890,永豐金,106/06/14,21:12:45,永豐金控代永豐銀行公告說明媒體報導事宜
81,2890,永豐金,106/06/15,16:10:28,永豐金控代子公司永豐銀行公告發行106年第3期無擔保次 順位金融債券新臺幣7.4億元
82,2890,永豐金,106/06/15,16:10:39,永豐金控代子公司永豐銀行公告發行106年第4期無擔保 無到期日非累積次順位金融債券新臺幣30億元
83,2890,永豐金,106/06/16,15:57:00,永豐金控代子公司永豐香港保險經紀有限公司公告股東會重 要決議事項
84,2890,永豐金,106/06/16,15:57:11,永豐金控代子公司永豐香港保險經紀有限公司公告一○五年 度股利配發基準日
85,2890,永豐金,106/06/16,16:20:58,檢調單位於106年6月16日至本公司及子公司搜索
86,2890,永豐金,106/06/17,23:29:07,針對本公司司法調查事件之因應措施說明
87,2890,永豐金,106/06/18,18:04:53,說明本公司董事長裁定羈押及總經理交保事宜
88,2890,永豐金,106/06/19,19:42:27,永豐金控公告總經理異動案
89,2890,永豐金,106/06/19,23:04:25,永豐金控公告本公司董事長異動
90,2890,永豐金,106/06/19,23:04:41,永豐金控公告法人董事代表人異動
91,2890,永豐金,106/06/19,23:04:51,永豐金控代子公司永豐金證券公告金融監督管理委員會 裁處案
92,2890,永豐金,106/06/19,23:06:03,永豐金控公告金融監督管理委員會核處應予糾正，並解除及 停止相關負責人職務
93,2890,永豐金,106/06/19,23:10:38,永豐金控代子公司永豐金證券(亞洲)公告金融監督管理委員會 裁處新台幣60萬元
94,2890,永豐金,106/06/21,15:54:49,永豐金控代子公司永豐金財產保險代理人股份有限公司公告 股東會重要決議事項
95,2890,永豐金,106/06/21,15:55:01,永豐金控代子公司永豐金財產保險代理人股份有限公司公告 一○五年度股利配發基準日
96,2890,永豐金,106/06/21,15:55:10,永豐金控代子公司永豐人身保險代理人股份有限公司公告 股東會重要決議事項
97,2890,永豐金,106/06/21,15:55:19,永豐金控代子公司永豐人身保險代理人股份有限公司公告 一○五年度股利配發基準日
98,2890,永豐金,106/06/21,17:38:02,永豐金控公告本公司董事長異動
99,2890,永豐金,106/06/21,17:38:20,永豐金控公告董事會決議子公司永豐銀行法人董事代表人 異動
100,2890,永豐金,106/06/22,16:34:13,永豐金控代子公司永豐投信公告股東會重要決議事項
101,2890,永豐金,106/06/23,19:22:15,永豐金控公告董事會決議子公司永豐人身保代法人董事代表 人異動
102,2890,永豐金,106/06/23,19:22:29,永豐金控公告董事會決議子公司永豐金租賃股份有限公司 總經理異動案
103,2890,永豐金,106/06/23,19:22:42,永豐金控代子公司永豐銀行公告董事長異動
104,2890,永豐金,106/06/23,19:22:55,永豐金控代子公司永豐銀行公告董事異動
105,2890,永豐金,106/06/23,19:23:06,永豐金控代子公司永豐銀行公告股東會重要決議事項
106,2890,永豐金,106/06/23,19:41:28,"有關Cathay General Bancorp(""Cathay"")永豐銀行(""銀行"") 間關於出售SinoPac Bancorp股份買賣合約(SPA)之終止日延展"
107,2890,永豐金,106/06/26,19:57:50,永豐金控公告本公司董事長異動
108,2890,永豐金,106/06/27,16:58:12,永豐金控代子公司永豐金租賃公告股東會重要決議事項
109,2890,永豐金,106/06/27,16:59:05,永豐金控代子公司GRAND CAPITAL INTERNATIONAL LIMITED 公告股東會重要決議事項
110,2890,永豐金,106/06/27,16:59:40,永豐金控代子公司永豐創業投資股份有限公司公告 股東會重要決議事項
111,2890,永豐金,106/06/27,17:00:08,永豐金控代子公司永豐創業投資股份有限公司公告 一○五年度股利配發基準日
112,2890,永豐金,106/06/28,13:44:55,永豐金控代子公司永豐金證券公告股東會重要決議
113,2890,永豐金,106/06/29,15:40:37,永豐金控代子公司永豐商業銀行公告一O五年度 股利配發基準日
114,2890,永豐金,106/06/29,16:12:00,永豐金控代子公司永豐投顧公告股東會重要決議事項
115,2890,永豐金,106/06/29,16:12:32,永豐金控代子公司永豐投顧公告一○五年度除息基準日
116,2890,永豐金,106/06/29,17:28:52,永豐金控代子公司永豐期貨公告股東會重要決議事項
117,2890,永豐金,106/06/29,17:29:25,永豐金控代子公司永豐期貨公告一○五年度股利配發 基準日
118,2890,永豐金,106/06/30,15:55:13,永豐金控公告法人董事代表人異動
119,2890,永豐金,106/06/30,15:55:26,永豐金控公告本公司董事長異動
120,2890,永豐金,106/06/30,15:55:38,永豐金控公告董事會決議子公司永豐銀行法人董事代表人 異動
121,2890,永豐金,106/06/30,15:55:50,永豐金控代子公司永豐銀行公告董事長異動
122,2890,永豐金,106/06/30,15:59:51,永豐金控公告財務長異動案
123,2890,永豐金,106/07/07,18:39:33,永豐金控代永豐銀行公告出售SinoPac Bancorp案，於今 (7/7)日收到金管會核准函
124,2890,永豐金,106/07/10,15:40:40,"永豐金控代子公司Grand Capital International Limited 承作J&R Trading Co., Ltd.案部分款項到期處置事宜"
125,2890,永豐金,106/07/10,16:46:43,"(補充說明)永豐金控代子公司Grand Capital International Limited承作J&R Trading Co., Ltd.案部分款項到期處置事宜"
126,2890,永豐金,106/07/10,17:48:18,永豐金控代子公司永豐銀行說明與三寶建設集團已無往來
127,2890,永豐金,106/07/10,17:59:57,永豐金控公告其與子公司永豐銀行及永豐金證券106年6月 合併自結損益
128,2890,永豐金,106/07/14,17:40:11,檢調單位續於106年7月14日至本公司搜索與三寶建設集團 授信案件有關資料
129,2890,永豐金,106/07/14,20:04:37,永豐金控代子公司永豐銀行公告處分美國子公司SinoPac Bancorp 案與105.07.08公告內容差異補充說明
130,2890,永豐金,106/07/14,20:16:26,永豐金控代子公司SinoPac Bancorp公告董事異動
131,2890,永豐金,106/07/14,20:16:51,永豐金控代子公司SinoPac Bancorp公告董事長異動案
132,2890,永豐金,106/07/14,20:17:13,永豐金控代子公司美國遠東國民銀行公告董事異動
133,2890,永豐金,106/07/14,20:17:39,永豐金控代子公司美國遠東國民銀行公告董事長異動案
134,2890,永豐金,106/07/14,20:18:06,永豐金控代子公司美國遠東國民銀行公告總經理異動案
135,2890,永豐金,106/07/14,21:46:17,永豐金控代永豐銀行公告出售SinoPac Bancorp案，已於美 國時間106年7月14日完成交割
136,2890,永豐金,106/07/16,08:51:50,說明本公司祕書處副總經理裁定羈押禁見事宜
137,2890,永豐金,106/07/18,16:14:14,永豐金控代子公司永豐金證券公告105年度股利配發基準日
138,2890,永豐金,106/07/20,14:26:58,永豐金控代子公司永豐金租賃公告105年度股利配發基準日
139,2890,永豐金,106/07/21,15:23:53,永豐金控公告董事會決議子公司永豐金租賃法人董事代表人 異動
140,2890,永豐金,106/07/21,15:24:14,永豐金控公告董事會決議子公司Grand Capital International Ltd.法人董事代表人異動
141,2890,永豐金,106/07/21,15:30:06,更正本公司105年度年報資訊及代子公司永豐銀行、永豐金 證券公告更正105年度年報資訊
142,2890,永豐金,106/07/25,18:30:11,永豐金控代子公司永豐金租賃公告股東臨時會重要決議事項
