,公司代號,公司名稱,發言日期,發言時間,主旨
0,2892,第一金,101/01/05,17:20:04,公告本公司法人董事﹝財政部﹞代表人派任
1,2892,第一金,101/01/06,17:55:02,代子公司第一銀行公告100年12月份自結盈餘
2,2892,第一金,101/01/06,17:55:51,公告本公司暨主要子公司100年12月份自結盈餘數
3,2892,第一金,101/01/13,15:38:04,代孫公司第一金和昇證券公告修訂公司章程
4,2892,第一金,101/01/31,15:49:59,澄清媒體報導第一金將併東南亞銀行 與一銀今年獲利力拼破百億
5,2892,第一金,101/02/02,09:51:21,公告本公司應大和證券邀請參加投資論壇
6,2892,第一金,101/02/07,18:02:13,公告本公司暨主要子公司101年1月份自結盈餘數
7,2892,第一金,101/02/07,18:13:54,代子公司第一銀行公告101年1月份自結盈餘
8,2892,第一金,101/02/08,09:55:14,公告本公司召開2011年第四季法人說明會
9,2892,第一金,101/02/08,17:45:09,第一銀行公告董事異動事宜
10,2892,第一金,101/02/16,14:31:13,代子公司第一金證券公告法人 監察人(第一金控)代表人改派
11,2892,第一金,101/02/17,16:54:11,代子公司第一金證券公告法人監察人(第一金控)代表人改派 (更正事實發生日、發生變動日期為101/02/16)
12,2892,第一金,101/02/17,17:37:30,代子公司第一銀行公告常務董事會同意辦理 土地資產重估增值。
13,2892,第一金,101/02/23,17:06:41,代子公司第一金投信公告100年度盈餘分配
14,2892,第一金,101/02/24,16:43:33,代子公司第一銀行公告擬申請發行金融債券額度 新臺幣一佰五十億元
15,2892,第一金,101/02/24,16:43:51,代子公司第一銀行公告會計主管異動
16,2892,第一金,101/02/24,16:45:52,代子公司第一金證券公告董事會決議通過民國100年度 財務報表
17,2892,第一金,101/02/29,18:11:12,代子公司第一金人壽保險(股)公司公告董事會決議 100年度盈虧撥補案
18,2892,第一金,101/02/29,18:11:26,代子公司第一金人壽保險(股)公司公告董事會決議 100年度特別盈餘公積彌補累積虧損
19,2892,第一金,101/02/29,18:11:36,代子公司第一金人壽保險(股)公司公告董事會決議 100年度資本公積彌補累積虧損
20,2892,第一金,101/03/05,15:33:56,公告本公司應美林證券邀請 參加2012投資論壇
21,2892,第一金,101/03/07,15:43:51,代子公司第一銀行公告101年2月份自結盈餘
22,2892,第一金,101/03/07,15:44:07,代子公司第一金證券公告董事會決議100年度虧損撥補案
23,2892,第一金,101/03/07,15:44:26,公告本公司暨主要子公司101年2月份自結盈餘數
24,2892,第一金,101/03/08,17:32:39,代子公司第一產代公告董事會決議分派100年度股利
25,2892,第一金,101/03/08,17:34:51,代子公司第一金投信公告修正民國100年度盈餘分派
26,2892,第一金,101/03/14,18:35:59,代子公司第一金融資產管理公告董事會通過 參與投標澳商澳盛銀行集團股份有限公司出售不良債權
