,公司代號,公司名稱,發言日期,發言時間,主旨
0,2897,王道銀行,101/02/15,17:27:49,有關本行公佈100年度自結盈餘及相關資訊
1,2897,王道銀行,101/02/29,19:03:32,公告董事會決議盈餘分配案
2,2897,王道銀行,101/02/29,19:03:49,公告本行董事會決議股東會召開日期、召集事由
3,2897,王道銀行,101/02/29,19:04:05,公告本公司董事會決議解除經理人競業禁止
4,2897,王道銀行,101/02/29,19:14:44,公告本公司總經理異動案
5,2897,王道銀行,101/04/25,16:58:44,公告本公司董事會決議解除經理人競業禁止
6,2897,王道銀行,101/04/25,17:07:12,公告本行法人董事怡昌投資(股)公司改派代表人 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
7,2897,王道銀行,101/06/18,18:39:29,公告本行101年股東會重要決議事項
8,2897,王道銀行,101/06/18,18:39:41,公告本行101年股東常會決議解除董事競業禁止之限制
9,2897,王道銀行,101/06/19,11:57:18,澄清媒體報導有關台工銀華票最快明年提合併之訊息
10,2897,王道銀行,101/06/22,18:03:29,台灣工銀董事會決議股利配發基準日
11,2897,王道銀行,101/06/22,18:04:06,公告本公司董事會決議解除經理人競業禁止
12,2897,王道銀行,101/08/10,17:53:03,本行代子公司台灣工銀科技顧問股份有限公司公告簽訂MOU 事宜
13,2897,王道銀行,101/08/22,16:50:42,公告本行董事會通過發行金融債券額度新台幣伍拾億元
14,2897,王道銀行,101/08/22,16:51:12,公告本公司總稽核異動案
15,2897,王道銀行,101/10/23,19:22:18,公告本公司董事會決議解除經理人競業禁止
16,2897,王道銀行,101/10/23,19:22:52,公告本行董事會通過增加投資臺灣工銀租賃股份有限公司 新台幣五億元。
17,2897,王道銀行,101/12/12,11:31:51,澄清媒體報導有關台工銀明年併華票、併購商銀等之訊息
18,2897,王道銀行,101/12/14,12:27:51,澄清經濟日報B1版對台駿今年預計獲利之報導
19,2897,王道銀行,101/12/27,07:42:22,公告本行法人董事昌福投資有限公司改派代表人
20,2897,王道銀行,101/12/27,07:51:38,公告本行法人董事旺興實業股份有限公司改派代表人
21,2897,王道銀行,101/12/27,08:01:53,本公司公告認列資產減損之相關事宜
22,2897,王道銀行,101/12/27,08:03:58,說明本公司至101年12月26日止對力晶科技(股)公司放款提列 之備抵呆帳金額
