,公司代號,公司名稱,發言日期,發言時間,主旨
0,2903,遠百,100/01/06,17:18:43,公告本公司變更折舊方式之會計估計變動事宜
1,2903,遠百,100/01/10,16:58:29,本公司板橋中本一期建案興建工程全部累積達五億元以上之公告
2,2903,遠百,100/01/10,17:49:57,公告遠東百貨(股)公司及其子公司背書保證相關事宜 (達第二十五條第一項第三款規定)
3,2903,遠百,100/02/25,16:28:47,代孫公司太平洋崇光百貨股份有限公司公告資金貸與 太平洋流通投資股份有限公司新台幣伍億元整(達第一項第三款)
4,2903,遠百,100/02/25,16:29:36,代孫公司太平洋崇光百貨股份有限公司公告資金貸與 太平洋中國控股有限公司新台幣壹拾億元整(達第一項第三款)
5,2903,遠百,100/02/25,17:08:37,本公司代太平洋崇光百貨股份有限公司公告董事會決議 解除經理人競業禁止之限制。
6,2903,遠百,100/03/01,18:03:00,本公司台中新建大樓興建工程全部累積達五億元以上之公告
7,2903,遠百,100/03/01,18:05:40,公告本公司將參加100年03月02日遠東集團與麥格里證券在 台北舉辦「Far Eastern Group Corporate Day」
8,2903,遠百,100/03/02,18:46:43,針對聯合晚報B3版報導予以說明。
9,2903,遠百,100/03/14,11:19:53,公告日本大地震對本公司財務或業務並無重大影響
10,2903,遠百,100/03/15,16:05:23,"本公司受邀參加100年03月16日~03月17日美林證券與臺灣 證券交易所在台北合辦之「2011台灣投資論壇」(2011 Taiwan, Technology & Beyond)"
11,2903,遠百,100/03/23,18:24:49,公告本公司董事會決議召開一○○年度股東常會
12,2903,遠百,100/03/23,18:25:12,公告本公司董事會決議發放股利
13,2903,遠百,100/03/23,18:25:27,董事會決議盈餘轉增資發行新股
14,2903,遠百,100/03/31,14:29:33,澄清媒體報導
15,2903,遠百,100/04/18,17:17:01,本公司台中新建大樓興建工程全部累積達五億元以上之公告
16,2903,遠百,100/04/18,17:17:25,本公司台中新建大樓興建工程-水電消防設備工程 全部累積達五億元以上之公告
17,2903,遠百,100/05/03,19:16:24,本公司代太平洋崇光百貨股份有限公司公告董事會決議 解除經理人競業禁止之限制。
18,2903,遠百,100/05/06,18:08:08,本公司受邀參加100年05月09日凱基證券在台北合辦之 「2011年凱基台股商機論壇」(KGI Corporate Access Taiwan (CAT) 2011)
