,公司代號,公司名稱,發言日期,發言時間,主旨
0,2906,高林,102/01/14,13:43:58,公告更正101年12月衍生性商品交易公告資訊
1,2906,高林,102/02/20,11:24:36,公告本公司買回庫藏股數量達已發行股份總數百分之二
2,2906,高林,102/02/21,15:12:43,公告本公司第20次買回公司股份期間屆滿
3,2906,高林,102/03/22,17:03:44,公告本公司102年度股東常會召開事宜
4,2906,高林,102/03/22,17:05:08,董事會決議股利分派
5,2906,高林,102/03/22,17:05:34,董事會決議註銷第二十次買回公司股份
6,2906,高林,102/03/27,14:33:01,公告102/03/27地震對本公司財務業務無重大影響
7,2906,高林,102/05/24,15:13:57,公告本公司註銷第20次買回公司股份完成資本變更登記
8,2906,高林,102/06/03,09:30:03,公告102年6月2日地震對本公司財務業務無重大影響
9,2906,高林,102/06/11,11:38:52,公告102年度股東會重要決議事項
10,2906,高林,102/06/11,11:40:23,公告102年度股東會董監事改選名單
11,2906,高林,102/06/11,11:41:03,公告本公司股東會解除董事競業禁止之限制
12,2906,高林,102/06/11,16:57:12,公告本公司董事會選任董事長
13,2906,高林,102/06/11,16:57:32,公告董事會決議通過102年度除息基準日
14,2906,高林,102/06/11,16:59:10,公告董事會通過委任薪資報酬委員會委員
15,2906,高林,102/06/11,16:59:46,公告本公司董事會解除經理人競業禁止
16,2906,高林,102/06/11,17:22:38,本公司董事會決議通過與益佳投資(股)公司進行簡易合併
17,2906,高林,102/06/11,17:22:56,代子公司益佳投資(股)公司公告 與高林實業(股)公司進行簡易合併
18,2906,高林,102/06/11,17:23:13,代子公司益佳投資(股)公司 簡易合併案債權人公告
19,2906,高林,102/07/17,15:43:23,補充本公司101年度年報揭露資訊
20,2906,高林,102/08/15,10:02:56,更正102年度第二季合併財務報告第3頁會計師核閱報告
21,2906,高林,102/10/02,13:42:53,本公司與益佳公司簡易合併完成減資變更登記
22,2906,高林,102/11/11,17:27:21,本公司董事會決議通過與高昕實業(股)公司進行簡易合併
23,2906,高林,102/11/11,17:28:19,代子公司高昕實業(股)公司 公告與高林實業(股)公司進行簡易合併
24,2906,高林,102/11/11,17:28:55,代子公司高昕實業(股)公司 簡易合併案債權人公告
25,2906,高林,102/11/18,15:54:51,本公司董事會通過執行第21次庫藏股
26,2906,高林,102/12/17,14:18:22,公告本公司執行第21次庫藏股買回股份數量累積已達發行股份總 額2%
27,2906,高林,102/12/19,14:47:03,公告本公司暫緩與高昕實業進行簡易合併
28,2906,高林,102/12/31,14:19:23,代重要子公司Quality Craft Ltd.公告法人董事代表人異動
