,公司代號,公司名稱,發言日期,發言時間,主旨
0,2906,高林,108/01/07,14:56:36,本公司董事會決議通過取得美之心國際股份有限公司67.7%之股權
1,2906,高林,108/03/26,17:12:47,公告董事會決議召開108年度股東會事宜
2,2906,高林,108/03/26,17:14:09,公告本公司董事會通過107年度合併暨個體財務報表
3,2906,高林,108/03/26,17:14:54,董事會決議股利分派
4,2906,高林,108/04/03,11:03:12,更正107Q4IFRSs財務報別申報類別
5,2906,高林,108/04/30,15:59:25,代重要子公司Quality Craft Ltd. 公告董事異動
6,2906,高林,108/05/10,16:11:32,公告本公司提報董事會108年度第1季合併財務報表
7,2906,高林,108/06/18,14:58:09,公告本公司108年股東會重要決議事項
8,2906,高林,108/06/18,14:59:01,公告本公司108年股東常會董事改選名單
9,2906,高林,108/06/18,15:00:16,公告本公司108年股東常會決議解除董事競業禁止之限制
10,2906,高林,108/06/18,17:13:16,公告本公司董事會推選董事長
11,2906,高林,108/06/18,17:14:03,公告本公司總經理異動
12,2906,高林,108/06/18,17:14:38,公告本公司董事會通過委任第四屆薪資報酬委員會委員
13,2906,高林,108/06/18,17:15:21,公告本公司設置第一屆審計委員會
14,2906,高林,108/06/28,16:35:17,公告本公司董事會通過除息基準日
15,2906,高林,108/06/28,16:36:01,公告本公司董事會通過內部稽核主管異動
16,2906,高林,108/07/31,16:09:28,代重要子公司Quality Craft Ltd. 公告108年股東會重要決議事項
17,2906,高林,108/07/31,16:10:14,代重要子公司Quality Craft Ltd. 公告發行普通股D
18,2906,高林,108/08/08,15:49:53,本公司現金股利原訂於108年8月9日發放，如受颱風之影響 本公司採取之因應措施
19,2906,高林,108/08/08,15:51:52,公告本公司因會計師事務所內部調整更換會計師
20,2906,高林,108/08/08,17:05:27,高林獨立董事對薪酬委員會及董事會 表示保留意見
21,2906,高林,108/08/12,10:54:08,公告本公司現金股利發放日因受利奇馬颱風停止上班影響， 變更為108/08/12
22,2906,高林,108/12/05,15:41:29,本公司受邀參加元富證券舉辦之法人說明會
