,公司代號,公司名稱,發言日期,發言時間,主旨
0,2911,麗嬰房,104/03/26,17:34:29,公告本公司董事會決議股東常會召開日期
1,2911,麗嬰房,104/03/26,17:37:11,公告本公司董事會通過103年度財務報表及合併財務報表
2,2911,麗嬰房,104/03/26,17:39:06,公告本公司董事會決議發行限制員工權利新股案
3,2911,麗嬰房,104/03/26,17:54:55,本公司董事會決議不分派股利
4,2911,麗嬰房,104/05/12,17:31:38,更正4月合併營收公告
5,2911,麗嬰房,104/05/13,17:29:44,本公司董事會通過104年第一季合併財務報表
6,2911,麗嬰房,104/05/19,18:10:48,更正本公司上傳103年第四季XBRL財報基本每股盈餘
7,2911,麗嬰房,104/06/22,17:03:40,公告本公司104年股東常會重要決議事項
8,2911,麗嬰房,104/06/22,17:16:24,公告本公司董事會決議買回庫藏股
9,2911,麗嬰房,104/07/24,17:53:06,公告修正本公司103年度股東會年報部份內容
10,2911,麗嬰房,104/08/10,18:11:43,公告麗嬰房申請庫藏股買回達一定標準
11,2911,麗嬰房,104/08/13,19:37:44,本公司董事會通過104年第二季合併財務報表
12,2911,麗嬰房,104/08/13,19:39:58,公告本公司背書保證金額，達「公開發行公司資金貸與 及背書保證處理準則」第二十五條第一項第四款規定。
13,2911,麗嬰房,104/08/21,17:15:18,公告本公司買回庫藏股期間屆滿及執行狀況
14,2911,麗嬰房,104/09/21,17:34:11,公告本公司董事會決議買回庫藏股
15,2911,麗嬰房,104/10/20,17:22:31,本公司有價證券近期多次達公佈注意交易資訊標準， 故公告相關訊息，以利投資人區別暸解
16,2911,麗嬰房,104/11/12,17:06:43,本公司董事會通過104年第三季合併財務報表
17,2911,麗嬰房,104/11/12,17:07:25,公告本公司董事會決議註銷庫藏股減資基準日
18,2911,麗嬰房,104/11/12,17:08:07,公告本公司董事會決議重要營運主管變動
19,2911,麗嬰房,104/11/12,17:08:52,代子公司上海麗嬰房嬰童用品有限公司公告董事長異動
20,2911,麗嬰房,104/11/16,17:34:06,本公司受邀參加富邦證券舉辦之法人說明會
21,2911,麗嬰房,104/11/20,16:02:28,公告本公司買回庫藏股期間屆滿及執行狀況
22,2911,麗嬰房,104/12/04,15:48:20,公告本公司註銷庫藏股辦理減資變更登記完成
23,2911,麗嬰房,104/12/09,17:05:53,本公司受邀參加永豐金證券舉辦之2016年大中華產業投資論壇
24,2911,麗嬰房,104/12/31,15:05:49,公告變更本公司無擔保轉換公司債之償還資金來源
