,公司代號,公司名稱,發言日期,發言時間,主旨
0,2915,潤泰全,106/02/16,19:15:39,對於網路新聞報導有關「看好中國大潤發！傳阿里巴巴將併 潤泰全轉投資之高鑫零售」一事說明
1,2915,潤泰全,106/02/18,12:19:35,有關報載與高鑫零售公告之說明
2,2915,潤泰全,106/03/24,17:24:46,公告本公司董事會決議召開一０六年股東常會之相關訊息
3,2915,潤泰全,106/03/24,17:29:55,董事會決議股利分派
4,2915,潤泰全,106/03/28,14:06:45,本公司公告105年第四季營收自結數與會計師查核數差異
5,2915,潤泰全,106/04/27,15:20:24,補充公告本公司董事會決議召開一０六年股東常會之相關 訊息(新增討論事項)
6,2915,潤泰全,106/05/17,11:54:17,本公司106年第一季營收及關係人交易自結數與會計師查核數差異
7,2915,潤泰全,106/06/22,18:40:44,公告本公司106年股東常會重要決議事項
8,2915,潤泰全,106/07/10,15:43:23,本公司代重要子公司Concord Greater China Ltd.公告
9,2915,潤泰全,106/07/13,14:29:26,公告本公司董事會決議除息基準日之相關訊息
10,2915,潤泰全,106/08/14,15:05:43,本公司106年第二季營收自結數與會計師查核數差異
11,2915,潤泰全,106/11/20,06:39:46,代子公司Concord Greater China Ltd.公告處分有價證券之 相關資料
12,2915,潤泰全,106/11/20,06:47:43,本公司公告重要子公司處分股權對本公司 財務報告之影響
13,2915,潤泰全,106/11/21,16:59:42,本公司106年第三季營收自結數與會計師查核數差異
14,2915,潤泰全,106/12/22,15:52:42,本公司代重要子公司Concord Greater China Ltd.公告
