,公司代號,公司名稱,發言日期,發言時間,主旨
0,2936,客思達-KY,105/08/25,17:30:13,公告本公司將於105年8月31日召開上巿前業績發表會
1,2936,客思達-KY,105/08/31,11:09:02,澄清1050831工商時報B4版新聞報導。
2,2936,客思達-KY,105/09/10,16:44:31,公告本公司股票初次上市現金增資委託代收及存儲價款機構
3,2936,客思達-KY,105/09/20,05:17:10,公告本公司初次上市現金增資承銷價格相關事宜
4,2936,客思達-KY,105/09/20,17:07:25,公告本公司股務代理機構名稱、辦公處所及連絡電話
5,2936,客思達-KY,105/09/21,18:09:15,公告本公司辦理初次上市過額配售相關事宜
6,2936,客思達-KY,105/09/22,17:51:41,公告本公司初次上市現金增資股款收足
7,2936,客思達-KY,105/10/06,16:35:02,公告本公司上市掛牌首五個營業日穩定價格操作結果
8,2936,客思達-KY,105/11/03,17:50:41,公告本公司受邀參加105年11月25日證交所舉辦之外國公司財務業績說明會
9,2936,客思達-KY,105/11/11,16:44:35,"代子公司COA Asia, Inc.公告董事會決議 2016年(民國105年)盈餘分派案"
10,2936,客思達-KY,105/11/11,16:45:03,本公司民國105年第3季合併財務報表
11,2936,客思達-KY,105/11/11,16:45:53,本公司董事會其他重要決議
12,2936,客思達-KY,105/11/11,16:50:48,本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款公告
13,2936,客思達-KY,105/11/11,16:52:31,"代子公司CFS(USA), Inc.依公開發行公司資金貸與 及背書保證處理準則第二十二條第一項第三款公告"
14,2936,客思達-KY,105/11/11,16:54:11,本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款公告
15,2936,客思達-KY,105/11/11,16:55:30,本公司依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款公告
