,公司代號,公司名稱,發言日期,發言時間,主旨
0,3010,華立,107/01/22,18:31:48,董事會決議107年度股東會開會日期及地點
1,3010,華立,107/03/26,14:42:33,公告華立董事會決議重大議案
2,3010,華立,107/03/26,14:43:19,本公司董事會決議通過106年度董監事酬勞及員工酬勞分派
3,3010,華立,107/03/26,14:43:44,本公司董事會決議通過107年度董監事酬勞及員工酬勞分派
4,3010,華立,107/03/26,14:46:33,董事會決議修改股東會召開事宜
5,3010,華立,107/03/26,14:54:09,董事會決議股利分派
6,3010,華立,107/03/26,14:54:29,公告本公司對上海華長貿易有限公司背書保證餘額達「資金貸與 及背書保證處理準則」第二十五條第一項第四款之規定
7,3010,華立,107/04/19,11:52:52,華立企業公告澄清媒體報導
8,3010,華立,107/05/14,15:17:50,本公司受邀參加國票證券舉辦之投資論壇
9,3010,華立,107/05/18,15:26:06,本公司受邀參加國泰證券舉辦之海外法人說明會
10,3010,華立,107/05/30,14:42:36,公告本公司董事會決議股利配發基準日
11,3010,華立,107/05/30,14:43:06,公告107年股東常會重要決議事項
12,3010,華立,107/05/31,17:55:10,補正公告107年股東常會重要決議事項
13,3010,華立,107/08/07,16:13:03,"公告本公司對Wah Tech Industrial Co., Ltd 背書保證達「資金貸與及背書保證處理準則」 第二十五條第一項第四款之規定"
14,3010,華立,107/08/27,17:15:19,本公司受邀參加中國信託證券舉辦之法人說明會
15,3010,華立,107/09/25,14:16:56,公告更正背書保證明細表資訊
16,3010,華立,107/11/12,16:51:04,代子公司華港工業物品(香港)有公司對東莞華港國際貿易 有限公司現金增資公告
17,3010,華立,107/11/12,16:51:28,代子公司華港工業物品(香港)有公司對東莞華港國際貿易 有限公司現金增資公告
18,3010,華立,107/11/20,16:29:01,本公司受邀參加麥格理證券及證交所於香港舉辦之臺灣投資說明會
19,3010,華立,107/12/26,16:14:30,公告本公司取得國軒科技股份有限公司股份
20,3010,華立,107/12/26,16:15:18,本公司與聯貸銀行團簽訂聯合授信合約
