,公司代號,公司名稱,發言日期,發言時間,主旨
0,3011,今皓,104/02/24,14:13:30,103年12月資金貸與餘額補正公告。
1,3011,今皓,104/02/24,14:38:53,103年12月資金貸與餘額補正公告。
2,3011,今皓,104/03/26,14:53:23,公告本公司董事會決議召開104年股東常會相關事宜
3,3011,今皓,104/03/26,14:54:16,董事會決議股利分派
4,3011,今皓,104/04/10,13:55:23,代重要子公司今皓光電(昆山)有限公司(JHP)公告續約資金貸與滁 州市鼎旺投資發展有限公司金額達新臺幣一千萬元以上且達該公 開發行公司最近期財務報表淨值百分之二以上者。
5,3011,今皓,104/04/24,14:40:40,公告本公司董事會決議召開104年股東常會相關事宜
6,3011,今皓,104/06/15,13:39:25,公告本公司股東會之重要決議
7,3011,今皓,104/06/15,13:54:51,公告本公司獨立董事變動
8,3011,今皓,104/07/15,13:55:22,對單一子公司背書保證餘額達一千萬元以上且對其背書保證、 長期投資及資金貸與餘額合計達近期財務報表淨值30%以上。
9,3011,今皓,104/07/15,14:11:30,公告本公司薪資報酬委員異動
10,3011,今皓,104/10/27,13:57:48,背書保證金額達新台幣三千萬元以上且達該公開發行 公司最近期財務報表淨值百分之五以上。
11,3011,今皓,104/11/18,13:54:38,背書金額達新臺幣一千萬元以上且對其背書保證、長期投資 及資金貸與餘額合計數達該公開發行公司最近期財務報表 淨值百分之三十以上者。
12,3011,今皓,104/12/29,16:45:42,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準, 故公布相關財務業務等重大訊息,以利投資人區別瞭解。"
