,公司代號,公司名稱,發言日期,發言時間,主旨
0,3018,同開,107/01/09,17:54:45,本公司因有重大訊息待公布，經證交所同意自107年1月10日起 暫停交易。
1,3018,同開,107/01/10,16:11:24,公告本公司召開重大訊息說明記者會內容
2,3018,同開,107/01/10,16:23:36,本公司與天下數位科技股份有限公司及耀達電腦股份有限公司 股份轉換案
3,3018,同開,107/01/10,16:24:17,公告董事會決議提請股東臨時會同意授權董事會辦理 與甲公司進行股份轉換增資發行普通股事宜
4,3018,同開,107/01/10,16:25:55,董事會決議107年第一次股東臨時會召開相關事項
5,3018,同開,107/01/10,17:15:08,本公司經證交所同意，自107年1月11日起 恢復交易。
6,3018,同開,107/02/02,16:49:59,公告新增107年第一次股東臨時會召開事項 (新增報告事項、討論事項及其他議案)
7,3018,同開,107/02/02,16:50:47,公告本公司董事會通過財務主管異動
8,3018,同開,107/02/02,18:45:35,公告本公司董事會決議發行限制員工權利新股案
9,3018,同開,107/02/09,19:18:56,代公告本公司之子公司同開營造股份有限公司 對同開科技工程股份有限公司新增背書保證達公告標準
10,3018,同開,107/03/02,15:52:25,公告本公司107年第一次股東臨時會重要決議事項
11,3018,同開,107/03/02,15:53:00,公告本公司補選1席董事及1席監察人名單
12,3018,同開,107/03/02,15:53:38,本公司一○七年第一次股東臨時會同意解除董事競業禁止限制案
13,3018,同開,107/03/20,17:41:54,董事會決議一○七年股東常會召開相關事項
14,3018,同開,107/03/20,17:42:58,公告本公司董事會通過106年度合併財報報表
15,3018,同開,107/03/21,18:18:27,本公司對子公司同開營造股份有限公司新增背書保證達公告標準
16,3018,同開,107/04/26,17:12:05,公告新增一○七年股東常會召開事項 (新增報告、承認事項及討論事項)
17,3018,同開,107/04/26,17:17:56,公告本公司董事會決議盈餘轉增資發行新股
18,3018,同開,107/04/26,17:18:49,公告本公司董事會決議106年度私募普通股案不繼續辦理
19,3018,同開,107/04/26,17:19:22,公告本公司董事會決議辦理107年度私募普通股
20,3018,同開,107/04/26,17:20:26,董事會決議股利分派
21,3018,同開,107/04/26,17:51:13,資金貸與子公司天盛科技服務股份有限公司
22,3018,同開,107/05/14,18:30:04,公告本公司董事會決議訂定庫藏股轉讓員工認股基準日及轉讓價格
23,3018,同開,107/05/14,19:05:50,公告本公司董事會通過107年度第一季合併財務報告
24,3018,同開,107/05/18,10:38:01,澄清媒體報導
25,3018,同開,107/06/03,12:19:07,公告本公司會計主管異動
26,3018,同開,107/06/08,16:51:45,公告一○七年股東常會重要決議事項
27,3018,同開,107/06/08,16:52:04,股東會決議許可董事從事競業行為
28,3018,同開,107/06/29,18:44:57,代重要子公司公告董事長暨總經理異動
29,3018,同開,107/07/06,16:04:24,公告本公司盈餘轉增資案之除權基準日及國內第三次有擔保 轉換公司債停止轉換期間相關事宜公告
30,3018,同開,107/07/06,16:05:31,公告本公司董事會通過會計主管異動
31,3018,同開,107/07/17,17:44:59,公告本公司調整配股比率相關事宜
32,3018,同開,107/07/30,17:04:12,公告變更本公司與耀達電腦股份有限公司 股份轉換案之股份轉換基準日
33,3018,同開,107/08/10,18:43:51,公告本公司董事會通過107年度第二季合併財務報告
34,3018,同開,107/08/10,18:44:14,本公司對子公司同開營造股份有限公司新增背書保證達公告標準
35,3018,同開,107/08/17,17:16:33,本公司可轉換公司債同開三(代號：30183)近期達公布注意交易 資訊標準，故公告相關訊息，以利投資人區別暸解。
36,3018,同開,107/08/20,17:19:34,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
37,3018,同開,107/08/21,18:41:58,董事會決議買回本公司股份
38,3018,同開,107/08/28,17:18:27,本公司受邀參加統一證券舉辦之法人說明會
39,3018,同開,107/09/05,18:23:37,公告本公司總經理異動
40,3018,同開,107/09/05,18:24:17,公告本公司董事會決議聘任營運長暨技術長及代理發言人異動
41,3018,同開,107/09/19,22:44:15,有關媒體報導本公司前董座遭起訴事宜
42,3018,同開,107/09/27,17:10:41,公告本公司董事長異動
43,3018,同開,107/09/27,19:03:47,公告法人董事代表人變更
44,3018,同開,107/10/19,19:00:09,公告本公司買回本公司股份執行期間屆滿
45,3018,同開,107/11/15,12:34:33,公告董事會晉升稽核主管蘇聖傑 為稽核經理
46,3018,同開,107/12/27,19:06:37,公告本公司會計主管異動
47,3018,同開,107/12/27,19:07:00,公告本公司更換會計師事務所及簽證會計師
48,3018,同開,107/12/28,18:58:11,代子公司天盛科技服務股份有限公司 公告遭受商業糾紛造成損失案之訴訟事項
