,公司代號,公司名稱,發言日期,發言時間,主旨
0,3019,亞光,108/01/12,16:16:58,亞洲光學107年自行結算獲利情形
1,3019,亞光,108/02/22,18:03:56,代重要子公司科太光電股份有限公司公告董事會決議 召開108年股東常會相關事宜
2,3019,亞光,108/02/22,18:04:13,代重要子公司科太光電股份有限公司公告董事會決議
3,3019,亞光,108/02/22,18:04:29,代重要子公司科太光電股份有限公司公告 董事會決議辦理減資彌補虧損
4,3019,亞光,108/02/22,18:04:49,代重要子公司科太光電股份有限公司公告 董事會決議辦理現金增資發行新股案
5,3019,亞光,108/02/22,18:05:07,代重要子公司科太光電股份有限公司公告 董事會決議現金增資基準日
6,3019,亞光,108/03/20,17:11:51,公告本公司董事會決議召開108年股東常會
7,3019,亞光,108/03/20,17:12:31,公告本公司董事會決議股利分派
8,3019,亞光,108/03/20,17:13:01,公告本公司董事會通過107年度員工及董事酬勞金額及發放方式
9,3019,亞光,108/04/01,17:19:22,更補正本公司107年度個體財務報告之 員工福利費用附註揭露格式
10,3019,亞光,108/04/09,17:59:50,代重要子公司科太光電股份有限公司 公告108年股東常會重要決議事項
11,3019,亞光,108/04/09,18:00:14,代重要子公司科太光電股份有限公司 公告通過減資基準日
12,3019,亞光,108/05/03,18:13:46,公告本公司代理發言人異動
13,3019,亞光,108/06/10,18:34:43,公告一○八年股東常會重要決議事項
14,3019,亞光,108/06/10,18:35:04,公告本公司改選董事名單
15,3019,亞光,108/06/10,18:35:20,解除第十四屆新任董事競業禁止之限制案
16,3019,亞光,108/06/10,18:35:47,公告本公司董事會選任董事長
17,3019,亞光,108/06/10,18:36:13,公告本公司「審計委員會」與「薪資報酬委員會」 委員異動
18,3019,亞光,108/06/19,16:44:17,公告本公司現金股息除息基準日
19,3019,亞光,108/08/06,17:07:16,本公司召開法人說明會事宜
20,3019,亞光,108/08/06,17:26:38,公告本公司董事會委任第四屆薪資報酬委員會委員
21,3019,亞光,108/08/12,15:49:05,公佈本公司108年上半年及第二季財報
