,公司代號,公司名稱,發言日期,發言時間,主旨
0,3019,亞光,109/01/06,10:27:08,媒體報導說明
1,3019,亞光,109/01/30,09:58:06,代大陸子公司公告春節復工時間延至2月10日
2,3019,亞光,109/01/30,10:18:05,代大陸子公司公告春節復工時間延至2月10日及因應措施
3,3019,亞光,109/03/18,18:51:41,代重要子公司科太光電股份有限公司公告董事會決議 召開109年股東常會相關事宜
4,3019,亞光,109/03/18,18:58:03,代重要子公司科太光電股份有限公司公告董事會決議
5,3019,亞光,109/03/18,18:58:42,代重要子公司科太光電股份有限公司公告 董事會決議辦理減資彌補虧損
6,3019,亞光,109/03/18,18:59:08,代重要子公司科太光電股份有限公司公告 董事會決議辦理現金增資發行新股案
7,3019,亞光,109/03/18,18:59:39,代重要子公司科太光電股份有限公司公告 董事會決議現金增資基準日
8,3019,亞光,109/03/19,16:49:59,公告本公司董事會決議召開109年股東常會
9,3019,亞光,109/03/19,16:50:14,公告本公司董事會決議股利分派及資本公積發放現金
10,3019,亞光,109/03/19,16:50:45,公告本公司董事會通過108年度員工及董事酬勞金額 及發放方式
11,3019,亞光,109/05/22,17:34:38,代重要子公司科太光電股份有限公司 公告109年股東常會重要決議事項
12,3019,亞光,109/05/22,17:35:35,代重要子公司科太光電股份有限公司 公告通過減資基準日
13,3019,亞光,109/06/10,17:21:28,公告一○九年股東常會重要決議事項
14,3019,亞光,109/06/15,17:27:33,公告本公司配息暨資本公積發放現金基準日
15,3019,亞光,109/08/03,17:22:23,本公司對三星電子公司提出專利侵權訴訟
16,3019,亞光,109/09/11,13:34:56,本公司召開法人說明會事宜
17,3019,亞光,109/09/21,11:04:54,媒體報導說明
