,公司代號,公司名稱,發言日期,發言時間,主旨
0,3022,威強電,107/01/12,18:05:02,代子公司上海威強電工業電腦有限公司公告取得理財產品
1,3022,威強電,107/02/14,14:46:40,公告本公司財務主管及發言人異動
2,3022,威強電,107/03/26,18:11:44,公告本公司董事會決議召開107年股東常會相關事宜
3,3022,威強電,107/03/26,18:12:01,公告本公司董事會通過發言人、財務主管及研發主管異動
4,3022,威強電,107/05/10,14:37:06,公告本公司董事會決議辦理現金減資案暨召開重大訊息 記者會事宜
5,3022,威強電,107/05/10,14:37:30,補充公告本公司董事會決議召開107年股東常會相關事宜- 新增討論事項
6,3022,威強電,107/05/10,14:37:55,公告本公司董事會決議股利分派
7,3022,威強電,107/05/23,15:36:29,代子公司上海威強電工業電腦有限公司 公告處分理財產品
8,3022,威強電,107/05/29,18:04:45,代子公司優達芯發電子(上海)有限公司 公告取得理財產品
9,3022,威強電,107/06/21,15:30:12,公告本公司107年股東常會重要決議事項
10,3022,威強電,107/06/22,14:30:34,本公司辦理現金減資致債權人公告
11,3022,威強電,107/06/25,16:05:18,公告本公司董事會決議除息基準日
12,3022,威強電,107/07/09,17:40:44,公告本公司自107年第二季起更換會計師事務所及簽證會計師
13,3022,威強電,107/07/17,17:34:43,公告本公司董事長訂定減資基準日 (僅作為申請辦理減資變更登記之用)
14,3022,威強電,107/08/13,18:19:06,公告本公司現金減資辦理資本額變更登記完成
15,3022,威強電,107/08/14,14:05:12,補充公告本公司現金減資辦理資本額變更登記完成
16,3022,威強電,107/08/15,17:58:11,代子公司優達芯發電子(上海)有限公司 公告取得貨幣市場基金
17,3022,威強電,107/08/21,15:50:47,補充公告本公司現金減資換發股票作業計畫
18,3022,威強電,107/08/29,17:08:47,代子公司優達芯發電子(上海)有限公司公告處分貨幣市場基金
19,3022,威強電,107/09/12,18:00:56,代子公司優達芯發電子(上海)有限公司公告處分理財產品
20,3022,威強電,107/09/12,18:01:26,代子公司優達芯發電子(上海)有限公司公告取得理財產品
21,3022,威強電,107/11/09,16:27:01,公告本公司董事會決議通過財務、會計主管異動
22,3022,威強電,107/12/05,15:04:20,公告本公司受邀參加由富邦證券舉辦之法人說明會
23,3022,威強電,107/12/07,10:33:36,澄清說明1071207工商時報相關報導
24,3022,威強電,107/12/13,17:16:04,代子公司優達芯發電子(上海)有限公司公告處分理財產品
25,3022,威強電,107/12/20,18:13:05,代重要子公司芯發威達電子（上海）有限公司公告 董事會決議盈餘分配現金股利
